SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642259,0022500477,2026-01-02,WAS vs. BKN,W,29,8,15,0.533,1,2,0.5,2,2,1.0,1,4,5,4,0,4,1,3,19,-1,1
22025,1642259,0022500469,2025-12-31,WAS @ MIL,W,28,7,15,0.467,1,2,0.5,5,6,0.833,4,7,11,2,0,4,2,2,20,-5,1
22025,1642259,0022500448,2025-12-29,WAS vs. PHX,L,25,1,5,0.2,0,2,0.0,0,0,0.0,1,1,2,4,1,2,2,0,2,-28,1
22025,1642259,0022500443,2025-12-28,WAS vs. MEM,W,26,9,20,0.45,1,6,0.167,1,1,1.0,3,6,9,1,2,6,1,3,20,2,1
22025,1642259,0022500425,2025-12-26,WAS vs. TOR,W,24,7,9,0.778,1,1,1.0,0,0,0.0,1,2,3,2,1,3,1,2,15,11,1
22025,1642259,0022500409,2025-12-23,WAS @ CHA,L,25,2,6,0.333,0,1,0.0,3,4,0.75,4,7,11,1,1,4,0,3,7,-11,1
22025,1642259,0022500391,2025-12-20,WAS @ MEM,W,26,8,16,0.5,2,4,0.5,0,0,0.0,6,5,11,2,0,1,0,2,18,-1,1
22025,1642259,0022500370,2025-12-18,WAS @ SAS,L,24,8,18,0.444,2,4,0.5,0,0,0.0,1,3,4,3,0,1,0,0,18,-16,1
22025,1642259,0022500073,2025-11-28,WAS @ IND,L,33,8,19,0.421,1,4,0.25,7,12,0.583,2,7,9,1,2,2,1,1,24,-14,1
22025,1642259,0022500057,2025-11-25,WAS vs. ATL,W,38,11,15,0.733,1,2,0.5,4,8,0.5,3,8,11,0,2,2,1,2,27,30,1
22025,1642259,0022500271,2025-11-22,WAS @ CHI,L,28,7,18,0.389,2,6,0.333,0,3,0.0,2,9,11,4,0,0,1,2,16,-8,1
22025,1642259,0022500235,2025-11-16,WAS vs. BKN,L,23,4,12,0.333,1,3,0.333,0,0,0.0,1,2,3,1,0,0,0,6,9,-2,1
22025,1642259,0022500218,2025-11-12,WAS @ HOU,L,32,10,15,0.667,2,3,0.667,3,5,0.6,4,7,11,4,0,1,2,3,25,-16,1
22025,1642259,0022500199,2025-11-10,WAS @ DET,L,37,7,16,0.438,1,5,0.2,0,0,0.0,2,13,15,2,1,2,3,5,15,-4,1
22025,1642259,0022500183,2025-11-08,WAS vs. DAL,L,31,6,16,0.375,0,3,0.0,5,6,0.833,4,2,6,5,2,3,2,2,17,1,1
22025,1642259,0022500029,2025-11-07,WAS vs. CLE,L,30,10,17,0.588,0,4,0.0,0,2,0.0,1,3,4,4,1,4,3,0,20,-23,1
22025,1642259,0022500174,2025-11-05,WAS @ BOS,L,29,12,20,0.6,4,5,0.8,3,4,0.75,3,5,8,2,0,3,2,0,31,-26,1
22025,1642259,0022500159,2025-11-03,WAS @ NYK,L,29,8,16,0.5,0,3,0.0,3,3,1.0,3,5,8,7,1,2,2,1,19,-11,1
22025,1642259,0022500145,2025-11-01,WAS vs. ORL,L,28,4,8,0.5,0,0,0.0,2,4,0.5,2,6,8,2,0,3,2,1,10,-17,1
22025,1642259,0022500140,2025-10-30,WAS @ OKC,L,26,5,11,0.455,2,3,0.667,2,2,1.0,3,5,8,2,1,2,3,2,14,-8,1
22025,1642259,0022500123,2025-10-28,WAS vs. PHI,L,34,13,23,0.565,3,7,0.429,2,2,1.0,3,8,11,5,2,2,5,4,31,3,1
22025,1642259,0022500109,2025-10-26,WAS vs. CHA,L,25,9,15,0.6,1,3,0.333,4,4,1.0,1,3,4,5,0,3,2,1,23,-7,1
22025,1642259,0022500096,2025-10-24,WAS @ DAL,W,26,5,10,0.5,0,1,0.0,4,4,1.0,3,6,9,5,1,3,4,2,14,5,1
22025,1642259,0022500086,2025-10-22,WAS @ MIL,L,26,5,10,0.5,0,0,0.0,0,2,0.0,1,10,11,3,0,0,1,1,10,-6,1
