SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203952,0022500486,2026-01-03,MIA vs. MIN,L,28,4,12,0.333,2,7,0.286,2,2,1.0,1,1,2,3,2,0,1,6,12,-7,1
22025,203952,0022500472,2026-01-01,MIA @ DET,W,32,7,20,0.35,1,5,0.2,2,2,1.0,6,2,8,1,2,0,2,4,17,-9,1
22025,203952,0022500450,2025-12-29,MIA vs. DEN,W,31,6,10,0.6,4,7,0.571,3,4,0.75,1,4,5,6,3,3,0,2,19,28,1
22025,203952,0022500436,2025-12-27,MIA vs. IND,W,31,12,16,0.75,4,4,1.0,0,0,0.0,5,1,6,3,3,1,2,3,28,13,1
22025,203952,0022500423,2025-12-26,MIA @ ATL,W,32,9,17,0.529,0,3,0.0,0,0,0.0,4,4,8,3,1,1,0,1,18,21,1
22025,203952,0022500414,2025-12-23,MIA vs. TOR,L,33,5,11,0.455,2,5,0.4,2,2,1.0,2,1,3,2,0,0,2,0,14,-27,1
22025,203952,0022500398,2025-12-21,MIA @ NYK,L,24,2,8,0.25,2,3,0.667,1,2,0.5,1,4,5,4,0,1,1,0,7,-5,1
22025,203952,0022500373,2025-12-18,MIA @ BKN,W,33,3,11,0.273,2,5,0.4,2,2,1.0,2,2,4,2,2,0,2,2,10,9,1
22025,203952,0022501227,2025-12-15,MIA vs. TOR,L,32,4,12,0.333,2,5,0.4,0,0,0.0,2,0,2,2,2,3,1,3,10,-1,1
22025,203952,0022501201,2025-12-09,MIA @ ORL,L,35,8,14,0.571,3,6,0.5,0,0,0.0,0,2,2,2,1,1,1,2,19,7,1
22025,203952,0022500354,2025-12-06,MIA vs. SAC,L,26,6,10,0.6,1,3,0.333,0,0,0.0,2,2,4,4,0,0,3,2,13,-27,1
22025,203952,0022500339,2025-12-05,MIA @ ORL,L,34,5,10,0.5,2,4,0.5,1,4,0.25,0,5,5,1,1,3,0,1,13,7,1
22025,203952,0022500332,2025-12-03,MIA @ DAL,L,33,4,18,0.222,1,3,0.333,2,2,1.0,3,3,6,5,1,1,1,2,11,-6,1
22025,203952,0022500313,2025-12-01,MIA vs. LAC,W,32,9,14,0.643,2,3,0.667,2,2,1.0,2,7,9,3,0,3,3,3,22,32,1
22025,203952,0022500296,2025-11-29,MIA vs. DET,L,37,10,15,0.667,2,4,0.5,9,9,1.0,2,4,6,4,3,0,1,3,31,12,1
22025,203952,0022500062,2025-11-26,MIA vs. MIL,W,31,4,11,0.364,1,6,0.167,2,3,0.667,2,0,2,3,0,2,1,1,11,-4,1
22025,203952,0022500257,2025-11-19,MIA vs. GSW,W,34,7,16,0.438,2,4,0.5,1,2,0.5,1,5,6,1,2,1,1,4,17,25,1
22025,203952,0022500244,2025-11-17,MIA vs. NYK,W,33,3,15,0.2,0,4,0.0,0,0,0.0,0,4,4,4,0,1,0,3,6,1,1
22025,203952,0022500039,2025-11-14,MIA @ NYK,L,36,6,18,0.333,1,6,0.167,2,2,1.0,5,2,7,3,0,1,3,4,15,-15,1
22025,203952,0022500217,2025-11-12,MIA vs. CLE,L,33,7,13,0.538,2,5,0.4,1,2,0.5,2,7,9,6,0,2,5,3,17,-9,1
22025,203952,0022500201,2025-11-10,MIA vs. CLE,W,37,8,13,0.615,2,5,0.4,5,6,0.833,1,1,2,5,1,0,2,2,23,0,1
22025,203952,0022500187,2025-11-08,MIA vs. POR,W,33,5,14,0.357,2,8,0.25,3,4,0.75,0,3,3,1,2,1,1,3,15,-4,1
22025,203952,0022500033,2025-11-07,MIA vs. CHA,W,36,9,16,0.563,4,6,0.667,0,0,0.0,0,4,4,4,1,1,2,1,22,21,1
22025,203952,0022500178,2025-11-05,MIA @ DEN,L,32,9,13,0.692,3,4,0.75,1,2,0.5,0,4,4,5,2,1,0,4,22,-1,1
22025,203952,0022500164,2025-11-03,MIA @ LAC,W,32,7,12,0.583,3,5,0.6,0,0,0.0,1,1,2,2,1,1,2,3,17,9,1
22025,203952,0022500155,2025-11-02,MIA @ LAL,L,37,6,16,0.375,1,6,0.167,2,3,0.667,3,6,9,1,1,1,4,3,15,-15,1
22025,203952,0022500141,2025-10-30,MIA @ SAS,L,35,11,18,0.611,2,5,0.4,0,2,0.0,3,3,6,2,2,0,2,2,24,0,1
22025,203952,0022500124,2025-10-28,MIA vs. CHA,W,30,8,15,0.533,3,6,0.5,2,2,1.0,1,1,2,2,3,1,2,1,21,13,1
22025,203952,0022500108,2025-10-26,MIA vs. NYK,W,31,4,9,0.444,1,4,0.25,0,0,0.0,1,4,5,2,0,1,3,1,9,-9,1
22025,203952,0022500094,2025-10-24,MIA @ MEM,W,24,4,8,0.5,0,1,0.0,2,5,0.4,4,3,7,3,1,1,2,3,10,0,1
22025,203952,0022500081,2025-10-22,MIA @ ORL,L,32,6,12,0.5,1,5,0.2,5,7,0.714,0,4,4,1,1,1,1,4,18,-21,1
