SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628389,0022500486,2026-01-03,MIA vs. MIN,L,34,5,13,0.385,1,3,0.333,1,2,0.5,2,7,9,4,0,1,4,2,12,-9,1
22025,1628389,0022500472,2026-01-01,MIA @ DET,W,33,5,14,0.357,1,2,0.5,4,4,1.0,3,11,14,0,2,1,1,2,15,17,1
22025,1628389,0022500450,2025-12-29,MIA vs. DEN,W,21,5,10,0.5,1,2,0.5,2,2,1.0,3,7,10,4,1,0,2,3,13,3,1
22025,1628389,0022500414,2025-12-23,MIA vs. TOR,L,34,4,11,0.364,0,2,0.0,1,3,0.333,1,11,12,3,2,0,1,2,9,-16,1
22025,1628389,0022500398,2025-12-21,MIA @ NYK,L,34,4,11,0.364,0,3,0.0,6,7,0.857,3,6,9,0,0,0,3,3,14,-5,1
22025,1628389,0022500381,2025-12-19,MIA @ BOS,L,36,6,13,0.462,0,1,0.0,4,6,0.667,4,6,10,4,1,0,3,5,16,-15,1
22025,1628389,0022500373,2025-12-18,MIA @ BKN,W,31,4,13,0.308,0,2,0.0,0,2,0.0,2,15,17,1,1,3,3,5,8,12,1
22025,1628389,0022501227,2025-12-15,MIA vs. TOR,L,33,7,13,0.538,1,3,0.333,5,8,0.625,0,10,10,2,1,0,2,2,20,-5,1
22025,1628389,0022501201,2025-12-09,MIA @ ORL,L,36,7,14,0.5,0,3,0.0,5,6,0.833,1,7,8,2,1,3,0,1,19,6,1
22025,1628389,0022500354,2025-12-06,MIA vs. SAC,L,25,4,9,0.444,0,3,0.0,1,2,0.5,2,5,7,3,0,0,0,0,9,-17,1
22025,1628389,0022500339,2025-12-05,MIA @ ORL,L,40,9,15,0.6,2,4,0.5,4,6,0.667,2,13,15,3,2,2,5,2,24,3,1
22025,1628389,0022500332,2025-12-03,MIA @ DAL,L,28,10,19,0.526,1,6,0.167,0,0,0.0,1,6,7,1,1,0,1,1,21,-6,1
22025,1628389,0022500313,2025-12-01,MIA vs. LAC,W,32,10,17,0.588,5,8,0.625,2,2,1.0,3,11,14,3,2,2,1,0,27,33,1
22025,1628389,0022500296,2025-11-29,MIA vs. DET,L,33,5,9,0.556,1,2,0.5,4,6,0.667,2,8,10,1,2,1,3,1,15,14,1
22025,1628389,0022500062,2025-11-26,MIA vs. MIL,W,29,7,16,0.438,1,5,0.2,2,2,1.0,0,11,11,2,0,1,1,0,17,-11,1
22025,1628389,0022500286,2025-11-24,MIA vs. DAL,W,29,5,13,0.385,0,3,0.0,7,11,0.636,3,3,6,1,1,2,2,1,17,-16,1
22025,1628389,0022500275,2025-11-23,MIA @ PHI,W,33,7,14,0.5,1,4,0.25,3,4,0.75,3,10,13,1,1,0,2,1,18,4,1
22025,1628389,0022500051,2025-11-21,MIA @ CHI,W,29,4,11,0.364,2,5,0.4,8,10,0.8,1,6,7,5,0,3,1,3,18,24,1
22025,1628389,0022500257,2025-11-19,MIA vs. GSW,W,29,7,13,0.538,3,4,0.75,3,3,1.0,1,6,7,3,1,2,1,1,20,15,1
22025,1628389,0022500178,2025-11-05,MIA @ DEN,L,8,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,4,1
22025,1628389,0022500164,2025-11-03,MIA @ LAC,W,30,10,18,0.556,2,4,0.5,3,5,0.6,0,10,10,4,2,0,2,1,25,2,1
22025,1628389,0022500155,2025-11-02,MIA @ LAL,L,36,6,11,0.545,1,5,0.2,4,4,1.0,1,7,8,5,3,1,0,1,17,-13,1
22025,1628389,0022500141,2025-10-30,MIA @ SAS,L,37,12,27,0.444,4,13,0.308,3,4,0.75,1,9,10,3,1,1,2,2,31,7,1
22025,1628389,0022500124,2025-10-28,MIA vs. CHA,W,30,10,16,0.625,3,5,0.6,3,4,0.75,1,5,6,2,0,0,1,2,26,29,1
22025,1628389,0022500108,2025-10-26,MIA vs. NYK,W,38,5,15,0.333,1,5,0.2,8,8,1.0,1,12,13,3,1,0,6,1,19,10,1
22025,1628389,0022500094,2025-10-24,MIA @ MEM,W,28,8,19,0.421,4,8,0.5,4,4,1.0,1,4,5,4,1,0,1,2,24,25,1
22025,1628389,0022500081,2025-10-22,MIA @ ORL,L,34,4,13,0.308,1,5,0.2,6,7,0.857,3,9,12,2,0,0,4,3,15,-2,1
