SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1626171,0022500481,2026-01-02,MIL vs. CHA,W,22,7,11,0.636,4,6,0.667,2,2,1.0,2,4,6,1,0,1,2,1,20,-8,1
22025,1626171,0022500469,2025-12-31,MIL vs. WAS,L,20,4,11,0.364,3,6,0.5,2,2,1.0,1,4,5,3,0,1,0,2,13,-11,1
22025,1626171,0022500447,2025-12-29,MIL @ CHA,W,23,8,12,0.667,5,7,0.714,4,4,1.0,0,2,2,1,0,0,1,3,25,-5,1
22025,1626171,0022500437,2025-12-27,MIL @ CHI,W,24,7,16,0.438,2,3,0.667,1,2,0.5,4,7,11,1,2,0,0,0,17,-9,1
22025,1626171,0022500428,2025-12-26,MIL @ MEM,L,35,7,14,0.5,1,5,0.2,0,0,0.0,5,7,12,3,2,0,3,2,15,-23,1
22025,1626171,0022500413,2025-12-23,MIL @ IND,W,32,6,12,0.5,0,1,0.0,2,2,1.0,0,9,9,2,0,0,1,1,14,8,1
22025,1626171,0022500400,2025-12-21,MIL @ MIN,L,39,7,17,0.412,2,6,0.333,0,0,0.0,4,7,11,1,1,0,3,3,16,6,1
22025,1626171,0022500374,2025-12-18,MIL vs. TOR,L,39,9,16,0.563,3,6,0.5,3,3,1.0,1,11,12,0,2,1,1,3,24,3,1
22025,1626171,0022501219,2025-12-14,MIL @ BKN,L,16,4,7,0.571,2,3,0.667,0,0,0.0,0,3,3,1,1,0,0,1,10,-16,1
22025,1626171,0022501206,2025-12-11,MIL vs. BOS,W,26,11,13,0.846,5,6,0.833,0,0,0.0,1,9,10,0,1,0,0,1,27,12,1
22025,1626171,0022500353,2025-12-06,MIL @ DET,L,20,2,11,0.182,1,3,0.333,2,5,0.4,2,5,7,4,1,2,1,1,7,-4,1
22025,1626171,0022500348,2025-12-05,MIL vs. PHI,L,23,9,16,0.563,4,9,0.444,0,0,0.0,0,4,4,0,1,0,3,2,22,-5,1
22025,1626171,0022500331,2025-12-03,MIL vs. DET,W,30,5,13,0.385,2,8,0.25,1,2,0.5,2,7,9,5,0,0,0,1,13,18,1
22025,1626171,0022500311,2025-12-01,MIL @ WAS,L,17,5,10,0.5,2,4,0.5,0,0,0.0,0,4,4,1,0,0,0,0,12,-7,1
22025,1626171,0022500297,2025-11-29,MIL vs. BKN,W,21,5,10,0.5,3,5,0.6,0,0,0.0,1,5,6,0,0,0,2,2,13,-4,1
22025,1626171,0022500074,2025-11-28,MIL @ NYK,L,18,1,7,0.143,1,4,0.25,0,0,0.0,0,3,3,2,0,0,2,2,3,3,1
22025,1626171,0022500062,2025-11-26,MIL @ MIA,L,21,4,14,0.286,0,3,0.0,1,2,0.5,2,2,4,2,1,0,1,1,9,-7,1
22025,1626171,0022500288,2025-11-24,MIL vs. POR,L,27,9,15,0.6,4,5,0.8,0,0,0.0,1,5,6,2,2,0,1,3,22,-5,1
22025,1626171,0022500272,2025-11-22,MIL vs. DET,L,25,7,10,0.7,4,5,0.8,0,0,0.0,1,6,7,2,0,0,0,1,18,-15,1
22025,1626171,0022500266,2025-11-20,MIL vs. PHI,L,28,9,14,0.643,1,1,1.0,0,0,0.0,1,7,8,0,1,0,0,2,19,-16,1
22025,1626171,0022500241,2025-11-17,MIL @ CLE,L,27,3,7,0.429,1,3,0.333,4,6,0.667,1,5,6,0,1,0,0,0,11,-13,1
22025,1626171,0022500231,2025-11-15,MIL vs. LAL,L,18,3,8,0.375,2,2,1.0,0,0,0.0,2,4,6,0,0,0,0,2,8,-2,1
22025,1626171,0022500043,2025-11-14,MIL vs. CHA,W,19,4,7,0.571,2,4,0.5,2,2,1.0,1,3,4,1,0,0,3,3,12,-11,1
22025,1626171,0022500213,2025-11-12,MIL @ CHA,L,23,7,12,0.583,0,1,0.0,0,0,0.0,3,5,8,1,0,0,2,3,14,-6,1
22025,1626171,0022500203,2025-11-10,MIL @ DAL,W,27,5,8,0.625,3,5,0.6,0,0,0.0,2,5,7,0,0,0,0,1,13,13,1
22025,1626171,0022500191,2025-11-09,MIL vs. HOU,L,24,4,4,1.0,1,1,1.0,2,4,0.5,0,1,1,4,3,0,1,3,11,9,1
22025,1626171,0022500035,2025-11-07,MIL vs. CHI,W,20,3,5,0.6,1,2,0.5,0,0,0.0,1,4,5,2,0,0,1,1,7,-1,1
22025,1626171,0022500165,2025-11-04,MIL @ TOR,L,20,1,8,0.125,0,5,0.0,0,0,0.0,0,9,9,2,0,0,1,1,2,-13,1
22025,1626171,0022500157,2025-11-03,MIL @ IND,W,16,3,7,0.429,2,5,0.4,0,0,0.0,1,1,2,1,0,0,2,3,8,-5,1
22025,1626171,0022500142,2025-11-01,MIL vs. SAC,L,23,6,9,0.667,2,3,0.667,2,2,1.0,1,5,6,2,0,0,1,1,16,-5,1
22025,1626171,0022500139,2025-10-30,MIL vs. GSW,W,19,5,10,0.5,2,3,0.667,0,0,0.0,1,4,5,2,0,0,2,0,12,14,1
22025,1626171,0022500125,2025-10-28,MIL vs. NYK,W,16,4,10,0.4,1,4,0.25,0,0,0.0,0,2,2,0,1,1,0,1,9,-8,1
22025,1626171,0022500107,2025-10-26,MIL @ CLE,L,23,4,10,0.4,2,4,0.5,0,0,0.0,1,7,8,1,0,0,4,3,10,0,1
22025,1626171,0022500092,2025-10-24,MIL @ TOR,W,21,5,13,0.385,1,5,0.2,0,0,0.0,3,5,8,0,0,0,1,3,11,-5,1
22025,1626171,0022500086,2025-10-22,MIL vs. WAS,W,17,1,6,0.167,0,0,0.0,0,0,0.0,1,5,6,1,0,0,0,0,2,6,1
