SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642267,0022500477,2026-01-02,WAS vs. BKN,W,26,3,9,0.333,1,5,0.2,0,0,0.0,0,5,5,4,0,1,3,4,7,2,1
22025,1642267,0022500469,2025-12-31,WAS @ MIL,W,24,7,14,0.5,6,11,0.545,0,1,0.0,1,4,5,5,0,1,2,2,20,6,1
22025,1642267,0022500448,2025-12-29,WAS vs. PHX,L,27,4,8,0.5,2,2,1.0,0,0,0.0,0,5,5,4,0,0,1,4,10,2,1
22025,1642267,0022500443,2025-12-28,WAS vs. MEM,W,27,4,9,0.444,2,4,0.5,2,3,0.667,1,3,4,7,1,0,8,2,12,-3,1
22025,1642267,0022500425,2025-12-26,WAS vs. TOR,W,22,5,8,0.625,4,7,0.571,1,2,0.5,1,3,4,4,0,0,0,2,15,17,1
22025,1642267,0022500409,2025-12-23,WAS @ CHA,L,15,2,3,0.667,2,3,0.667,0,0,0.0,1,4,5,2,0,0,1,4,6,-4,1
22025,1642267,0022500399,2025-12-21,WAS vs. SAS,L,40,7,11,0.636,4,6,0.667,3,5,0.6,1,4,5,4,0,1,1,5,21,-1,1
22025,1642267,0022500391,2025-12-20,WAS @ MEM,W,35,4,11,0.364,1,5,0.2,5,6,0.833,0,7,7,4,0,0,2,1,14,14,1
22025,1642267,0022500370,2025-12-18,WAS @ SAS,L,33,6,12,0.5,3,7,0.429,0,0,0.0,1,4,5,3,1,1,2,3,15,-24,1
22025,1642267,0022501216,2025-12-14,WAS @ IND,W,36,4,11,0.364,2,7,0.286,1,2,0.5,0,3,3,5,1,0,1,0,11,12,1
22025,1642267,0022501212,2025-12-12,WAS vs. CLE,L,41,10,20,0.5,5,13,0.385,2,4,0.5,0,6,6,8,1,0,3,2,27,7,1
22025,1642267,0022500351,2025-12-06,WAS vs. ATL,L,37,4,6,0.667,3,4,0.75,3,3,1.0,0,2,2,9,1,0,1,2,14,-22,1
22025,1642267,0022500334,2025-12-04,WAS vs. BOS,L,28,2,9,0.222,2,6,0.333,1,2,0.5,1,2,3,2,0,0,1,1,7,-18,1
22025,1642267,0022500318,2025-12-02,WAS @ PHI,L,25,3,12,0.25,2,7,0.286,2,2,1.0,0,3,3,3,0,0,4,1,10,-25,1
22025,1642267,0022500311,2025-12-01,WAS vs. MIL,W,22,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,5,0,0,2,1,5,2,1
22025,1642267,0022500073,2025-11-28,WAS @ IND,L,27,2,8,0.25,2,6,0.333,0,0,0.0,2,5,7,3,0,0,1,1,6,-23,1
22025,1642267,0022500057,2025-11-25,WAS vs. ATL,W,22,4,6,0.667,2,3,0.667,0,0,0.0,0,0,0,6,0,0,3,1,10,4,1
22025,1642267,0022500271,2025-11-22,WAS @ CHI,L,24,3,9,0.333,2,4,0.5,0,0,0.0,1,2,3,4,0,0,2,3,8,4,1
22025,1642267,0022500050,2025-11-21,WAS @ TOR,L,16,3,5,0.6,1,2,0.5,0,0,0.0,1,1,2,3,0,0,1,6,7,-20,1
22025,1642267,0022500259,2025-11-19,WAS @ MIN,L,17,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,3,3,-16,1
22025,1642267,0022500235,2025-11-16,WAS vs. BKN,L,20,2,5,0.4,1,3,0.333,0,0,0.0,0,4,4,3,1,0,0,1,5,-25,1
22025,1642267,0022500218,2025-11-12,WAS @ HOU,L,19,3,7,0.429,1,1,1.0,0,1,0.0,0,1,1,2,1,0,2,2,7,-16,1
22025,1642267,0022500199,2025-11-10,WAS @ DET,L,35,4,7,0.571,3,5,0.6,0,0,0.0,1,6,7,5,0,0,3,5,11,-11,1
22025,1642267,0022500183,2025-11-08,WAS vs. DAL,L,28,2,7,0.286,2,5,0.4,3,3,1.0,0,3,3,2,0,0,5,1,9,-14,1
22025,1642267,0022500029,2025-11-07,WAS vs. CLE,L,28,2,12,0.167,2,7,0.286,0,0,0.0,0,4,4,11,0,1,2,1,6,-22,1
22025,1642267,0022500174,2025-11-05,WAS @ BOS,L,31,1,2,0.5,1,2,0.5,0,0,0.0,0,5,5,6,0,0,3,1,3,-30,1
22025,1642267,0022500159,2025-11-03,WAS @ NYK,L,25,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,7,0,0,5,4,0,-20,1
22025,1642267,0022500145,2025-11-01,WAS vs. ORL,L,22,3,9,0.333,1,3,0.333,0,0,0.0,0,4,4,5,1,0,3,1,7,-5,1
22025,1642267,0022500140,2025-10-30,WAS @ OKC,L,22,1,5,0.2,0,4,0.0,1,2,0.5,0,4,4,1,0,0,3,4,3,-11,1
22025,1642267,0022500123,2025-10-28,WAS vs. PHI,L,38,3,6,0.5,2,3,0.667,2,2,1.0,0,5,5,5,1,1,2,4,10,4,1
22025,1642267,0022500109,2025-10-26,WAS vs. CHA,L,26,2,7,0.286,0,1,0.0,0,0,0.0,1,2,3,5,2,0,1,3,4,-8,1
22025,1642267,0022500096,2025-10-24,WAS @ DAL,W,26,1,7,0.143,1,1,1.0,4,6,0.667,0,3,3,3,2,0,2,3,7,-5,1
22025,1642267,0022500086,2025-10-22,WAS @ MIL,L,29,4,9,0.444,3,4,0.75,0,0,0.0,0,5,5,2,1,0,1,3,11,-14,1
