SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631126,0022500490,2026-01-03,POR @ SAS,W,28,6,13,0.462,3,9,0.333,1,4,0.25,0,5,5,2,0,0,0,0,16,-4,1
22025,1631126,0022500482,2026-01-02,POR @ NOP,W,28,7,13,0.538,6,11,0.545,2,2,1.0,0,2,2,2,0,0,1,2,22,3,1
22025,1631126,0022500470,2025-12-31,POR @ OKC,L,30,4,12,0.333,2,7,0.286,0,0,0.0,0,5,5,4,3,0,3,3,10,-11,1
22025,1631126,0022500457,2025-12-29,POR vs. DAL,W,34,8,15,0.533,6,10,0.6,2,2,1.0,2,1,3,2,0,0,1,1,24,9,1
22025,1631126,0022500444,2025-12-28,POR vs. BOS,W,29,6,14,0.429,4,10,0.4,2,2,1.0,1,1,2,3,1,0,4,1,18,4,1
22025,1631126,0022500431,2025-12-26,POR vs. LAC,L,25,5,10,0.5,3,7,0.429,1,2,0.5,0,0,0,2,0,0,1,2,14,-17,1
22025,1631126,0022500420,2025-12-23,POR vs. ORL,L,34,7,13,0.538,3,8,0.375,0,0,0.0,1,2,3,1,0,3,0,3,17,2,1
22025,1631126,0022500408,2025-12-22,POR vs. DET,L,18,1,5,0.2,0,3,0.0,3,4,0.75,0,3,3,4,0,0,1,1,5,-2,1
22025,1631126,0022500394,2025-12-20,POR @ SAC,W,9,1,5,0.2,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-13,1
22025,1631126,0022500380,2025-12-18,POR vs. SAC,W,9,2,7,0.286,1,4,0.25,0,0,0.0,1,0,1,1,1,0,0,2,5,7,1
22025,1631126,0022501221,2025-12-14,POR vs. GSW,W,12,3,6,0.5,2,2,1.0,0,0,0.0,0,0,0,4,1,0,1,1,8,-9,1
22025,1631126,0022501207,2025-12-11,POR @ NOP,L,22,4,9,0.444,0,5,0.0,1,1,1.0,1,0,1,4,0,0,2,0,9,-9,1
22025,1631126,0022500360,2025-12-07,POR @ MEM,L,20,2,7,0.286,0,4,0.0,0,0,0.0,0,2,2,3,0,0,2,1,4,-19,1
22025,1631126,0022500342,2025-12-05,POR @ DET,L,12,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,-18,1
22025,1631126,0022500324,2025-12-03,POR @ CLE,W,27,7,15,0.467,4,7,0.571,2,2,1.0,1,4,5,1,1,0,0,1,20,8,1
22025,1631126,0022500319,2025-12-02,POR @ TOR,L,12,2,6,0.333,1,5,0.2,0,0,0.0,0,0,0,1,0,0,0,1,5,-14,1
22025,1631126,0022500305,2025-11-30,POR vs. OKC,L,19,4,12,0.333,2,8,0.25,2,2,1.0,0,0,0,1,2,0,0,2,12,3,1
22025,1631126,0022500067,2025-11-26,POR vs. SAS,L,12,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,1,0,0,1,2,1,-13,1
22025,1631126,0022500288,2025-11-24,POR @ MIL,W,26,5,13,0.385,3,8,0.375,0,0,0.0,1,4,5,4,0,0,2,4,13,5,1
22025,1631126,0022500280,2025-11-23,POR @ OKC,L,26,3,13,0.231,1,8,0.125,1,2,0.5,1,1,2,2,0,0,2,1,8,-27,1
22025,1631126,0022500056,2025-11-21,POR @ GSW,W,38,9,20,0.45,6,14,0.429,2,2,1.0,3,4,7,5,1,0,1,3,26,4,1
22025,1631126,0022500263,2025-11-19,POR vs. CHI,L,18,1,12,0.083,0,7,0.0,3,4,0.75,1,2,3,2,1,0,0,1,5,-20,1
22025,1631126,0022500254,2025-11-18,POR vs. PHX,L,32,7,14,0.5,3,8,0.375,0,0,0.0,1,6,7,3,1,0,3,1,17,8,1
22025,1631126,0022500238,2025-11-16,POR @ DAL,L,14,1,6,0.167,0,4,0.0,0,0,0.0,0,2,2,2,1,0,0,1,2,-1,1
22025,1631126,0022500042,2025-11-14,POR @ HOU,L,5,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,5,3,1
22025,1631126,0022500163,2025-11-03,POR vs. LAL,L,7,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,1,0,0,2,1
22025,1631126,0022500135,2025-10-29,POR @ UTA,W,8,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,4,0,0,0,0,5,-5,1
22025,1631126,0022500122,2025-10-27,POR @ LAL,W,11,2,10,0.2,1,5,0.2,0,0,0.0,0,4,4,1,0,0,0,0,5,5,1
