SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1641717,0022500484,2026-01-02,OKC @ GSW,W,14,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,1,2,0,0,0,2,19,1
22025,1641717,0022500470,2025-12-31,OKC vs. POR,W,27,2,5,0.4,1,4,0.25,0,0,0.0,0,2,2,4,0,0,1,1,5,13,1
22025,1641717,0022500455,2025-12-29,OKC vs. ATL,W,34,6,8,0.75,5,6,0.833,0,0,0.0,1,6,7,3,2,1,1,4,17,22,1
22025,1641717,0022500442,2025-12-28,OKC vs. PHI,W,26,4,8,0.5,1,3,0.333,0,0,0.0,2,2,4,4,2,0,0,1,9,18,1
22025,1641717,0022500010,2025-12-25,OKC vs. SAS,L,21,1,7,0.143,1,4,0.25,2,3,0.667,4,0,4,1,0,1,0,1,5,-9,1
22025,1641717,0022500417,2025-12-23,OKC @ SAS,L,25,2,6,0.333,0,4,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,-12,1
22025,1641717,0022500406,2025-12-22,OKC vs. MEM,W,29,3,8,0.375,2,4,0.5,0,0,0.0,1,2,3,1,1,0,0,0,8,12,1
22025,1641717,0022500385,2025-12-19,OKC @ MIN,L,27,0,3,0.0,0,1,0.0,2,2,1.0,1,1,2,0,3,0,1,3,2,-2,1
22025,1641717,0022500369,2025-12-18,OKC vs. LAC,W,29,1,8,0.125,1,6,0.167,2,2,1.0,1,0,1,4,5,0,0,4,5,-3,1
22025,1641717,0022501230,2025-12-13,OKC vs. SAS,L,27,3,7,0.429,1,5,0.2,0,0,0.0,0,3,3,1,2,0,1,4,7,0,1
22025,1641717,0022501203,2025-12-10,OKC vs. PHX,W,19,4,5,0.8,1,2,0.5,0,0,0.0,0,4,4,2,4,0,0,2,9,36,1
22025,1641717,0022500363,2025-12-07,OKC @ UTA,W,25,2,5,0.4,2,4,0.5,0,0,0.0,0,2,2,4,5,0,1,0,6,32,1
22025,1641717,0022500349,2025-12-05,OKC vs. DAL,W,23,4,7,0.571,3,5,0.6,0,0,0.0,1,3,4,1,1,0,0,0,11,19,1
22025,1641717,0022500323,2025-12-02,OKC @ GSW,W,28,2,7,0.286,0,3,0.0,0,2,0.0,1,5,6,1,2,1,1,1,4,17,1
22025,1641717,0022500305,2025-11-30,OKC @ POR,W,21,1,5,0.2,1,3,0.333,0,0,0.0,1,2,3,4,1,0,2,3,3,-2,1
22025,1641717,0022500075,2025-11-28,OKC vs. PHX,W,32,6,9,0.667,2,3,0.667,0,0,0.0,0,4,4,3,1,0,0,0,14,5,1
22025,1641717,0022500064,2025-11-26,OKC vs. MIN,W,32,4,7,0.571,1,4,0.25,0,0,0.0,1,2,3,2,2,0,1,5,9,-1,1
22025,1641717,0022500280,2025-11-23,OKC vs. POR,W,27,3,9,0.333,1,5,0.2,0,0,0.0,2,0,2,1,2,0,1,1,7,11,1
22025,1641717,0022500055,2025-11-21,OKC @ UTA,W,27,4,6,0.667,2,4,0.5,0,0,0.0,0,1,1,0,4,0,2,2,10,4,1
22025,1641717,0022500261,2025-11-19,OKC vs. SAC,W,26,5,9,0.556,2,5,0.4,0,0,0.0,0,2,2,1,1,1,0,2,12,8,1
22025,1641717,0022500247,2025-11-17,OKC @ NOP,W,28,3,10,0.3,1,4,0.25,0,0,0.0,0,2,2,4,3,0,3,4,7,14,1
22025,1641717,0022500229,2025-11-15,OKC @ CHA,W,30,4,7,0.571,2,2,1.0,0,0,0.0,0,2,2,4,3,0,3,2,10,17,1
22025,1641717,0022500222,2025-11-12,OKC vs. LAL,W,24,2,6,0.333,0,3,0.0,2,2,1.0,0,0,0,1,2,1,0,4,6,24,1
22025,1641717,0022500210,2025-11-11,OKC vs. GSW,W,21,1,5,0.2,1,3,0.333,0,0,0.0,1,0,1,2,0,0,1,3,3,25,1
22025,1641717,0022500194,2025-11-09,OKC @ MEM,W,34,2,10,0.2,1,7,0.143,1,1,1.0,1,3,4,1,2,0,0,1,6,19,1
22025,1641717,0022500038,2025-11-07,OKC @ SAC,W,27,6,8,0.75,3,4,0.75,0,0,0.0,1,1,2,2,1,0,0,0,15,17,1
22025,1641717,0022500180,2025-11-05,OKC @ POR,L,36,2,4,0.5,1,3,0.333,0,0,0.0,4,4,8,5,3,0,3,5,5,5,1
22025,1641717,0022500170,2025-11-04,OKC @ LAC,W,25,5,9,0.556,2,4,0.5,0,0,0.0,0,3,3,1,1,0,1,1,12,-6,1
22025,1641717,0022500148,2025-11-02,OKC vs. NOP,W,26,4,5,0.8,3,4,0.75,2,2,1.0,0,0,0,1,5,0,0,3,13,18,1
22025,1641717,0022500140,2025-10-30,OKC vs. WAS,W,27,3,7,0.429,2,4,0.5,4,4,1.0,1,4,5,3,4,2,0,2,12,14,1
22025,1641717,0022500126,2025-10-28,OKC vs. SAC,W,27,3,9,0.333,2,5,0.4,0,0,0.0,0,1,1,3,1,0,2,2,8,-17,1
22025,1641717,0022500119,2025-10-27,OKC @ DAL,W,33,2,9,0.222,0,5,0.0,0,0,0.0,1,4,5,5,1,0,1,2,4,4,1
22025,1641717,0022500101,2025-10-25,OKC @ ATL,W,26,1,7,0.143,1,3,0.333,0,0,0.0,1,2,3,3,3,1,1,3,3,21,1
22025,1641717,0022500001,2025-10-21,OKC vs. HOU,W,42,5,10,0.5,3,8,0.375,1,2,0.5,1,6,7,5,4,0,2,3,14,8,1
