SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642907,0022500485,2026-01-02,MEM @ LAL,L,24,2,10,0.2,0,3,0.0,1,1,1.0,1,6,7,5,1,1,2,1,5,-29,1
22025,1642907,0022500458,2025-12-30,MEM vs. PHI,L,37,10,16,0.625,2,4,0.5,6,6,1.0,6,10,16,4,0,0,3,3,28,14,1
22025,1642907,0022500443,2025-12-28,MEM @ WAS,L,23,4,9,0.444,0,3,0.0,3,3,1.0,1,5,6,3,0,0,2,1,11,-13,1
22025,1642907,0022500428,2025-12-26,MEM vs. MIL,W,25,5,9,0.556,3,5,0.6,2,2,1.0,2,3,5,2,1,0,0,2,15,-2,1
22025,1642907,0022500406,2025-12-22,MEM @ OKC,L,25,5,10,0.5,2,4,0.5,4,6,0.667,3,5,8,6,0,1,0,0,16,1,1
22025,1642907,0022500391,2025-12-20,MEM vs. WAS,L,31,5,9,0.556,2,5,0.4,2,4,0.5,3,3,6,3,1,1,2,3,14,6,1
22025,1642907,0022500368,2025-12-17,MEM @ MIN,W,27,5,12,0.417,0,4,0.0,3,3,1.0,1,4,5,3,1,0,3,1,13,-10,1
22025,1642907,0022501226,2025-12-15,MEM @ LAC,W,23,5,9,0.556,1,4,0.25,1,1,1.0,1,1,2,2,0,0,4,4,12,-16,1
22025,1642907,0022501213,2025-12-12,MEM vs. UTA,L,29,7,11,0.636,2,4,0.5,1,1,1.0,3,9,12,6,0,0,1,4,17,4,1
22025,1642907,0022500360,2025-12-07,MEM vs. POR,W,25,5,12,0.417,0,3,0.0,1,3,0.333,2,4,6,3,0,1,3,2,11,-7,1
22025,1642907,0022500347,2025-12-05,MEM vs. LAC,W,28,10,18,0.556,1,6,0.167,2,2,1.0,1,13,14,5,1,0,1,0,23,8,1
22025,1642907,0022500322,2025-12-02,MEM @ SAS,L,29,4,13,0.308,0,5,0.0,1,1,1.0,0,3,3,0,0,0,3,2,9,2,1
22025,1642907,0022500307,2025-11-30,MEM @ SAC,W,29,4,11,0.364,0,4,0.0,2,3,0.667,1,6,7,2,0,0,2,2,10,9,1
22025,1642907,0022500079,2025-11-28,MEM @ LAC,W,31,3,10,0.3,1,4,0.25,0,0,0.0,0,4,4,1,0,0,2,3,7,-4,1
22025,1642907,0022500065,2025-11-26,MEM @ NOP,W,34,5,10,0.5,0,2,0.0,2,3,0.667,1,8,9,4,0,1,3,2,12,24,1
22025,1642907,0022500287,2025-11-24,MEM vs. DEN,L,27,2,6,0.333,1,4,0.25,0,0,0.0,0,3,3,2,1,0,1,2,5,-2,1
22025,1642907,0022500273,2025-11-22,MEM @ DAL,W,25,3,11,0.273,0,4,0.0,3,5,0.6,1,1,2,1,0,0,0,1,9,8,1
22025,1642907,0022500265,2025-11-20,MEM vs. SAC,W,25,7,13,0.538,4,9,0.444,1,1,1.0,1,3,4,4,0,0,1,4,19,18,1
22025,1642907,0022500252,2025-11-18,MEM @ SAS,L,26,7,15,0.467,5,7,0.714,0,0,0.0,2,9,11,1,0,0,3,0,19,3,1
22025,1642907,0022500228,2025-11-15,MEM @ CLE,L,25,3,8,0.375,2,6,0.333,2,2,1.0,2,6,8,2,0,1,2,1,10,-1,1
22025,1642907,0022500216,2025-11-12,MEM @ BOS,L,26,3,12,0.25,1,6,0.167,5,6,0.833,2,4,6,3,0,0,2,2,12,-19,1
22025,1642907,0022500208,2025-11-11,MEM @ NYK,L,30,3,10,0.3,0,5,0.0,5,6,0.833,1,2,3,5,2,2,2,1,11,-5,1
22025,1642907,0022500194,2025-11-09,MEM vs. OKC,L,29,4,12,0.333,3,6,0.5,2,2,1.0,4,6,10,4,0,0,0,2,13,-14,1
22025,1642907,0022500034,2025-11-07,MEM vs. DAL,W,28,7,10,0.7,3,5,0.6,4,4,1.0,2,7,9,4,0,0,0,2,21,-3,1
22025,1642907,0022500176,2025-11-05,MEM vs. HOU,L,29,2,10,0.2,0,5,0.0,3,4,0.75,1,8,9,4,2,0,1,0,7,-4,1
22025,1642907,0022500161,2025-11-03,MEM vs. DET,L,31,5,9,0.556,3,6,0.5,4,4,1.0,1,5,6,2,0,0,3,5,17,-2,1
22025,1642907,0022500152,2025-11-02,MEM @ TOR,L,29,5,9,0.556,0,2,0.0,2,2,1.0,1,4,5,5,0,0,1,1,12,-7,1
22025,1642907,0022500024,2025-10-31,MEM vs. LAL,L,26,4,11,0.364,0,4,0.0,5,6,0.833,4,6,10,3,3,0,2,2,13,-13,1
22025,1642907,0022500137,2025-10-29,MEM @ PHX,W,28,5,10,0.5,2,3,0.667,2,2,1.0,2,2,4,1,0,1,3,4,14,4,1
22025,1642907,0022500121,2025-10-27,MEM @ GSW,L,25,4,6,0.667,1,3,0.333,0,0,0.0,1,3,4,2,0,1,1,3,9,-1,1
22025,1642907,0022500103,2025-10-25,MEM vs. IND,W,24,9,13,0.692,6,6,1.0,3,4,0.75,2,4,6,4,1,0,0,1,27,36,1
22025,1642907,0022500094,2025-10-24,MEM vs. MIA,L,22,5,9,0.556,2,5,0.4,4,4,1.0,0,2,2,2,2,0,0,2,16,-9,1
22025,1642907,0022500085,2025-10-22,MEM vs. NOP,W,22,5,5,1.0,0,0,0.0,4,4,1.0,0,3,3,1,2,1,0,2,14,24,1
