SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631096,0022500484,2026-01-02,OKC @ GSW,W,26,5,8,0.625,1,3,0.333,4,4,1.0,2,13,15,4,1,4,2,1,15,23,1
22025,1631096,0022500470,2025-12-31,OKC vs. POR,W,25,5,10,0.5,1,3,0.333,1,2,0.5,2,8,10,1,2,6,4,3,12,29,1
22025,1631096,0022500455,2025-12-29,OKC vs. ATL,W,31,9,14,0.643,2,4,0.5,4,4,1.0,4,6,10,2,0,2,2,3,24,14,1
22025,1631096,0022500442,2025-12-28,OKC vs. PHI,W,29,12,17,0.706,2,4,0.5,3,4,0.75,3,6,9,1,0,4,6,4,29,22,1
22025,1631096,0022500010,2025-12-25,OKC vs. SAS,L,31,5,9,0.556,0,2,0.0,0,2,0.0,1,11,12,2,0,1,1,3,10,-14,1
22025,1631096,0022500417,2025-12-23,OKC @ SAS,L,27,3,10,0.3,1,3,0.333,0,0,0.0,0,3,3,1,0,1,0,1,7,-11,1
22025,1631096,0022500385,2025-12-19,OKC @ MIN,L,25,4,9,0.444,0,2,0.0,6,6,1.0,1,4,5,0,0,2,0,3,14,-8,1
22025,1631096,0022500369,2025-12-18,OKC vs. LAC,W,31,8,13,0.615,3,5,0.6,3,3,1.0,1,6,7,2,1,0,1,3,22,8,1
22025,1631096,0022501230,2025-12-13,OKC vs. SAS,L,30,3,8,0.375,1,3,0.333,10,12,0.833,0,7,7,0,0,1,1,3,17,18,1
22025,1631096,0022501203,2025-12-10,OKC vs. PHX,W,25,9,13,0.692,4,4,1.0,2,3,0.667,2,6,8,2,0,3,0,0,24,33,1
22025,1631096,0022500363,2025-12-07,OKC @ UTA,W,23,12,15,0.8,1,2,0.5,0,3,0.0,1,8,9,1,1,2,3,2,25,16,1
22025,1631096,0022500349,2025-12-05,OKC vs. DAL,W,23,6,11,0.545,1,4,0.25,2,2,1.0,2,6,8,1,0,1,0,1,15,16,1
22025,1631096,0022500323,2025-12-02,OKC @ GSW,W,30,8,12,0.667,2,3,0.667,3,3,1.0,1,7,8,3,0,1,3,3,21,6,1
22025,1631096,0022500305,2025-11-30,OKC @ POR,W,30,9,15,0.6,0,0,0.0,1,4,0.25,3,6,9,1,1,3,2,6,19,14,1
22025,1631096,0022500075,2025-11-28,OKC vs. PHX,W,32,8,13,0.615,2,5,0.4,5,6,0.833,1,7,8,1,0,0,0,2,23,2,1
22025,1631096,0022500064,2025-11-26,OKC vs. MIN,W,29,4,12,0.333,2,4,0.5,2,2,1.0,1,8,9,2,1,1,1,3,12,-16,1
22025,1631096,0022500280,2025-11-23,OKC vs. POR,W,25,2,8,0.25,0,3,0.0,1,2,0.5,2,7,9,4,0,3,3,2,5,5,1
22025,1631096,0022500055,2025-11-21,OKC @ UTA,W,27,5,14,0.357,0,4,0.0,1,2,0.5,0,3,3,2,2,1,0,2,11,12,1
22025,1631096,0022500261,2025-11-19,OKC vs. SAC,W,31,10,15,0.667,1,5,0.2,0,0,0.0,1,6,7,1,1,3,6,2,21,1,1
22025,1631096,0022500247,2025-11-17,OKC @ NOP,W,33,10,14,0.714,3,6,0.5,3,4,0.75,3,6,9,0,0,1,3,2,26,23,1
22025,1631096,0022500229,2025-11-15,OKC @ CHA,W,32,10,20,0.5,2,4,0.5,3,4,0.75,3,5,8,2,0,1,2,2,25,13,1
22025,1631096,0022500222,2025-11-12,OKC vs. LAL,W,20,4,7,0.571,1,2,0.5,2,2,1.0,0,3,3,1,0,2,0,4,11,16,1
22025,1631096,0022500210,2025-11-11,OKC vs. GSW,W,25,9,9,1.0,2,2,1.0,3,3,1.0,1,10,11,2,0,1,2,3,23,23,1
22025,1631096,0022500194,2025-11-09,OKC @ MEM,W,30,8,14,0.571,1,4,0.25,4,4,1.0,0,7,7,2,1,0,0,4,21,14,1
22025,1631096,0022500038,2025-11-07,OKC @ SAC,W,21,4,9,0.444,0,4,0.0,2,2,1.0,2,5,7,1,0,1,2,5,10,19,1
22025,1631096,0022500170,2025-11-04,OKC @ LAC,W,30,4,8,0.5,0,1,0.0,3,4,0.75,0,5,5,3,1,3,3,4,11,22,1
22025,1631096,0022500119,2025-10-27,OKC @ DAL,W,32,6,10,0.6,2,5,0.4,4,6,0.667,1,10,11,2,0,4,3,4,18,15,1
22025,1631096,0022500101,2025-10-25,OKC @ ATL,W,27,8,12,0.667,6,8,0.75,9,10,0.9,3,8,11,1,3,1,3,3,31,16,1
22025,1631096,0022500005,2025-10-23,OKC @ IND,W,39,4,12,0.333,0,6,0.0,7,8,0.875,3,9,12,2,2,0,3,3,15,1,1
22025,1631096,0022500001,2025-10-21,OKC vs. HOU,W,38,11,17,0.647,2,5,0.4,4,4,1.0,2,5,7,2,0,0,3,6,28,-1,1
