SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629001,0022500492,2026-01-03,GSW vs. UTA,W,25,5,11,0.455,3,7,0.429,0,0,0.0,2,5,7,2,2,0,1,2,13,-3,1
22025,1629001,0022500462,2025-12-31,GSW @ CHA,W,23,3,8,0.375,1,3,0.333,0,0,0.0,3,0,3,2,2,0,3,3,7,2,1
22025,1629001,0022500449,2025-12-29,GSW @ BKN,W,24,4,6,0.667,0,2,0.0,2,2,1.0,1,7,8,1,2,1,1,1,10,26,1
22025,1629001,0022500011,2025-12-25,GSW vs. DAL,W,24,5,14,0.357,2,7,0.286,4,5,0.8,1,2,3,3,1,1,0,2,16,19,1
22025,1629001,0022500407,2025-12-22,GSW vs. ORL,W,16,1,6,0.167,0,2,0.0,2,2,1.0,0,0,0,1,2,0,0,1,4,1,1
22025,1629001,0022500392,2025-12-20,GSW vs. PHX,W,16,0,5,0.0,0,4,0.0,2,3,0.667,0,2,2,5,1,2,2,4,2,7,1
22025,1629001,0022500378,2025-12-18,GSW @ PHX,L,15,1,6,0.167,0,4,0.0,0,0,0.0,0,0,0,2,2,0,2,1,2,7,1
22025,1629001,0022501221,2025-12-14,GSW @ POR,L,19,0,5,0.0,0,3,0.0,0,0,0.0,0,1,1,1,2,1,1,2,0,0,1
22025,1629001,0022501215,2025-12-12,GSW vs. MIN,L,20,2,6,0.333,0,2,0.0,5,6,0.833,1,1,2,1,1,0,1,3,9,4,1
22025,1629001,0022500361,2025-12-07,GSW @ CHI,W,17,4,9,0.444,3,7,0.429,2,4,0.5,0,1,1,1,2,0,3,2,13,-3,1
22025,1629001,0022500333,2025-12-04,GSW @ PHI,L,21,5,11,0.455,0,2,0.0,4,4,1.0,0,1,1,3,2,1,1,3,14,-6,1
