SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203471,0022500483,2026-01-02,SAC @ PHX,L,24,4,10,0.4,1,3,0.333,3,4,0.75,0,2,2,2,0,0,2,1,12,-15,1
22025,203471,0022500474,2026-01-01,SAC vs. BOS,L,28,7,12,0.583,3,8,0.375,1,1,1.0,0,3,3,7,0,0,2,1,18,-5,1
22025,203471,0022500461,2025-12-30,SAC @ LAC,L,25,4,10,0.4,1,2,0.5,2,2,1.0,1,2,3,4,0,0,3,3,11,-20,1
22025,203471,0022500446,2025-12-28,SAC @ LAL,L,19,3,6,0.5,0,2,0.0,5,6,0.833,0,2,2,7,2,1,2,3,11,-7,1
22025,203471,0022500432,2025-12-27,SAC vs. DAL,W,20,4,11,0.364,1,2,0.5,1,1,1.0,0,2,2,5,3,0,1,1,10,0,1
22025,203471,0022500421,2025-12-23,SAC vs. DET,L,21,2,7,0.286,0,2,0.0,6,6,1.0,2,0,2,3,1,0,3,2,10,-10,1
22025,203471,0022500401,2025-12-21,SAC vs. HOU,W,32,7,13,0.538,3,8,0.375,7,8,0.875,1,6,7,10,0,0,1,0,24,4,1
22025,203471,0022500394,2025-12-20,SAC vs. POR,L,31,6,13,0.462,3,7,0.429,6,7,0.857,3,2,5,6,1,0,4,3,21,15,1
22025,203471,0022500380,2025-12-18,SAC @ POR,L,22,2,6,0.333,0,0,0.0,2,2,1.0,0,2,2,6,0,0,2,0,6,-12,1
22025,203471,0022501220,2025-12-14,SAC @ MIN,L,25,5,11,0.455,3,5,0.6,4,5,0.8,0,1,1,3,0,0,2,3,17,-5,1
22025,203471,0022500292,2025-11-24,SAC vs. MIN,W,24,2,8,0.25,0,1,0.0,2,2,1.0,1,4,5,9,0,0,1,1,6,2,1
22025,203471,0022500274,2025-11-22,SAC @ DEN,W,18,6,8,0.75,3,3,1.0,6,6,1.0,0,3,3,7,0,0,0,1,21,20,1
22025,203471,0022500265,2025-11-20,SAC @ MEM,L,25,0,8,0.0,0,4,0.0,3,4,0.75,1,1,2,6,0,1,3,2,3,-16,1
22025,203471,0022500261,2025-11-19,SAC @ OKC,L,32,9,21,0.429,2,9,0.222,1,3,0.333,2,3,5,3,0,0,4,3,21,-7,1
22025,203471,0022500234,2025-11-16,SAC @ SAS,L,35,8,13,0.615,5,8,0.625,1,1,1.0,0,6,6,5,1,0,0,3,22,-5,1
22025,203471,0022500044,2025-11-14,SAC @ MIN,L,28,5,13,0.385,2,6,0.333,2,5,0.4,0,6,6,6,1,0,1,2,14,-8,1
22025,203471,0022500223,2025-11-12,SAC vs. ATL,L,26,3,8,0.375,2,3,0.667,1,2,0.5,1,2,3,4,1,0,1,0,9,-20,1
22025,203471,0022500212,2025-11-11,SAC vs. DEN,L,21,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,3,0,0,-14,1
22025,203471,0022500197,2025-11-09,SAC vs. MIN,L,28,1,6,0.167,0,2,0.0,1,2,0.5,0,3,3,2,1,0,1,2,3,-15,1
22025,203471,0022500038,2025-11-07,SAC vs. OKC,L,25,0,10,0.0,0,5,0.0,2,2,1.0,0,2,2,8,0,0,0,1,2,-25,1
22025,203471,0022500181,2025-11-05,SAC vs. GSW,W,32,6,17,0.353,3,5,0.6,3,4,0.75,0,7,7,7,0,1,3,4,18,3,1
22025,203471,0022500162,2025-11-03,SAC @ DEN,L,35,7,14,0.5,0,5,0.0,4,4,1.0,1,3,4,9,1,0,2,1,18,-2,1
22025,203471,0022500142,2025-11-01,SAC @ MIL,W,37,8,13,0.615,3,5,0.6,5,5,1.0,0,5,5,7,2,0,3,1,24,0,1
22025,203471,0022500132,2025-10-29,SAC @ CHI,L,28,2,9,0.222,1,3,0.333,0,0,0.0,0,2,2,7,2,0,1,2,5,-20,1
22025,203471,0022500126,2025-10-28,SAC @ OKC,L,32,4,9,0.444,0,3,0.0,0,0,0.0,0,5,5,3,1,0,2,4,8,-10,1
22025,203471,0022500113,2025-10-26,SAC vs. LAL,L,35,7,18,0.389,3,9,0.333,1,1,1.0,2,0,2,12,1,1,2,2,18,-16,1
22025,203471,0022500098,2025-10-24,SAC vs. UTA,W,33,8,16,0.5,1,5,0.2,0,0,0.0,0,5,5,3,2,0,4,1,17,-7,1
22025,203471,0022500088,2025-10-22,SAC @ PHX,L,30,6,13,0.462,2,4,0.5,0,0,0.0,0,1,1,7,2,1,4,3,14,-8,1
