SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628415,0022500483,2026-01-02,PHX vs. SAC,W,25,8,14,0.571,2,4,0.5,0,0,0.0,1,1,2,1,1,0,0,2,18,9,1
22025,1628415,0022500465,2025-12-31,PHX @ CLE,L,34,7,15,0.467,2,4,0.5,4,4,1.0,0,3,3,3,3,0,1,4,20,-13,1
22025,1628415,0022500448,2025-12-29,PHX @ WAS,W,33,8,20,0.4,3,8,0.375,7,7,1.0,0,3,3,0,0,0,1,2,26,26,1
22025,1628415,0022500434,2025-12-27,PHX @ NOP,W,33,7,18,0.389,2,7,0.286,2,3,0.667,1,3,4,1,2,0,1,2,18,4,1
22025,1628415,0022500429,2025-12-26,PHX @ NOP,W,33,5,12,0.417,1,7,0.143,3,4,0.75,0,3,3,1,2,0,2,3,14,15,1
22025,1628415,0022500418,2025-12-23,PHX vs. LAL,W,24,10,15,0.667,3,6,0.5,2,2,1.0,0,0,0,0,0,0,0,2,25,20,1
22025,1628415,0022500392,2025-12-20,PHX @ GSW,L,32,8,11,0.727,3,5,0.6,3,4,0.75,0,5,5,3,0,0,2,5,22,1,1
22025,1628415,0022500378,2025-12-18,PHX vs. GSW,W,33,10,23,0.435,4,9,0.444,0,1,0.0,3,4,7,2,1,0,3,4,24,-13,1
22025,1628415,0022501228,2025-12-14,PHX vs. LAL,L,25,6,9,0.667,4,7,0.571,2,2,1.0,0,1,1,0,1,0,3,5,18,12,1
22025,1628415,0022501203,2025-12-10,PHX @ OKC,L,26,4,16,0.25,2,5,0.4,6,7,0.857,0,2,2,1,0,0,0,3,16,-47,1
22025,1628415,0022500365,2025-12-08,PHX @ MIN,W,31,7,20,0.35,2,8,0.25,2,4,0.5,0,2,2,2,0,0,2,0,18,-9,1
22025,1628415,0022500346,2025-12-05,PHX @ HOU,L,31,10,24,0.417,0,4,0.0,3,4,0.75,3,1,4,4,0,0,2,4,23,-24,1
22025,1628415,0022500317,2025-12-01,PHX @ LAL,W,33,15,26,0.577,2,7,0.286,1,3,0.333,0,2,2,2,1,0,4,4,33,22,1
22025,1628415,0022500299,2025-11-29,PHX vs. DEN,L,28,10,18,0.556,2,6,0.333,5,6,0.833,1,2,3,2,1,0,2,5,27,-16,1
22025,1628415,0022500075,2025-11-28,PHX @ OKC,L,39,6,18,0.333,2,9,0.222,5,5,1.0,1,2,3,2,2,0,3,5,19,-1,1
22025,1628415,0022500068,2025-11-26,PHX @ SAC,W,33,4,12,0.333,1,4,0.25,4,4,1.0,1,2,3,0,0,0,3,1,13,12,1
22025,1628415,0022500290,2025-11-24,PHX vs. HOU,L,32,11,22,0.5,2,8,0.25,5,6,0.833,1,2,3,0,1,0,2,5,29,-14,1
22025,1628415,0022500281,2025-11-23,PHX vs. SAS,W,35,10,24,0.417,4,12,0.333,1,2,0.5,1,2,3,2,1,0,2,2,25,8,1
22025,1628415,0022500053,2025-11-21,PHX vs. MIN,W,37,8,17,0.471,4,8,0.5,2,4,0.5,0,5,5,1,2,0,3,6,22,-3,1
22025,1628415,0022500254,2025-11-18,PHX @ POR,W,26,5,11,0.455,1,6,0.167,1,2,0.5,1,1,2,4,3,0,3,3,12,16,1
22025,1628415,0022500239,2025-11-16,PHX vs. ATL,L,36,14,25,0.56,3,7,0.429,3,3,1.0,1,5,6,1,3,0,3,5,34,-2,1
22025,1628415,0022500226,2025-11-13,PHX vs. IND,W,28,12,18,0.667,3,7,0.429,5,5,1.0,0,1,1,0,1,0,2,4,32,9,1
22025,1628415,0022500221,2025-11-12,PHX @ DAL,W,31,6,14,0.429,3,8,0.375,3,3,1.0,0,2,2,4,1,0,0,2,18,-6,1
22025,1628415,0022500204,2025-11-10,PHX vs. NOP,W,26,4,13,0.308,1,6,0.167,9,10,0.9,1,4,5,0,1,0,3,2,18,7,1
22025,1628415,0022500190,2025-11-08,PHX @ LAC,W,28,4,6,0.667,2,3,0.667,6,7,0.857,0,2,2,3,2,0,1,2,16,2,1
22025,1628415,0022500104,2025-10-25,PHX @ DEN,L,31,6,18,0.333,3,13,0.231,0,0,0.0,0,3,3,2,4,1,1,3,15,-16,1
22025,1628415,0022500099,2025-10-24,PHX @ LAC,L,27,7,17,0.412,5,10,0.5,2,2,1.0,3,0,3,2,2,0,4,5,21,-15,1
22025,1628415,0022500088,2025-10-22,PHX vs. SAC,W,34,9,24,0.375,1,8,0.125,3,3,1.0,1,3,4,3,2,1,2,5,22,2,1
