SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642270,0022500490,2026-01-03,POR @ SAS,W,34,9,12,0.75,3,5,0.6,3,6,0.5,6,6,12,4,0,0,0,5,24,1,1
22025,1642270,0022500482,2026-01-02,POR @ NOP,W,30,5,10,0.5,0,3,0.0,1,2,0.5,9,6,15,1,0,1,0,2,11,15,1
22025,1642270,0022500470,2025-12-31,POR @ OKC,L,17,2,5,0.4,1,2,0.5,1,2,0.5,2,3,5,0,0,0,1,2,6,-29,1
22025,1642270,0022500457,2025-12-29,POR vs. DAL,W,29,8,10,0.8,2,4,0.5,0,0,0.0,4,7,11,1,0,0,0,3,18,-2,1
22025,1642270,0022500444,2025-12-28,POR vs. BOS,W,34,8,10,0.8,1,3,0.333,1,2,0.5,7,11,18,1,0,0,2,3,18,-4,1
22025,1642270,0022500431,2025-12-26,POR vs. LAC,L,25,3,5,0.6,3,3,1.0,1,2,0.5,3,5,8,4,0,0,1,3,10,5,1
22025,1642270,0022500420,2025-12-23,POR vs. ORL,L,34,4,8,0.5,0,0,0.0,0,0,0.0,3,11,14,1,1,2,2,5,8,0,1
22025,1642270,0022500408,2025-12-22,POR vs. DET,L,34,6,8,0.75,2,2,1.0,3,6,0.5,5,5,10,2,0,3,0,1,17,1,1
22025,1642270,0022500394,2025-12-20,POR @ SAC,W,30,6,7,0.857,1,1,1.0,1,3,0.333,3,11,14,0,1,2,2,2,14,13,1
22025,1642270,0022500380,2025-12-18,POR vs. SAC,W,35,6,9,0.667,2,4,0.5,5,13,0.385,5,3,8,4,0,2,1,4,19,11,1
22025,1642270,0022501221,2025-12-14,POR vs. GSW,W,22,1,3,0.333,0,1,0.0,1,2,0.5,3,7,10,3,1,3,1,2,3,-9,1
22025,1642270,0022500324,2025-12-03,POR @ CLE,W,25,2,8,0.25,0,1,0.0,1,2,0.5,4,9,13,2,0,1,2,2,5,2,1
22025,1642270,0022500319,2025-12-02,POR @ TOR,L,21,4,8,0.5,0,2,0.0,3,3,1.0,3,8,11,1,0,0,1,0,11,-7,1
22025,1642270,0022500067,2025-11-26,POR vs. SAS,L,26,3,8,0.375,0,0,0.0,3,4,0.75,6,5,11,1,0,1,0,1,9,-9,1
22025,1642270,0022500288,2025-11-24,POR @ MIL,W,27,5,8,0.625,2,4,0.5,2,3,0.667,2,9,11,4,1,1,1,1,14,14,1
22025,1642270,0022500280,2025-11-23,POR @ OKC,L,20,2,5,0.4,2,4,0.5,2,4,0.5,2,6,8,2,0,2,2,5,8,2,1
22025,1642270,0022500056,2025-11-21,POR @ GSW,W,27,9,14,0.643,1,4,0.25,3,4,0.75,5,5,10,4,2,0,0,3,22,-2,1
22025,1642270,0022500263,2025-11-19,POR vs. CHI,L,34,7,13,0.538,1,3,0.333,2,3,0.667,10,11,21,4,1,2,0,3,17,8,1
22025,1642270,0022500254,2025-11-18,POR vs. PHX,L,23,3,8,0.375,0,0,0.0,3,3,1.0,7,5,12,2,0,5,2,1,9,-15,1
22025,1642270,0022500238,2025-11-16,POR @ DAL,L,28,6,11,0.545,2,6,0.333,2,2,1.0,7,4,11,2,0,2,0,4,16,-9,1
22025,1642270,0022500042,2025-11-14,POR @ HOU,L,24,4,9,0.444,0,3,0.0,1,1,1.0,6,2,8,0,0,0,1,1,9,-10,1
22025,1642270,0022500219,2025-11-12,POR @ NOP,W,27,4,9,0.444,0,4,0.0,1,1,1.0,3,7,10,0,0,3,3,3,9,12,1
22025,1642270,0022500200,2025-11-10,POR @ ORL,L,29,1,5,0.2,0,2,0.0,0,0,0.0,2,7,9,0,0,0,0,3,2,-4,1
22025,1642270,0022500187,2025-11-08,POR @ MIA,L,21,6,9,0.667,1,3,0.333,0,0,0.0,5,2,7,0,2,2,0,4,13,5,1
22025,1642270,0022500180,2025-11-05,POR vs. OKC,W,25,2,7,0.286,1,4,0.25,2,2,1.0,2,6,8,0,2,2,1,3,7,1,1
22025,1642270,0022500163,2025-11-03,POR vs. LAL,L,18,1,3,0.333,0,1,0.0,0,0,0.0,3,1,4,0,0,1,0,2,2,-7,1
22025,1642270,0022500026,2025-10-31,POR vs. DEN,W,24,2,8,0.25,0,3,0.0,1,1,1.0,7,8,15,1,0,0,0,2,5,-4,1
22025,1642270,0022500135,2025-10-29,POR @ UTA,W,28,2,6,0.333,0,2,0.0,1,2,0.5,4,3,7,4,1,3,0,4,5,-1,1
22025,1642270,0022500122,2025-10-27,POR @ LAL,W,26,8,12,0.667,0,3,0.0,0,0,0.0,7,7,14,2,1,2,2,2,16,21,1
22025,1642270,0022500112,2025-10-26,POR @ LAC,L,24,3,6,0.5,1,3,0.333,2,2,1.0,6,4,10,3,1,1,1,1,9,-2,1
22025,1642270,0022500097,2025-10-24,POR vs. GSW,W,22,4,6,0.667,1,2,0.5,5,5,1.0,4,4,8,2,0,1,0,4,14,2,1
22025,1642270,0022500089,2025-10-22,POR vs. MIN,L,30,3,5,0.6,2,4,0.5,0,0,0.0,2,4,6,1,2,1,1,3,8,-2,1
