SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630171,0022500489,2026-01-03,CHI vs. CHA,L,27,1,5,0.2,0,4,0.0,0,0,0.0,0,2,2,1,1,0,1,3,2,-4,1
22025,1630171,0022500480,2026-01-02,CHI vs. ORL,W,30,4,8,0.5,0,2,0.0,1,1,1.0,1,2,3,1,1,0,0,2,9,18,1
22025,1630171,0022500466,2025-12-31,CHI vs. NOP,W,36,8,10,0.8,2,4,0.5,6,8,0.75,1,4,5,2,1,2,2,4,24,31,1
22025,1630171,0022500452,2025-12-29,CHI vs. MIN,L,20,0,4,0.0,0,3,0.0,4,4,1.0,1,2,3,0,0,0,1,1,4,-13,1
22025,1630171,0022500437,2025-12-27,CHI vs. MIL,L,19,4,8,0.5,1,1,1.0,1,2,0.5,2,2,4,2,0,0,0,2,10,-2,1
22025,1630171,0022500427,2025-12-26,CHI vs. PHI,W,18,3,5,0.6,2,2,1.0,0,0,0.0,0,1,1,2,0,0,0,1,8,-14,1
22025,1630171,0022500411,2025-12-23,CHI @ ATL,W,22,2,6,0.333,1,3,0.333,3,4,0.75,2,0,2,1,0,1,0,3,8,-11,1
22025,1630171,0022500396,2025-12-21,CHI @ ATL,W,19,6,7,0.857,2,3,0.667,0,1,0.0,1,0,1,1,2,0,0,6,14,5,1
22025,1630171,0022500384,2025-12-19,CHI @ CLE,W,20,1,3,0.333,1,1,1.0,0,0,0.0,1,1,2,0,3,1,0,0,3,-14,1
22025,1630171,0022500367,2025-12-17,CHI vs. CLE,W,31,6,7,0.857,0,0,0.0,0,0,0.0,2,0,2,1,1,0,0,4,12,1,1
22025,1630171,0022501223,2025-12-14,CHI vs. NOP,L,24,2,10,0.2,1,8,0.125,0,0,0.0,2,1,3,1,0,0,0,1,5,-1,1
22025,1630171,0022501209,2025-12-12,CHI @ CHA,W,26,7,11,0.636,0,2,0.0,1,1,1.0,1,2,3,1,0,0,0,3,15,-4,1
22025,1630171,0022500051,2025-11-21,CHI vs. MIA,L,17,4,8,0.5,1,2,0.5,0,2,0.0,1,1,2,0,0,0,0,2,9,-20,1
22025,1630171,0022500263,2025-11-19,CHI @ POR,W,26,5,8,0.625,3,6,0.5,0,1,0.0,0,1,1,0,0,0,0,4,13,-9,1
22025,1630171,0022500248,2025-11-17,CHI @ DEN,W,20,1,3,0.333,0,2,0.0,0,0,0.0,1,0,1,1,0,1,0,0,2,-11,1
22025,1630171,0022500240,2025-11-16,CHI @ UTA,L,40,2,7,0.286,1,3,0.333,0,0,0.0,3,3,6,3,1,1,1,4,5,-15,1
22025,1630171,0022500214,2025-11-12,CHI @ DET,L,32,5,7,0.714,2,2,1.0,3,4,0.75,2,2,4,2,0,3,1,2,15,-5,1
22025,1630171,0022500202,2025-11-10,CHI vs. SAS,L,21,0,5,0.0,0,3,0.0,2,2,1.0,1,1,2,3,0,1,2,5,2,-3,1
22025,1630171,0022500186,2025-11-08,CHI @ CLE,L,33,5,7,0.714,3,4,0.75,6,6,1.0,1,3,4,3,0,0,1,3,19,-9,1
22025,1630171,0022500035,2025-11-07,CHI @ MIL,L,17,3,6,0.5,0,2,0.0,0,0,0.0,2,2,4,0,1,1,0,4,6,-13,1
22025,1630171,0022500167,2025-11-04,CHI vs. PHI,W,33,5,8,0.625,3,6,0.5,3,4,0.75,1,1,2,5,2,1,1,3,16,4,1
22025,1630171,0022500153,2025-11-02,CHI @ NYK,L,22,6,11,0.545,2,4,0.5,0,0,0.0,1,0,1,0,0,0,3,3,14,-18,1
22025,1630171,0022500023,2025-10-31,CHI vs. NYK,W,16,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,2,3,-11,1
22025,1630171,0022500132,2025-10-29,CHI vs. SAC,W,29,4,9,0.444,1,4,0.25,0,0,0.0,1,3,4,2,1,1,2,3,9,20,1
22025,1630171,0022500115,2025-10-27,CHI vs. ATL,W,24,4,8,0.5,1,4,0.25,1,1,1.0,0,0,0,1,0,0,1,2,10,-1,1
22025,1630171,0022500100,2025-10-25,CHI @ ORL,W,22,0,6,0.0,0,3,0.0,0,0,0.0,2,2,4,0,0,1,1,4,0,-5,1
22025,1630171,0022500084,2025-10-22,CHI vs. DET,W,23,0,2,0.0,0,0,0.0,0,0,0.0,1,4,5,4,0,0,2,5,0,17,1
