SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630191,0022500494,2026-01-04,DET @ CLE,W,31,4,7,0.571,0,1,0.0,0,0,0.0,2,1,3,2,2,3,4,3,8,-6,1
22025,1630191,0022500472,2026-01-01,DET vs. MIA,L,30,2,5,0.4,1,3,0.333,1,2,0.5,0,4,4,2,0,5,2,4,6,-1,1
22025,1630191,0022500460,2025-12-30,DET @ LAL,W,18,6,6,1.0,1,1,1.0,2,2,1.0,0,2,2,0,0,1,1,4,15,21,1
22025,1630191,0022500445,2025-12-28,DET @ LAC,L,24,4,11,0.364,0,1,0.0,0,0,0.0,2,2,4,0,0,2,1,4,8,-5,1
22025,1630191,0022500430,2025-12-26,DET @ UTA,L,26,2,7,0.286,0,2,0.0,0,0,0.0,2,2,4,1,0,3,1,4,4,-4,1
22025,1630191,0022500421,2025-12-23,DET @ SAC,W,21,6,12,0.5,2,6,0.333,2,2,1.0,2,1,3,3,0,1,1,2,16,11,1
22025,1630191,0022500408,2025-12-22,DET @ POR,W,21,1,3,0.333,0,1,0.0,1,2,0.5,2,2,4,0,0,3,0,1,3,-14,1
22025,1630191,0022500390,2025-12-20,DET vs. CHA,W,24,2,7,0.286,1,3,0.333,3,4,0.75,4,7,11,0,1,3,5,5,8,11,1
22025,1630191,0022500376,2025-12-18,DET @ DAL,L,31,5,10,0.5,1,3,0.333,3,4,0.75,5,3,8,1,1,2,2,3,14,10,1
22025,1630191,0022501222,2025-12-15,DET @ BOS,W,22,3,6,0.5,0,1,0.0,1,2,0.5,5,2,7,0,0,1,0,0,7,1,1
22025,1630191,0022501210,2025-12-12,DET vs. ATL,W,21,7,9,0.778,1,3,0.333,2,2,1.0,0,5,5,5,0,0,0,4,17,23,1
22025,1630191,0022500353,2025-12-06,DET vs. MIL,W,26,6,8,0.75,3,5,0.6,4,4,1.0,0,2,2,0,0,1,1,2,19,13,1
22025,1630191,0022500342,2025-12-05,DET vs. POR,W,22,3,7,0.429,0,2,0.0,3,4,0.75,0,1,1,1,0,4,1,5,9,10,1
22025,1630191,0022500331,2025-12-03,DET @ MIL,L,18,2,3,0.667,1,1,1.0,0,0,0.0,2,2,4,0,1,2,0,2,5,-7,1
22025,1630191,0022500309,2025-12-01,DET vs. ATL,W,25,3,4,0.75,0,1,0.0,0,0,0.0,1,9,10,0,0,5,2,2,6,4,1
22025,1630191,0022500296,2025-11-29,DET @ MIA,W,29,4,7,0.571,0,1,0.0,1,3,0.333,2,6,8,1,0,1,1,5,9,-7,1
22025,1630191,0022500072,2025-11-28,DET vs. ORL,L,14,2,3,0.667,1,1,1.0,3,3,1.0,1,5,6,1,0,0,3,5,8,-18,1
22025,1630191,0022500060,2025-11-26,DET @ BOS,L,20,3,7,0.429,0,0,0.0,0,2,0.0,4,5,9,1,0,1,1,3,6,-4,1
22025,1630191,0022500283,2025-11-24,DET @ IND,W,20,4,6,0.667,1,2,0.5,0,0,0.0,1,4,5,0,1,1,2,3,9,-3,1
22025,1630191,0022500272,2025-11-22,DET @ MIL,W,23,3,4,0.75,1,2,0.5,0,0,0.0,0,2,2,1,0,3,0,3,7,-5,1
22025,1630191,0022500251,2025-11-18,DET @ ATL,W,26,4,7,0.571,0,0,0.0,5,5,1.0,2,7,9,3,0,0,2,2,13,6,1
22025,1630191,0022500242,2025-11-17,DET vs. IND,W,20,3,7,0.429,2,5,0.4,2,2,1.0,1,1,2,0,0,5,2,6,10,10,1
22025,1630191,0022500041,2025-11-14,DET vs. PHI,W,23,6,11,0.545,1,3,0.333,1,1,1.0,3,4,7,1,0,0,2,3,14,3,1
22025,1630191,0022500031,2025-11-07,DET @ BKN,W,9,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,4,-5,1
22025,1630191,0022500172,2025-11-05,DET vs. UTA,W,31,4,9,0.444,2,6,0.333,0,0,0.0,0,6,6,1,0,3,1,1,10,12,1
22025,1630191,0022500161,2025-11-03,DET @ MEM,W,34,9,18,0.5,2,8,0.25,6,6,1.0,5,9,14,4,0,4,1,1,26,9,1
22025,1630191,0022500147,2025-11-01,DET vs. DAL,W,25,4,7,0.571,0,2,0.0,2,4,0.5,2,2,4,1,0,2,0,3,10,-13,1
22025,1630191,0022500129,2025-10-29,DET vs. ORL,W,18,4,5,0.8,1,1,1.0,0,0,0.0,1,3,4,1,0,2,1,6,9,9,1
22025,1630191,0022500007,2025-10-27,DET vs. CLE,L,26,1,9,0.111,1,4,0.25,1,2,0.5,5,4,9,3,1,1,3,3,4,-30,1
22025,1630191,0022500106,2025-10-26,DET vs. BOS,W,21,3,6,0.5,2,2,1.0,1,2,0.5,1,5,6,1,1,1,0,2,9,4,1
22025,1630191,0022500093,2025-10-24,DET @ HOU,W,17,1,4,0.25,1,3,0.333,1,4,0.25,1,3,4,0,0,2,1,6,4,2,1
22025,1630191,0022500084,2025-10-22,DET @ CHI,L,25,8,14,0.571,2,2,1.0,2,2,1.0,5,5,10,2,0,4,0,3,20,8,1
