SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1627826,0022500493,2026-01-03,LAC vs. BOS,L,21,2,6,0.333,0,0,0.0,0,0,0.0,3,4,7,1,0,1,0,0,4,-13,1
22025,1627826,0022500395,2025-12-20,LAC vs. LAL,W,11,2,3,0.667,0,0,0.0,1,1,1.0,1,1,2,1,0,0,1,0,5,13,1
22025,1627826,0022500369,2025-12-18,LAC @ OKC,L,32,3,7,0.429,0,0,0.0,5,6,0.833,3,8,11,3,0,2,2,1,11,-14,1
22025,1627826,0022501226,2025-12-15,LAC vs. MEM,L,33,3,6,0.5,0,0,0.0,0,0,0.0,3,10,13,2,0,1,4,3,6,-12,1
22025,1627826,0022501205,2025-12-11,LAC @ HOU,L,35,13,14,0.929,0,0,0.0,7,11,0.636,4,3,7,1,1,2,1,2,33,9,1
22025,1627826,0022500355,2025-12-06,LAC @ MIN,L,38,7,14,0.5,0,0,0.0,1,5,0.2,6,7,13,2,0,1,3,4,15,4,1
22025,1627826,0022500347,2025-12-05,LAC @ MEM,L,35,4,6,0.667,0,0,0.0,2,2,1.0,1,5,6,1,1,0,2,3,10,-12,1
22025,1627826,0022500327,2025-12-03,LAC @ ATL,W,33,6,8,0.75,0,0,0.0,2,3,0.667,3,14,17,5,0,0,3,1,14,18,1
22025,1627826,0022500313,2025-12-01,LAC @ MIA,L,31,7,13,0.538,0,0,0.0,2,3,0.667,3,10,13,2,0,1,1,1,16,4,1
22025,1627826,0022500300,2025-11-29,LAC vs. DAL,L,38,8,12,0.667,0,0,0.0,3,3,1.0,2,9,11,4,1,1,2,5,19,4,1
22025,1627826,0022500079,2025-11-28,LAC vs. MEM,L,39,4,11,0.364,0,0,0.0,1,1,1.0,3,9,12,5,0,2,2,3,9,-8,1
22025,1627826,0022500059,2025-11-25,LAC @ LAL,L,37,5,12,0.417,0,0,0.0,0,2,0.0,6,4,10,4,1,2,1,5,10,-11,1
22025,1627826,0022500278,2025-11-23,LAC @ CLE,L,33,15,22,0.682,0,0,0.0,3,3,1.0,7,11,18,4,0,0,2,3,33,6,1
22025,1627826,0022500268,2025-11-22,LAC @ CHA,W,30,9,12,0.75,0,0,0.0,0,0,0.0,2,7,9,6,0,1,1,1,18,17,1
22025,1627826,0022500264,2025-11-20,LAC @ ORL,L,32,7,16,0.438,0,0,0.0,0,0,0.0,5,14,19,0,0,0,1,2,14,-8,1
22025,1627826,0022500243,2025-11-17,LAC @ PHI,L,34,7,13,0.538,0,0,0.0,0,0,0.0,5,8,13,1,1,0,0,1,14,-7,1
22025,1627826,0022500233,2025-11-16,LAC @ BOS,L,34,6,10,0.6,0,0,0.0,4,4,1.0,2,10,12,2,1,1,1,4,16,-15,1
22025,1627826,0022500046,2025-11-14,LAC @ DAL,W,46,11,15,0.733,0,0,0.0,5,7,0.714,4,7,11,2,1,1,5,4,27,25,1
22025,1627826,0022500224,2025-11-12,LAC vs. DEN,L,32,9,14,0.643,0,0,0.0,0,0,0.0,6,3,9,1,0,2,2,2,18,-10,1
22025,1627826,0022500206,2025-11-10,LAC vs. ATL,L,30,6,10,0.6,0,0,0.0,1,4,0.25,3,9,12,1,0,2,2,3,13,1,1
22025,1627826,0022500190,2025-11-08,LAC vs. PHX,L,35,10,12,0.833,0,0,0.0,1,2,0.5,2,13,15,4,0,0,3,3,21,-10,1
22025,1627826,0022500182,2025-11-06,LAC @ PHX,L,27,8,14,0.571,0,0,0.0,7,8,0.875,5,6,11,2,2,0,2,2,23,-11,1
22025,1627826,0022500170,2025-11-04,LAC vs. OKC,L,26,3,8,0.375,0,0,0.0,1,2,0.5,4,3,7,2,2,0,2,2,7,7,1
22025,1627826,0022500164,2025-11-03,LAC vs. MIA,L,33,4,9,0.444,0,0,0.0,1,2,0.5,5,13,18,3,1,1,3,5,9,-6,1
22025,1627826,0022500027,2025-10-31,LAC vs. NOP,W,34,5,7,0.714,0,0,0.0,4,4,1.0,1,10,11,1,0,3,0,5,14,2,1
22025,1627826,0022500127,2025-10-28,LAC @ GSW,L,24,7,12,0.583,0,0,0.0,0,0,0.0,5,7,12,1,0,1,3,0,14,-14,1
22025,1627826,0022500112,2025-10-26,LAC vs. POR,W,35,9,14,0.643,0,0,0.0,3,3,1.0,2,6,8,3,0,2,1,3,21,8,1
22025,1627826,0022500099,2025-10-24,LAC vs. PHX,W,25,3,5,0.6,0,0,0.0,2,3,0.667,0,5,5,4,0,0,3,2,8,15,1
22025,1627826,0022500087,2025-10-22,LAC @ UTA,L,27,9,13,0.692,0,0,0.0,1,1,1.0,3,4,7,3,0,1,2,0,19,-21,1
