SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,201935,0022500493,2026-01-03,LAC vs. BOS,L,34,7,15,0.467,1,6,0.167,3,3,1.0,0,3,3,12,1,0,2,1,18,-24,1
22025,201935,0022500475,2026-01-01,LAC vs. UTA,W,29,5,14,0.357,1,6,0.167,9,11,0.818,1,2,3,7,0,0,1,1,20,5,1
22025,201935,0022500461,2025-12-30,LAC vs. SAC,W,30,6,14,0.429,1,6,0.167,8,10,0.8,0,3,3,5,1,0,0,0,21,19,1
22025,201935,0022500445,2025-12-28,LAC vs. DET,W,40,7,23,0.304,3,9,0.333,11,11,1.0,1,3,4,7,0,0,3,3,28,10,1
22025,201935,0022500431,2025-12-26,LAC @ POR,W,39,10,17,0.588,3,9,0.333,11,12,0.917,0,2,2,6,0,0,3,1,34,12,1
22025,201935,0022500422,2025-12-23,LAC vs. HOU,W,35,7,14,0.5,3,8,0.375,12,13,0.923,0,4,4,6,2,0,4,2,29,19,1
22025,201935,0022500395,2025-12-20,LAC vs. LAL,W,41,6,20,0.3,4,12,0.333,5,6,0.833,0,4,4,10,2,0,3,2,21,24,1
22025,201935,0022501226,2025-12-15,LAC vs. MEM,L,31,4,10,0.4,4,6,0.667,1,4,0.25,2,1,3,6,3,0,3,2,13,-5,1
22025,201935,0022501205,2025-12-11,LAC @ HOU,L,40,7,18,0.389,4,10,0.4,4,5,0.8,1,2,3,7,3,0,4,3,22,4,1
22025,201935,0022500355,2025-12-06,LAC @ MIN,L,39,10,18,0.556,1,5,0.2,13,15,0.867,0,5,5,6,4,1,4,4,34,7,1
22025,201935,0022500347,2025-12-05,LAC @ MEM,L,36,6,13,0.462,3,7,0.429,3,4,0.75,0,2,2,7,0,1,4,4,18,-17,1
22025,201935,0022500327,2025-12-03,LAC @ ATL,W,37,11,24,0.458,5,14,0.357,0,0,0.0,0,4,4,9,3,0,1,2,27,24,1
22025,201935,0022500313,2025-12-01,LAC @ MIA,L,20,2,6,0.333,1,4,0.25,6,7,0.857,0,2,2,3,0,0,5,1,11,-39,1
22025,201935,0022500300,2025-11-29,LAC vs. DAL,L,37,5,17,0.294,2,6,0.333,17,19,0.895,0,8,8,11,0,1,7,1,29,-2,1
22025,201935,0022500079,2025-11-28,LAC vs. MEM,L,40,6,18,0.333,4,13,0.308,7,7,1.0,1,6,7,11,2,0,5,5,23,3,1
22025,201935,0022500059,2025-11-25,LAC @ LAL,L,37,9,21,0.429,3,12,0.25,8,8,1.0,1,4,5,9,2,0,5,3,29,-1,1
22025,201935,0022500278,2025-11-23,LAC @ CLE,L,32,5,16,0.313,0,8,0.0,9,10,0.9,0,2,2,6,1,0,3,2,19,-15,1
22025,201935,0022500268,2025-11-22,LAC @ CHA,W,35,17,26,0.654,10,16,0.625,11,14,0.786,1,2,3,7,1,0,2,1,55,22,1
22025,201935,0022500264,2025-11-20,LAC @ ORL,L,31,8,16,0.5,5,11,0.455,10,12,0.833,1,4,5,8,2,0,5,1,31,-20,1
22025,201935,0022500243,2025-11-17,LAC @ PHI,L,37,7,25,0.28,2,12,0.167,12,12,1.0,1,5,6,5,1,2,4,2,28,4,1
22025,201935,0022500233,2025-11-16,LAC @ BOS,L,38,9,22,0.409,5,11,0.455,14,15,0.933,1,6,7,8,1,0,3,3,37,-8,1
22025,201935,0022500046,2025-11-14,LAC @ DAL,W,51,13,25,0.52,6,12,0.5,9,11,0.818,2,12,14,11,1,2,3,3,41,8,1
22025,201935,0022500224,2025-11-12,LAC vs. DEN,L,30,6,15,0.4,1,6,0.167,10,10,1.0,0,8,8,5,0,0,2,0,23,-24,1
22025,201935,0022500206,2025-11-10,LAC vs. ATL,L,39,12,23,0.522,6,14,0.429,5,6,0.833,3,7,10,11,0,2,6,0,35,0,1
22025,201935,0022500190,2025-11-08,LAC vs. PHX,L,41,4,15,0.267,2,10,0.2,3,4,0.75,0,0,0,13,0,0,3,2,13,-18,1
22025,201935,0022500170,2025-11-04,LAC vs. OKC,L,30,7,17,0.412,5,9,0.556,6,6,1.0,0,6,6,6,1,0,2,2,25,2,1
22025,201935,0022500164,2025-11-03,LAC vs. MIA,L,39,8,15,0.533,6,10,0.6,7,7,1.0,0,7,7,8,1,0,7,4,29,1,1
22025,201935,0022500027,2025-10-31,LAC vs. NOP,W,39,8,19,0.421,4,13,0.308,4,5,0.8,1,4,5,14,2,0,4,2,24,3,1
22025,201935,0022500127,2025-10-28,LAC @ GSW,L,32,6,15,0.4,1,5,0.2,7,7,1.0,0,4,4,1,2,0,3,1,20,-3,1
22025,201935,0022500112,2025-10-26,LAC vs. POR,W,38,6,12,0.5,2,7,0.286,6,7,0.857,0,6,6,13,3,0,7,3,20,12,1
22025,201935,0022500099,2025-10-24,LAC vs. PHX,W,28,8,12,0.667,5,7,0.714,9,9,1.0,0,7,7,7,0,1,4,2,30,22,1
22025,201935,0022500087,2025-10-22,LAC @ UTA,L,29,5,12,0.417,2,9,0.222,3,4,0.75,0,2,2,11,0,0,2,1,15,-21,1
