SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629020,0022500485,2026-01-02,LAL vs. MEM,W,20,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,1,1,1,3,0,5,-6,1
22025,1629020,0022500460,2025-12-30,LAL vs. DET,L,27,3,3,1.0,2,2,1.0,0,0,0.0,4,4,8,1,0,0,1,4,8,-17,1
22025,1629020,0022500446,2025-12-28,LAL vs. SAC,W,22,2,4,0.5,1,3,0.333,0,0,0.0,1,1,2,0,2,0,2,3,5,9,1
22025,1629020,0022500012,2025-12-25,LAL vs. HOU,L,26,4,6,0.667,3,4,0.75,0,0,0.0,2,3,5,2,1,0,0,3,11,5,1
22025,1629020,0022500418,2025-12-23,LAL @ PHX,L,20,2,4,0.5,1,2,0.5,0,0,0.0,3,2,5,1,0,0,2,0,5,-28,1
22025,1629020,0022500395,2025-12-20,LAL @ LAC,L,27,1,4,0.25,1,3,0.333,1,4,0.25,2,3,5,1,1,1,2,4,4,-14,1
22025,1629020,0022500379,2025-12-18,LAL @ UTA,W,25,3,7,0.429,1,2,0.5,0,0,0.0,5,6,11,1,0,0,1,2,7,15,1
22025,1629020,0022501228,2025-12-14,LAL @ PHX,W,15,2,5,0.4,1,2,0.5,2,2,1.0,6,1,7,0,2,1,0,1,7,7,1
22025,1629020,0022500362,2025-12-07,LAL @ PHI,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,1
22025,1629020,0022500231,2025-11-15,LAL @ MIL,W,8,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,0,0,-11,1
22025,1629020,0022500045,2025-11-14,LAL @ NOP,W,11,1,4,0.25,1,2,0.5,0,0,0.0,1,1,2,1,2,0,1,1,3,-19,1
22025,1629020,0022500222,2025-11-12,LAL @ OKC,L,19,2,4,0.5,1,2,0.5,1,2,0.5,1,8,9,2,0,0,3,2,6,-1,1
22025,1629020,0022500198,2025-11-10,LAL @ CHA,W,16,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,4,0,0,1
22025,1629020,0022500185,2025-11-08,LAL @ ATL,L,28,4,9,0.444,1,2,0.5,3,3,1.0,4,14,18,2,1,1,2,2,12,2,1
22025,1629020,0022500179,2025-11-05,LAL vs. SAS,W,17,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,4,5,-2,1
22025,1629020,0022500163,2025-11-03,LAL @ POR,W,21,1,1,1.0,0,0,0.0,2,2,1.0,0,4,4,2,1,1,2,0,4,1,1
22025,1629020,0022500155,2025-11-02,LAL vs. MIA,W,10,1,2,0.5,0,0,0.0,2,2,1.0,0,4,4,0,1,0,0,3,4,-9,1
22025,1629020,0022500024,2025-10-31,LAL @ MEM,W,14,1,2,0.5,0,1,0.0,0,0,0.0,1,3,4,1,0,1,0,1,2,9,1
22025,1629020,0022500136,2025-10-29,LAL @ MIN,W,26,1,3,0.333,0,1,0.0,1,2,0.5,6,6,12,4,1,0,4,4,3,4,1
22025,1629020,0022500122,2025-10-27,LAL vs. POR,L,28,6,11,0.545,0,1,0.0,2,2,1.0,4,4,8,3,3,0,1,1,14,-6,1
22025,1629020,0022500113,2025-10-26,LAL @ SAC,W,27,3,5,0.6,0,0,0.0,3,4,0.75,1,4,5,2,2,0,3,3,9,15,1
22025,1629020,0022500019,2025-10-24,LAL vs. MIN,W,20,0,2,0.0,0,1,0.0,2,2,1.0,1,6,7,0,2,2,1,2,2,12,1
22025,1629020,0022500002,2025-10-21,LAL vs. GSW,L,12,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,2,0,0,-4,1
