SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629637,0022500485,2026-01-02,LAL vs. MEM,W,23,5,6,0.833,0,0,0.0,2,2,1.0,0,2,2,0,2,1,0,3,12,8,1
22025,1629637,0022500460,2025-12-30,LAL vs. DET,L,18,5,5,1.0,0,0,0.0,3,5,0.6,2,0,2,2,1,0,0,1,13,-17,1
22025,1629637,0022500418,2025-12-23,LAL @ PHX,L,5,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,2,2,-7,1
22025,1629637,0022500395,2025-12-20,LAL @ LAC,L,31,3,4,0.75,0,0,0.0,2,2,1.0,2,3,5,2,1,0,1,5,8,-13,1
22025,1629637,0022500379,2025-12-18,LAL @ UTA,W,22,7,7,1.0,0,0,0.0,2,4,0.5,2,1,3,0,0,0,1,4,16,-10,1
22025,1629637,0022501228,2025-12-14,LAL @ PHX,W,18,4,4,1.0,0,0,0.0,4,5,0.8,3,6,9,2,0,0,2,1,12,11,1
22025,1629637,0022501204,2025-12-10,LAL vs. SAS,L,12,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,1,2,-10,1
22025,1629637,0022500362,2025-12-07,LAL @ PHI,W,17,1,1,1.0,0,0,0.0,1,4,0.25,1,4,5,0,0,3,0,5,3,-6,1
22025,1629637,0022500338,2025-12-05,LAL @ BOS,L,14,1,2,0.5,0,0,0.0,1,2,0.5,1,3,4,0,1,0,0,0,3,-16,1
22025,1629637,0022500336,2025-12-04,LAL @ TOR,W,16,2,5,0.4,0,0,0.0,0,0,0.0,3,1,4,0,0,3,0,0,4,4,1
22025,1629637,0022500317,2025-12-01,LAL vs. PHX,L,14,1,1,1.0,0,0,0.0,4,5,0.8,1,1,2,0,0,0,0,1,6,-13,1
22025,1629637,0022500308,2025-11-30,LAL vs. NOP,W,21,4,4,1.0,0,0,0.0,0,1,0.0,2,4,6,2,0,2,0,3,8,-2,1
22025,1629637,0022500078,2025-11-28,LAL vs. DAL,W,12,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,3,6,-8,1
22025,1629637,0022500059,2025-11-25,LAL vs. LAC,W,30,3,4,0.75,0,0,0.0,2,2,1.0,1,3,4,3,1,1,1,2,8,21,1
22025,1629637,0022500282,2025-11-23,LAL @ UTA,W,18,2,2,1.0,0,0,0.0,1,1,1.0,1,3,4,1,0,0,1,3,5,2,1
22025,1629637,0022500253,2025-11-18,LAL vs. UTA,W,15,3,3,1.0,0,0,0.0,2,3,0.667,2,1,3,0,1,0,0,1,8,13,1
22025,1629637,0022500231,2025-11-15,LAL @ MIL,W,17,3,4,0.75,0,0,0.0,4,4,1.0,0,6,6,1,2,0,2,1,10,10,1
22025,1629637,0022500045,2025-11-14,LAL @ NOP,W,12,1,3,0.333,0,0,0.0,0,0,0.0,3,0,3,1,0,0,0,0,2,-21,1
22025,1629637,0022500222,2025-11-12,LAL @ OKC,L,14,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,2,-17,1
22025,1629637,0022500198,2025-11-10,LAL @ CHA,W,15,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,2,2,4,1
22025,1629637,0022500185,2025-11-08,LAL @ ATL,L,17,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,0,4,-11,1
22025,1629637,0022500179,2025-11-05,LAL vs. SAS,W,15,3,4,0.75,0,0,0.0,3,5,0.6,2,2,4,1,0,0,0,1,9,1,1
22025,1629637,0022500163,2025-11-03,LAL @ POR,W,13,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,2,4,-2,1
22025,1629637,0022500155,2025-11-02,LAL vs. MIA,W,32,7,7,1.0,1,1,1.0,0,0,0.0,1,4,5,1,1,1,1,3,15,17,1
22025,1629637,0022500024,2025-10-31,LAL @ MEM,W,23,1,2,0.5,0,0,0.0,0,2,0.0,1,6,7,5,0,1,0,1,2,15,1
22025,1629637,0022500136,2025-10-29,LAL @ MIN,W,13,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,3,1,1,1,4,2,1,1
22025,1629637,0022500002,2025-10-21,LAL vs. GSW,L,14,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,-6,1
