SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642377,0022500485,2026-01-02,MEM @ LAL,L,28,2,11,0.182,2,8,0.25,0,0,0.0,0,1,1,2,1,0,0,3,6,-2,1
22025,1642377,0022500458,2025-12-30,MEM vs. PHI,L,32,6,12,0.5,2,5,0.4,0,0,0.0,0,4,4,2,0,0,2,2,14,-3,1
22025,1642377,0022500443,2025-12-28,MEM @ WAS,L,27,4,11,0.364,2,4,0.5,1,2,0.5,0,7,7,3,0,0,2,2,11,5,1
22025,1642377,0022500428,2025-12-26,MEM vs. MIL,W,29,4,8,0.5,3,6,0.5,3,4,0.75,0,2,2,3,1,0,2,3,14,18,1
22025,1642377,0022500419,2025-12-23,MEM @ UTA,W,32,4,8,0.5,2,4,0.5,2,2,1.0,0,1,1,4,4,1,2,2,12,6,1
22025,1642377,0022500406,2025-12-22,MEM @ OKC,L,32,5,16,0.313,0,6,0.0,2,2,1.0,1,3,4,0,3,1,5,4,12,-17,1
22025,1642377,0022500391,2025-12-20,MEM vs. WAS,L,32,2,10,0.2,0,5,0.0,0,0,0.0,0,5,5,1,1,0,2,2,4,-17,1
22025,1642377,0022500368,2025-12-17,MEM @ MIN,W,31,5,13,0.385,2,6,0.333,5,7,0.714,1,3,4,2,4,0,1,0,17,4,1
22025,1642377,0022501226,2025-12-15,MEM @ LAC,W,30,5,10,0.5,1,5,0.2,5,5,1.0,0,5,5,3,1,0,1,2,16,-6,1
22025,1642377,0022501213,2025-12-12,MEM vs. UTA,L,33,6,13,0.462,2,4,0.5,5,5,1.0,1,4,5,1,1,0,2,2,19,-2,1
22025,1642377,0022500360,2025-12-07,MEM vs. POR,W,26,4,8,0.5,2,4,0.5,6,8,0.75,0,5,5,3,2,0,0,2,16,14,1
22025,1642377,0022500347,2025-12-05,MEM vs. LAC,W,27,7,11,0.636,3,5,0.6,0,0,0.0,0,3,3,0,1,0,2,1,17,19,1
22025,1642377,0022500322,2025-12-02,MEM @ SAS,L,28,6,9,0.667,2,3,0.667,6,8,0.75,0,1,1,2,0,0,0,3,20,-22,1
22025,1642377,0022500307,2025-11-30,MEM @ SAC,W,30,4,5,0.8,3,3,1.0,4,4,1.0,0,3,3,1,0,0,1,2,15,21,1
22025,1642377,0022500079,2025-11-28,MEM @ LAC,W,28,2,7,0.286,1,6,0.167,8,8,1.0,3,3,6,2,1,0,1,3,13,-5,1
22025,1642377,0022500065,2025-11-26,MEM @ NOP,W,32,9,11,0.818,5,6,0.833,2,2,1.0,0,3,3,1,1,1,1,3,25,16,1
22025,1642377,0022500287,2025-11-24,MEM vs. DEN,L,33,8,13,0.615,4,8,0.5,2,4,0.5,2,3,5,3,1,0,0,1,22,7,1
22025,1642377,0022500273,2025-11-22,MEM @ DAL,W,31,3,10,0.3,0,2,0.0,3,4,0.75,3,2,5,4,0,0,0,2,9,18,1
22025,1642377,0022500265,2025-11-20,MEM vs. SAC,W,19,4,9,0.444,2,5,0.4,3,4,0.75,0,1,1,2,1,0,0,3,13,13,1
22025,1642377,0022500252,2025-11-18,MEM @ SAS,L,27,4,9,0.444,1,4,0.25,0,0,0.0,0,1,1,2,2,0,0,1,9,-1,1
22025,1642377,0022500228,2025-11-15,MEM @ CLE,L,24,3,8,0.375,1,4,0.25,1,1,1.0,0,2,2,0,0,0,2,4,8,3,1
22025,1642377,0022500216,2025-11-12,MEM @ BOS,L,24,2,10,0.2,1,5,0.2,0,0,0.0,3,1,4,0,2,0,0,2,5,-27,1
22025,1642377,0022500208,2025-11-11,MEM @ NYK,L,29,7,11,0.636,4,7,0.571,0,0,0.0,0,3,3,4,2,0,1,1,18,-6,1
22025,1642377,0022500194,2025-11-09,MEM vs. OKC,L,23,5,10,0.5,2,4,0.5,0,0,0.0,0,1,1,2,0,0,2,2,12,-14,1
22025,1642377,0022500034,2025-11-07,MEM vs. DAL,W,25,2,7,0.286,1,3,0.333,3,4,0.75,1,4,5,1,0,0,1,2,8,9,1
22025,1642377,0022500176,2025-11-05,MEM vs. HOU,L,20,3,3,1.0,1,1,1.0,1,2,0.5,1,2,3,1,0,0,1,0,8,-8,1
22025,1642377,0022500161,2025-11-03,MEM vs. DET,L,21,2,14,0.143,0,7,0.0,0,0,0.0,4,2,6,3,0,0,0,1,4,-8,1
22025,1642377,0022500152,2025-11-02,MEM @ TOR,L,26,3,11,0.273,1,4,0.25,0,0,0.0,2,3,5,2,0,0,0,4,7,4,1
22025,1642377,0022500024,2025-10-31,MEM vs. LAL,L,27,7,16,0.438,2,9,0.222,0,1,0.0,4,3,7,0,0,0,0,2,16,-3,1
22025,1642377,0022500137,2025-10-29,MEM @ PHX,W,29,3,9,0.333,1,5,0.2,2,2,1.0,1,2,3,1,2,0,0,2,9,-2,1
22025,1642377,0022500121,2025-10-27,MEM @ GSW,L,28,3,8,0.375,0,3,0.0,4,4,1.0,0,1,1,2,1,0,1,2,10,-19,1
22025,1642377,0022500103,2025-10-25,MEM vs. IND,W,27,2,10,0.2,0,7,0.0,1,2,0.5,0,3,3,0,0,0,1,2,5,7,1
22025,1642377,0022500094,2025-10-24,MEM vs. MIA,L,22,3,9,0.333,3,7,0.429,0,0,0.0,1,3,4,1,0,0,1,2,9,-26,1
22025,1642377,0022500085,2025-10-22,MEM vs. NOP,W,28,4,8,0.5,4,8,0.5,2,5,0.4,0,3,3,4,1,0,2,3,14,11,1
