SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630692,0022500483,2026-01-02,PHX vs. SAC,W,23,2,3,0.667,1,2,0.5,2,2,1.0,0,2,2,6,1,0,1,3,7,8,1
22025,1630692,0022500465,2025-12-31,PHX @ CLE,L,22,1,11,0.091,0,2,0.0,2,3,0.667,8,7,15,1,1,0,1,3,4,-11,1
22025,1630692,0022500448,2025-12-29,PHX @ WAS,W,28,6,14,0.429,2,6,0.333,0,0,0.0,4,3,7,2,2,0,1,1,14,-1,1
22025,1630692,0022500434,2025-12-27,PHX @ NOP,W,23,5,12,0.417,2,6,0.333,4,4,1.0,5,4,9,4,0,0,2,0,16,-1,1
22025,1630692,0022500429,2025-12-26,PHX @ NOP,W,20,2,9,0.222,0,6,0.0,0,0,0.0,1,5,6,2,2,0,3,2,4,-4,1
22025,1630692,0022500418,2025-12-23,PHX vs. LAL,W,22,2,7,0.286,2,6,0.333,2,2,1.0,0,1,1,3,2,0,1,2,8,14,1
22025,1630692,0022500392,2025-12-20,PHX @ GSW,L,26,3,8,0.375,3,7,0.429,0,0,0.0,0,1,1,1,1,1,1,3,9,2,1
22025,1630692,0022500378,2025-12-18,PHX vs. GSW,W,30,3,12,0.25,1,7,0.143,2,4,0.5,3,3,6,3,2,1,0,3,9,-7,1
22025,1630692,0022501228,2025-12-14,PHX vs. LAL,L,18,2,7,0.286,1,3,0.333,0,0,0.0,2,1,3,2,2,0,2,1,5,0,1
22025,1630692,0022501203,2025-12-10,PHX @ OKC,L,19,6,12,0.5,3,5,0.6,0,0,0.0,1,2,3,1,2,0,2,2,15,-14,1
22025,1630692,0022500365,2025-12-08,PHX @ MIN,W,26,4,8,0.5,1,2,0.5,0,0,0.0,1,2,3,1,1,0,1,0,9,7,1
22025,1630692,0022500346,2025-12-05,PHX @ HOU,L,22,4,13,0.308,1,6,0.167,0,0,0.0,2,3,5,2,0,0,1,3,9,0,1
22025,1630692,0022500317,2025-12-01,PHX @ LAL,W,24,5,10,0.5,3,7,0.429,0,0,0.0,0,1,1,5,3,0,1,1,13,-2,1
22025,1630692,0022500299,2025-11-29,PHX vs. DEN,L,15,3,7,0.429,2,3,0.667,0,0,0.0,1,1,2,1,1,0,0,0,8,-8,1
22025,1630692,0022500075,2025-11-28,PHX @ OKC,L,26,5,13,0.385,1,5,0.2,3,4,0.75,2,3,5,2,1,0,1,1,14,6,1
22025,1630692,0022500068,2025-11-26,PHX @ SAC,W,24,3,8,0.375,1,5,0.2,0,0,0.0,2,6,8,2,2,1,0,3,7,15,1
22025,1630692,0022500290,2025-11-24,PHX vs. HOU,L,27,3,8,0.375,1,3,0.333,0,0,0.0,3,1,4,0,2,0,5,2,7,-24,1
22025,1630692,0022500281,2025-11-23,PHX vs. SAS,W,33,7,15,0.467,1,5,0.2,0,0,0.0,4,6,10,3,2,0,0,3,15,11,1
22025,1630692,0022500053,2025-11-21,PHX vs. MIN,W,29,6,9,0.667,1,2,0.5,0,0,0.0,4,2,6,4,2,0,2,0,13,8,1
22025,1630692,0022500254,2025-11-18,PHX @ POR,W,22,4,10,0.4,2,5,0.4,0,0,0.0,2,2,4,1,3,1,1,2,10,1,1
22025,1630692,0022500239,2025-11-16,PHX vs. ATL,L,22,6,9,0.667,1,2,0.5,1,1,1.0,3,4,7,2,1,0,1,1,14,14,1
22025,1630692,0022500226,2025-11-13,PHX vs. IND,W,23,4,7,0.571,2,3,0.667,0,0,0.0,3,6,9,5,1,0,0,2,10,32,1
22025,1630692,0022500221,2025-11-12,PHX @ DAL,W,20,5,11,0.455,3,5,0.6,0,0,0.0,3,3,6,2,1,0,0,3,13,16,1
22025,1630692,0022500204,2025-11-10,PHX vs. NOP,W,23,2,6,0.333,0,1,0.0,0,0,0.0,3,2,5,4,3,0,1,2,4,3,1
22025,1630692,0022500190,2025-11-08,PHX @ LAC,W,14,2,5,0.4,2,5,0.4,1,2,0.5,1,0,1,2,1,0,0,0,7,7,1
22025,1630692,0022500182,2025-11-06,PHX vs. LAC,W,11,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,2,0,-20,1
22025,1630692,0022500169,2025-11-04,PHX @ GSW,L,24,2,4,0.5,1,2,0.5,0,0,0.0,1,2,3,1,0,1,1,4,5,6,1
22025,1630692,0022500154,2025-11-02,PHX vs. SAS,W,20,3,5,0.6,3,5,0.6,2,2,1.0,1,2,3,2,2,0,2,2,11,-11,1
22025,1630692,0022500025,2025-10-31,PHX vs. UTA,W,17,3,8,0.375,1,5,0.2,0,0,0.0,1,3,4,3,1,0,2,2,7,11,1
22025,1630692,0022500104,2025-10-25,PHX @ DEN,L,5,0,2,0.0,0,1,0.0,2,3,0.667,0,1,1,1,2,0,1,0,2,-2,1
22025,1630692,0022500099,2025-10-24,PHX @ LAC,L,6,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,3,0,0,-1,1
