SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630631,0022500482,2026-01-02,NOP vs. POR,L,21,0,3,0.0,0,3,0.0,0,0,0.0,0,3,3,4,0,0,2,2,0,-13,1
22025,1630631,0022500434,2025-12-27,NOP vs. PHX,L,14,3,7,0.429,1,3,0.333,0,0,0.0,0,0,0,3,2,0,0,3,7,3,1
22025,1630631,0022500429,2025-12-26,NOP vs. PHX,L,25,4,7,0.571,1,4,0.25,2,2,1.0,0,2,2,2,0,0,0,3,11,15,1
22025,1630631,0022500412,2025-12-23,NOP @ CLE,L,25,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,2,1,0,2,3,6,-18,1
22025,1630631,0022500404,2025-12-22,NOP vs. DAL,W,16,2,4,0.5,2,4,0.5,0,0,0.0,1,1,2,3,1,0,1,0,6,-3,1
22025,1630631,0022500389,2025-12-20,NOP vs. IND,W,22,1,5,0.2,1,4,0.25,0,0,0.0,0,1,1,1,1,0,2,4,3,11,1
22025,1630631,0022500375,2025-12-18,NOP vs. HOU,W,30,2,5,0.4,1,3,0.333,2,3,0.667,1,2,3,6,1,0,0,3,7,3,1
22025,1630631,0022501223,2025-12-14,NOP @ CHI,W,18,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,2,1,1,0,0,3,-6,1
22025,1630631,0022501207,2025-12-11,NOP vs. POR,W,23,2,8,0.25,0,3,0.0,0,0,0.0,1,4,5,9,0,1,2,0,4,12,1
22025,1630631,0022500366,2025-12-08,NOP vs. SAS,L,31,4,7,0.571,2,5,0.4,0,0,0.0,0,3,3,6,1,1,1,3,10,-8,1
22025,1630631,0022500350,2025-12-06,NOP @ BKN,L,30,4,6,0.667,1,3,0.333,0,1,0.0,0,2,2,6,4,0,4,2,9,8,1
22025,1630631,0022500337,2025-12-04,NOP vs. MIN,L,22,5,8,0.625,3,5,0.6,0,0,0.0,0,3,3,1,2,0,2,3,13,-16,1
22025,1630631,0022500321,2025-12-02,NOP vs. MIN,L,25,5,8,0.625,4,4,1.0,0,0,0.0,0,3,3,3,1,0,2,3,14,-12,1
22025,1630631,0022500308,2025-11-30,NOP @ LAL,L,28,5,12,0.417,2,8,0.25,0,0,0.0,0,0,0,2,0,0,0,4,12,-5,1
22025,1630631,0022500298,2025-11-29,NOP @ GSW,L,31,1,10,0.1,1,7,0.143,4,4,1.0,1,2,3,4,0,1,2,5,7,-11,1
22025,1630631,0022500065,2025-11-26,NOP vs. MEM,L,27,9,15,0.6,6,11,0.545,0,0,0.0,1,4,5,2,2,0,1,5,24,23,1
22025,1630631,0022500289,2025-11-24,NOP vs. CHI,W,32,7,16,0.438,2,9,0.222,0,0,0.0,1,7,8,8,2,0,2,2,16,14,1
22025,1630631,0022500270,2025-11-22,NOP vs. ATL,L,17,3,5,0.6,2,3,0.667,0,0,0.0,0,1,1,1,0,0,2,1,8,-12,1
22025,1630631,0022500052,2025-11-21,NOP @ DAL,L,20,2,5,0.4,1,4,0.25,0,0,0.0,0,5,5,6,0,0,2,2,5,2,1
22025,1630631,0022500260,2025-11-19,NOP vs. DEN,L,19,1,6,0.167,0,4,0.0,0,0,0.0,1,3,4,2,1,0,0,0,2,-13,1
22025,1630631,0022500247,2025-11-17,NOP vs. OKC,L,23,3,9,0.333,0,4,0.0,0,0,0.0,1,1,2,1,2,0,1,4,6,-5,1
22025,1630631,0022500237,2025-11-16,NOP vs. GSW,L,25,6,12,0.5,3,8,0.375,3,3,1.0,0,1,1,3,0,0,4,0,18,-1,1
22025,1630631,0022500045,2025-11-14,NOP vs. LAL,L,21,3,8,0.375,2,4,0.5,0,0,0.0,1,1,2,2,1,0,1,3,8,7,1
22025,1630631,0022500219,2025-11-12,NOP vs. POR,L,22,2,7,0.286,1,5,0.2,0,0,0.0,1,0,1,3,1,0,3,2,5,-5,1
22025,1630631,0022500204,2025-11-10,NOP @ PHX,L,23,2,6,0.333,1,3,0.333,3,4,0.75,0,3,3,4,2,0,1,3,8,-11,1
22025,1630631,0022500188,2025-11-08,NOP @ SAS,L,17,2,3,0.667,2,2,1.0,2,2,1.0,0,2,2,5,0,0,0,2,8,-6,1
22025,1630631,0022500177,2025-11-05,NOP @ DAL,W,23,4,8,0.5,3,5,0.6,2,2,1.0,1,7,8,2,0,0,1,1,13,12,1
22025,1630631,0022500168,2025-11-04,NOP vs. CHA,W,31,7,11,0.636,4,7,0.571,0,0,0.0,1,2,3,6,2,0,1,1,18,21,1
22025,1630631,0022500148,2025-11-02,NOP @ OKC,L,18,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,2,1,0,0,2,3,-12,1
22025,1630631,0022500027,2025-10-31,NOP @ LAC,L,16,1,3,0.333,1,3,0.333,1,2,0.5,0,2,2,1,1,0,0,2,4,-3,1
22025,1630631,0022500134,2025-10-29,NOP @ DEN,L,14,1,5,0.2,1,4,0.25,0,0,0.0,0,2,2,1,1,0,1,1,3,-25,1
22025,1630631,0022500117,2025-10-27,NOP vs. BOS,L,22,2,6,0.333,1,4,0.25,0,0,0.0,1,2,3,2,2,0,1,0,5,-3,1
22025,1630631,0022500095,2025-10-24,NOP vs. SAS,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
