SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203944,0022500486,2026-01-03,MIN @ MIA,W,39,10,17,0.588,2,6,0.333,1,1,1.0,3,7,10,4,1,0,3,2,23,5,1
22025,203944,0022500463,2025-12-31,MIN @ ATL,L,31,7,13,0.538,3,4,0.75,2,4,0.5,1,6,7,2,1,0,1,2,19,-11,1
22025,203944,0022500452,2025-12-29,MIN @ CHI,W,28,6,11,0.545,0,2,0.0,5,6,0.833,0,5,5,14,1,0,0,2,17,28,1
22025,203944,0022500439,2025-12-27,MIN vs. BKN,L,34,5,14,0.357,1,3,0.333,2,2,1.0,1,2,3,11,2,0,3,3,13,-8,1
22025,203944,0022500013,2025-12-25,MIN @ DEN,L,39,12,22,0.545,2,7,0.286,6,7,0.857,3,4,7,6,3,1,2,4,32,-13,1
22025,203944,0022500416,2025-12-23,MIN vs. NYK,W,33,10,20,0.5,0,4,0.0,5,5,1.0,2,4,6,3,1,0,3,3,25,1,1
22025,203944,0022500400,2025-12-21,MIN vs. MIL,W,32,4,9,0.444,0,2,0.0,4,5,0.8,1,6,7,2,2,0,2,3,12,-6,1
22025,203944,0022500385,2025-12-19,MIN vs. OKC,W,32,3,15,0.2,1,4,0.25,12,16,0.75,5,3,8,5,0,0,2,4,19,10,1
22025,203944,0022500368,2025-12-17,MIN vs. MEM,L,35,9,21,0.429,1,6,0.167,2,4,0.5,2,3,5,3,3,0,4,3,21,-7,1
22025,203944,0022501220,2025-12-14,MIN vs. SAC,W,36,9,21,0.429,2,6,0.333,4,6,0.667,4,6,10,3,3,0,1,4,24,13,1
22025,203944,0022501215,2025-12-12,MIN @ GSW,W,34,7,14,0.5,2,6,0.333,11,12,0.917,1,8,9,6,0,0,3,2,27,0,1
22025,203944,0022500365,2025-12-08,MIN vs. PHX,L,37,7,11,0.636,2,4,0.5,5,7,0.714,1,2,3,8,0,0,3,4,21,-4,1
22025,203944,0022500355,2025-12-06,MIN vs. LAC,W,33,6,15,0.4,1,4,0.25,11,12,0.917,0,3,3,6,0,0,2,4,24,11,1
22025,203944,0022500337,2025-12-04,MIN @ NOP,W,37,9,18,0.5,2,3,0.667,8,8,1.0,2,7,9,3,0,0,4,2,28,8,1
22025,203944,0022500321,2025-12-02,MIN @ NOP,W,33,6,14,0.429,0,3,0.0,4,4,1.0,2,3,5,6,0,0,2,4,16,4,1
22025,203944,0022500306,2025-11-30,MIN vs. SAS,W,36,9,15,0.6,2,5,0.4,2,2,1.0,2,4,6,12,1,0,1,1,22,30,1
22025,203944,0022500293,2025-11-29,MIN vs. BOS,W,32,6,13,0.462,3,8,0.375,1,2,0.5,0,9,9,6,0,0,4,0,16,-8,1
22025,203944,0022500064,2025-11-26,MIN @ OKC,L,33,2,13,0.154,2,7,0.286,4,7,0.571,4,4,8,4,3,1,3,3,10,2,1
22025,203944,0022500292,2025-11-24,MIN @ SAC,L,39,5,13,0.385,1,4,0.25,6,6,1.0,2,8,10,5,0,0,5,4,17,-12,1
22025,203944,0022500053,2025-11-21,MIN @ PHX,L,34,6,13,0.462,2,7,0.286,6,9,0.667,1,4,5,2,1,0,5,3,20,1,1
22025,203944,0022500259,2025-11-19,MIN vs. WAS,W,33,11,19,0.579,1,4,0.25,9,13,0.692,2,8,10,6,0,0,1,1,32,0,1
22025,203944,0022500246,2025-11-17,MIN vs. DAL,W,27,4,16,0.25,1,5,0.2,3,5,0.6,1,5,6,4,1,0,1,3,12,21,1
22025,203944,0022500232,2025-11-15,MIN vs. DEN,L,38,9,17,0.529,1,5,0.2,7,7,1.0,1,5,6,8,2,0,2,4,26,-4,1
22025,203944,0022500044,2025-11-14,MIN vs. SAC,W,32,9,16,0.563,2,4,0.5,6,9,0.667,3,8,11,5,1,0,2,2,26,20,1
22025,203944,0022500205,2025-11-10,MIN @ UTA,W,34,7,16,0.438,1,4,0.25,12,13,0.923,1,7,8,7,3,0,2,2,27,22,1
22025,203944,0022500197,2025-11-09,MIN @ SAC,W,26,8,16,0.5,1,4,0.25,2,2,1.0,2,4,6,4,1,0,1,3,19,19,1
22025,203944,0022500036,2025-11-07,MIN vs. UTA,W,26,6,12,0.5,1,4,0.25,6,6,1.0,3,7,10,12,1,0,7,3,19,43,1
22025,203944,0022500175,2025-11-05,MIN @ NYK,L,38,12,21,0.571,3,6,0.5,5,5,1.0,1,4,5,4,0,1,3,3,32,-16,1
22025,203944,0022500156,2025-11-03,MIN @ BKN,W,34,6,12,0.5,0,3,0.0,7,8,0.875,2,9,11,10,2,0,4,3,19,13,1
22025,203944,0022500143,2025-11-01,MIN @ CHA,W,32,12,19,0.632,3,6,0.5,3,3,1.0,1,6,7,4,1,0,2,2,30,8,1
22025,203944,0022500136,2025-10-29,MIN vs. LAL,L,36,10,20,0.5,4,7,0.571,9,10,0.9,0,5,5,6,1,0,3,2,33,-1,1
22025,203944,0022500008,2025-10-27,MIN vs. DEN,L,35,8,15,0.533,1,4,0.25,7,8,0.875,1,6,7,3,2,1,2,4,24,-5,1
22025,203944,0022500110,2025-10-26,MIN vs. IND,W,39,11,18,0.611,1,4,0.25,8,10,0.8,0,4,4,6,1,0,3,2,31,-1,1
22025,203944,0022500019,2025-10-24,MIN @ LAL,L,30,9,16,0.563,4,8,0.5,4,5,0.8,3,6,9,6,0,0,3,0,26,-15,1
22025,203944,0022500089,2025-10-22,MIN @ POR,W,37,7,13,0.538,3,5,0.6,2,4,0.5,1,6,7,6,2,1,0,3,19,6,1
