SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,202695,0022500493,2026-01-03,LAC vs. BOS,L,34,6,17,0.353,2,8,0.25,8,8,1.0,0,3,3,3,3,1,1,2,22,-12,1
22025,202695,0022500475,2026-01-01,LAC vs. UTA,W,39,16,29,0.552,6,16,0.375,7,9,0.778,0,7,7,3,2,2,3,2,45,8,1
22025,202695,0022500461,2025-12-30,LAC vs. SAC,W,33,11,19,0.579,5,9,0.556,6,7,0.857,1,4,5,5,3,1,1,1,33,31,1
22025,202695,0022500445,2025-12-28,LAC vs. DET,W,39,17,26,0.654,5,10,0.5,16,17,0.941,1,10,11,2,5,3,3,2,55,20,1
22025,202695,0022500431,2025-12-26,LAC @ POR,W,41,7,20,0.35,2,7,0.286,12,12,1.0,1,7,8,6,3,1,4,1,28,17,1
22025,202695,0022500422,2025-12-23,LAC vs. HOU,W,37,16,23,0.696,4,5,0.8,5,5,1.0,1,7,8,5,0,0,2,2,41,25,1
22025,202695,0022500395,2025-12-20,LAC vs. LAL,W,42,8,24,0.333,4,12,0.333,12,12,1.0,6,6,12,3,3,2,3,2,32,16,1
22025,202695,0022500369,2025-12-18,LAC @ OKC,L,32,9,17,0.529,0,5,0.0,4,4,1.0,2,6,8,6,1,0,3,0,22,-24,1
22025,202695,0022501226,2025-12-15,LAC vs. MEM,L,37,9,18,0.5,1,5,0.2,2,2,1.0,1,3,4,3,1,0,2,2,21,-11,1
22025,202695,0022501205,2025-12-11,LAC @ HOU,L,41,9,22,0.409,3,10,0.3,3,3,1.0,2,7,9,4,5,1,1,3,24,-1,1
22025,202695,0022500355,2025-12-06,LAC @ MIN,L,31,8,17,0.471,2,4,0.5,2,2,1.0,1,2,3,2,0,0,0,1,20,0,1
22025,202695,0022500347,2025-12-05,LAC @ MEM,L,35,10,23,0.435,2,9,0.222,2,2,1.0,0,8,8,4,1,1,1,2,24,-6,1
22025,202695,0022500327,2025-12-03,LAC @ ATL,W,35,7,21,0.333,1,7,0.143,6,6,1.0,3,3,6,5,2,0,3,0,21,17,1
22025,202695,0022500313,2025-12-01,LAC @ MIA,L,30,12,21,0.571,3,6,0.5,9,10,0.9,0,7,7,2,3,0,1,1,36,8,1
22025,202695,0022500300,2025-11-29,LAC vs. DAL,L,29,10,20,0.5,3,4,0.75,7,7,1.0,0,8,8,3,0,0,2,3,30,3,1
22025,202695,0022500079,2025-11-28,LAC vs. MEM,L,29,15,24,0.625,3,7,0.429,6,6,1.0,0,3,3,0,1,0,1,0,39,4,1
22025,202695,0022500059,2025-11-25,LAC @ LAL,L,28,6,14,0.429,1,5,0.2,6,6,1.0,0,5,5,3,1,0,3,3,19,-14,1
22025,202695,0022500278,2025-11-23,LAC @ CLE,L,26,6,13,0.462,3,5,0.6,5,5,1.0,0,3,3,2,3,0,4,4,20,3,1
22025,202695,0022500164,2025-11-03,LAC vs. MIA,L,37,10,21,0.476,2,8,0.25,5,5,1.0,2,2,4,4,4,2,2,1,27,-7,1
22025,202695,0022500027,2025-10-31,LAC vs. NOP,W,36,11,16,0.688,5,8,0.625,7,7,1.0,0,5,5,5,6,0,2,2,34,6,1
22025,202695,0022500127,2025-10-28,LAC @ GSW,L,31,7,17,0.412,1,4,0.25,3,3,1.0,1,5,6,1,1,0,1,0,18,-29,1
22025,202695,0022500112,2025-10-26,LAC vs. POR,W,35,11,21,0.524,4,6,0.667,4,4,1.0,0,10,10,4,2,0,2,2,30,0,1
22025,202695,0022500099,2025-10-24,LAC vs. PHX,W,33,11,21,0.524,1,4,0.25,4,5,0.8,1,4,5,5,1,1,2,0,27,9,1
22025,202695,0022500087,2025-10-22,LAC @ UTA,L,29,3,9,0.333,1,5,0.2,3,3,1.0,1,3,4,2,1,1,2,2,10,-25,1
