SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203484,0022500485,2026-01-02,MEM @ LAL,L,23,6,10,0.6,4,6,0.667,4,4,1.0,0,5,5,2,2,0,1,4,20,24,1
22025,203484,0022500443,2025-12-28,MEM @ WAS,L,11,2,5,0.4,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,0,4,0,1
22025,203484,0022500428,2025-12-26,MEM vs. MIL,W,22,6,10,0.6,1,3,0.333,0,0,0.0,0,2,2,2,2,1,1,2,13,21,1
22025,203484,0022500419,2025-12-23,MEM @ UTA,W,20,3,7,0.429,1,4,0.25,4,4,1.0,0,1,1,3,1,0,1,1,11,9,1
22025,203484,0022500406,2025-12-22,MEM @ OKC,L,21,5,6,0.833,5,6,0.833,1,2,0.5,1,2,3,4,0,0,3,0,16,-11,1
22025,203484,0022500391,2025-12-20,MEM vs. WAS,L,28,3,7,0.429,1,4,0.25,4,4,1.0,1,1,2,5,1,0,2,3,11,-7,1
22025,203484,0022500368,2025-12-17,MEM @ MIN,W,23,4,12,0.333,2,5,0.4,2,2,1.0,0,1,1,3,1,0,3,3,12,13,1
22025,203484,0022501226,2025-12-15,MEM @ LAC,W,23,2,5,0.4,0,1,0.0,0,0,0.0,1,6,7,6,2,0,0,1,4,30,1
22025,203484,0022501213,2025-12-12,MEM vs. UTA,L,22,3,10,0.3,1,5,0.2,0,0,0.0,0,2,2,5,2,0,1,0,7,-10,1
22025,203484,0022500360,2025-12-07,MEM vs. POR,W,23,5,8,0.625,3,5,0.6,3,3,1.0,0,2,2,5,2,0,2,0,16,30,1
22025,203484,0022500347,2025-12-05,MEM vs. LAC,W,19,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,5,1,0,0,0,5,-2,1
22025,203484,0022500322,2025-12-02,MEM @ SAS,L,13,1,5,0.2,0,2,0.0,0,0,0.0,0,3,3,2,0,1,4,1,2,-9,1
22025,203484,0022500307,2025-11-30,MEM @ SAC,W,20,4,6,0.667,2,3,0.667,3,3,1.0,1,2,3,3,0,0,5,0,13,-1,1
22025,203484,0022500079,2025-11-28,MEM @ LAC,W,21,4,10,0.4,4,7,0.571,0,0,0.0,1,3,4,1,1,0,1,0,12,19,1
22025,203484,0022500065,2025-11-26,MEM @ NOP,W,17,0,3,0.0,0,3,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,-22,1
22025,203484,0022500287,2025-11-24,MEM vs. DEN,L,21,2,3,0.667,2,2,1.0,2,2,1.0,0,0,0,3,0,0,3,2,8,-8,1
22025,203484,0022500273,2025-11-22,MEM @ DAL,W,25,4,8,0.5,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,0,10,-6,1
22025,203484,0022500265,2025-11-20,MEM vs. SAC,W,18,1,6,0.167,0,4,0.0,0,0,0.0,0,3,3,7,1,0,0,0,2,23,1
22025,203484,0022500252,2025-11-18,MEM @ SAS,L,19,2,6,0.333,0,3,0.0,0,0,0.0,1,2,3,3,1,0,0,1,4,-16,1
22025,203484,0022500228,2025-11-15,MEM @ CLE,L,23,2,4,0.5,0,0,0.0,2,2,1.0,0,0,0,3,0,0,1,0,6,1,1
22025,203484,0022500216,2025-11-12,MEM @ BOS,L,19,0,3,0.0,0,3,0.0,0,0,0.0,1,2,3,3,1,0,1,2,0,-25,1
22025,203484,0022500208,2025-11-11,MEM @ NYK,L,15,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,0,2,0,0,0,4,-19,1
22025,203484,0022500194,2025-11-09,MEM vs. OKC,L,23,4,8,0.5,1,4,0.25,0,0,0.0,0,4,4,3,1,1,1,4,9,-9,1
22025,203484,0022500034,2025-11-07,MEM vs. DAL,W,24,5,7,0.714,2,3,0.667,0,0,0.0,1,2,3,1,0,0,0,2,12,24,1
22025,203484,0022500176,2025-11-05,MEM vs. HOU,L,24,1,8,0.125,0,1,0.0,2,4,0.5,2,1,3,2,2,1,3,3,4,-19,1
22025,203484,0022500161,2025-11-03,MEM vs. DET,L,25,0,4,0.0,0,3,0.0,2,2,1.0,1,3,4,1,1,1,1,0,2,2,1
22025,203484,0022500152,2025-11-02,MEM @ TOR,L,27,3,13,0.231,2,5,0.4,4,4,1.0,0,0,0,2,0,0,1,0,12,-21,1
22025,203484,0022500024,2025-10-31,MEM vs. LAL,L,24,4,7,0.571,2,4,0.5,2,2,1.0,0,2,2,5,0,0,1,0,12,5,1
22025,203484,0022500137,2025-10-29,MEM @ PHX,W,19,5,12,0.417,1,2,0.5,0,0,0.0,0,2,2,5,1,0,0,0,11,6,1
22025,203484,0022500121,2025-10-27,MEM @ GSW,L,26,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,4,0,1,1,2,7,-6,1
22025,203484,0022500103,2025-10-25,MEM vs. IND,W,23,3,11,0.273,1,5,0.2,3,4,0.75,0,4,4,5,1,0,1,1,10,-7,1
22025,203484,0022500094,2025-10-24,MEM vs. MIA,L,23,2,6,0.333,2,5,0.4,1,1,1.0,0,3,3,6,2,0,2,1,7,-11,1
22025,203484,0022500085,2025-10-22,MEM vs. NOP,W,31,2,8,0.25,2,7,0.286,9,9,1.0,0,4,4,3,0,0,3,3,15,-2,1
