SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628989,0022500489,2026-01-03,CHI vs. CHA,L,31,3,11,0.273,1,7,0.143,2,2,1.0,0,11,11,7,1,1,0,1,9,0,1
22025,1628989,0022500480,2026-01-02,CHI vs. ORL,W,24,8,15,0.533,4,9,0.444,0,0,0.0,1,3,4,2,0,0,2,1,20,1,1
22025,1628989,0022500466,2025-12-31,CHI vs. NOP,W,29,4,9,0.444,2,5,0.4,3,5,0.6,0,6,6,1,1,2,1,3,13,12,1
22025,1628989,0022500452,2025-12-29,CHI vs. MIN,L,22,3,6,0.5,2,3,0.667,0,0,0.0,0,6,6,1,0,1,1,1,8,-13,1
22025,1628989,0022500437,2025-12-27,CHI vs. MIL,L,24,3,10,0.3,1,6,0.167,0,0,0.0,3,3,6,4,0,0,0,2,7,0,1
22025,1628989,0022500427,2025-12-26,CHI vs. PHI,W,22,4,9,0.444,1,6,0.167,0,2,0.0,0,1,1,1,0,0,1,3,9,3,1
22025,1628989,0022500411,2025-12-23,CHI @ ATL,W,27,3,7,0.429,1,5,0.2,2,4,0.5,0,7,7,1,0,0,0,1,9,14,1
22025,1628989,0022500396,2025-12-21,CHI @ ATL,W,21,6,9,0.667,4,7,0.571,0,1,0.0,0,1,1,5,1,1,1,3,16,9,1
22025,1628989,0022500384,2025-12-19,CHI @ CLE,W,20,6,12,0.5,2,8,0.25,0,0,0.0,1,4,5,3,2,0,0,1,14,-7,1
22025,1628989,0022500367,2025-12-17,CHI vs. CLE,W,26,4,9,0.444,3,6,0.5,0,0,0.0,0,3,3,1,0,0,2,2,11,1,1
22025,1628989,0022501223,2025-12-14,CHI vs. NOP,L,24,6,12,0.5,4,8,0.5,0,0,0.0,1,2,3,0,4,0,3,1,16,3,1
22025,1628989,0022500314,2025-12-01,CHI @ ORL,L,6,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22025,1628989,0022500295,2025-11-29,CHI @ IND,L,32,6,14,0.429,3,8,0.375,0,0,0.0,0,3,3,1,1,0,2,4,15,-7,1
22025,1628989,0022500071,2025-11-28,CHI @ CHA,L,25,4,8,0.5,1,4,0.25,2,2,1.0,0,2,2,4,0,0,0,1,11,-17,1
22025,1628989,0022500271,2025-11-22,CHI vs. WAS,W,19,4,8,0.5,1,3,0.333,0,0,0.0,0,0,0,3,0,0,0,1,9,-9,1
22025,1628989,0022500051,2025-11-21,CHI vs. MIA,L,10,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,1,1,1,1,3,-19,1
22025,1628989,0022500263,2025-11-19,CHI @ POR,W,23,1,6,0.167,0,4,0.0,0,0,0.0,0,2,2,2,1,1,0,2,2,-11,1
22025,1628989,0022500248,2025-11-17,CHI @ DEN,W,24,7,12,0.583,4,9,0.444,2,2,1.0,0,2,2,1,0,0,1,0,20,-21,1
22025,1628989,0022500240,2025-11-16,CHI @ UTA,L,33,2,8,0.25,0,2,0.0,2,2,1.0,2,6,8,2,1,1,1,3,6,7,1
22025,1628989,0022500214,2025-11-12,CHI @ DET,L,27,10,17,0.588,0,4,0.0,0,1,0.0,1,1,2,2,2,0,2,5,20,-5,1
22025,1628989,0022500202,2025-11-10,CHI vs. SAS,L,33,8,14,0.571,4,9,0.444,3,4,0.75,1,4,5,5,0,1,1,3,23,-1,1
22025,1628989,0022500186,2025-11-08,CHI @ CLE,L,29,6,10,0.6,2,4,0.5,1,2,0.5,0,3,3,3,3,1,1,3,15,2,1
22025,1628989,0022500035,2025-11-07,CHI @ MIL,L,23,5,13,0.385,1,5,0.2,2,2,1.0,0,3,3,5,0,1,3,3,13,-10,1
22025,1628989,0022500167,2025-11-04,CHI vs. PHI,W,25,5,13,0.385,2,6,0.333,0,0,0.0,1,4,5,2,1,2,4,1,12,5,1
22025,1628989,0022500153,2025-11-02,CHI @ NYK,L,21,3,8,0.375,1,5,0.2,0,0,0.0,0,3,3,2,1,2,1,3,7,-15,1
22025,1628989,0022500023,2025-10-31,CHI vs. NYK,W,26,4,7,0.571,1,3,0.333,3,3,1.0,1,5,6,2,2,1,2,0,12,13,1
22025,1628989,0022500132,2025-10-29,CHI vs. SAC,W,25,6,8,0.75,3,5,0.6,3,4,0.75,0,4,4,4,0,0,2,2,18,6,1
22025,1628989,0022500115,2025-10-27,CHI vs. ATL,W,21,6,8,0.75,1,3,0.333,2,2,1.0,0,0,0,2,0,1,2,4,15,8,1
22025,1628989,0022500100,2025-10-25,CHI @ ORL,W,29,4,10,0.4,0,4,0.0,3,3,1.0,2,5,7,6,1,0,0,3,11,14,1
22025,1628989,0022500084,2025-10-22,CHI vs. DET,W,27,4,11,0.364,2,6,0.333,5,6,0.833,1,4,5,0,1,2,1,2,15,9,1
