SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628374,0022500492,2026-01-03,UTA @ GSW,L,41,15,27,0.556,2,8,0.25,3,4,0.75,2,4,6,1,0,0,1,3,35,-2,1
22025,1628374,0022500459,2025-12-30,UTA vs. BOS,L,38,6,16,0.375,2,6,0.333,8,8,1.0,1,8,9,2,2,1,0,1,22,13,1
22025,1628374,0022500440,2025-12-27,UTA @ SAS,W,34,11,16,0.688,5,6,0.833,2,2,1.0,1,4,5,1,3,1,1,3,29,7,1
22025,1628374,0022500430,2025-12-26,UTA vs. DET,W,38,8,18,0.444,4,7,0.571,10,10,1.0,1,3,4,4,1,0,2,4,30,7,1
22025,1628374,0022500405,2025-12-22,UTA @ DEN,L,36,10,20,0.5,2,9,0.222,5,5,1.0,2,6,8,1,0,0,3,4,27,-9,1
22025,1628374,0022501224,2025-12-15,UTA vs. DAL,W,40,11,23,0.478,1,6,0.167,10,12,0.833,2,14,16,5,4,1,1,3,33,27,1
22025,1628374,0022501213,2025-12-12,UTA @ MEM,W,36,9,22,0.409,3,10,0.3,5,7,0.714,1,8,9,2,1,1,5,3,26,2,1
22025,1628374,0022500343,2025-12-05,UTA @ NYK,L,26,5,13,0.385,2,6,0.333,6,6,1.0,3,6,9,2,0,0,0,0,18,-33,1
22025,1628374,0022500335,2025-12-04,UTA @ BKN,W,35,11,18,0.611,2,5,0.4,6,6,1.0,2,6,8,1,0,0,1,1,30,12,1
22025,1628374,0022500316,2025-12-01,UTA vs. HOU,W,37,9,17,0.529,2,3,0.667,9,11,0.818,2,6,8,0,1,0,0,1,29,5,1
22025,1628374,0022500301,2025-11-30,UTA vs. HOU,L,30,5,12,0.417,1,5,0.2,7,7,1.0,1,7,8,1,0,0,1,2,18,-16,1
22025,1628374,0022500077,2025-11-28,UTA vs. SAC,W,39,9,23,0.391,2,13,0.154,8,8,1.0,1,6,7,2,0,0,1,2,28,6,1
22025,1628374,0022500291,2025-11-24,UTA @ GSW,L,33,6,19,0.316,1,5,0.2,4,5,0.8,4,2,6,4,0,0,2,0,17,-20,1
22025,1628374,0022500282,2025-11-23,UTA vs. LAL,L,36,8,19,0.421,2,7,0.286,2,2,1.0,1,6,7,2,1,1,1,2,20,19,1
22025,1628374,0022500055,2025-11-21,UTA vs. OKC,L,35,4,8,0.5,2,4,0.5,9,9,1.0,2,4,6,3,2,0,1,0,19,-27,1
22025,1628374,0022500253,2025-11-18,UTA @ LAL,L,32,12,21,0.571,3,9,0.333,4,4,1.0,2,3,5,2,2,0,1,4,31,-6,1
22025,1628374,0022500240,2025-11-16,UTA vs. CHI,W,46,15,33,0.455,6,17,0.353,11,13,0.846,2,5,7,2,2,2,1,3,47,4,1
22025,1628374,0022500227,2025-11-13,UTA vs. ATL,L,36,15,25,0.6,6,12,0.5,4,4,1.0,4,3,7,2,1,0,4,3,40,4,1
22025,1628374,0022500211,2025-11-11,UTA vs. IND,W,35,13,19,0.684,5,7,0.714,4,5,0.8,3,0,3,2,0,1,0,4,35,12,1
22025,1628374,0022500205,2025-11-10,UTA vs. MIN,L,35,6,15,0.4,4,7,0.571,5,6,0.833,4,4,8,3,1,0,1,4,21,-10,1
22025,1628374,0022500036,2025-11-07,UTA @ MIN,L,21,4,14,0.286,0,4,0.0,4,5,0.8,0,2,2,2,3,0,0,1,12,-28,1
22025,1628374,0022500172,2025-11-05,UTA @ DET,L,40,8,22,0.364,3,12,0.25,6,6,1.0,0,4,4,0,2,0,2,2,25,-6,1
22025,1628374,0022500158,2025-11-03,UTA @ BOS,W,37,7,17,0.412,2,6,0.333,4,4,1.0,4,5,9,2,0,0,4,2,20,-1,1
22025,1628374,0022500150,2025-11-02,UTA @ CHA,L,33,12,28,0.429,3,10,0.3,2,2,1.0,3,4,7,3,0,0,0,0,29,-19,1
22025,1628374,0022500025,2025-10-31,UTA @ PHX,L,35,10,20,0.5,4,11,0.364,9,12,0.75,1,3,4,0,0,1,2,1,33,-9,1
22025,1628374,0022500135,2025-10-29,UTA vs. POR,L,38,10,19,0.526,2,7,0.286,10,12,0.833,1,4,5,2,3,3,1,2,32,-4,1
22025,1628374,0022500120,2025-10-27,UTA vs. PHX,W,45,14,32,0.438,6,13,0.462,17,17,1.0,5,9,14,3,0,0,1,2,51,26,1
22025,1628374,0022500098,2025-10-24,UTA @ SAC,L,36,12,23,0.522,4,13,0.308,5,6,0.833,1,3,4,1,0,0,1,1,33,4,1
22025,1628374,0022500087,2025-10-22,UTA vs. LAC,W,33,8,13,0.615,4,7,0.571,0,0,0.0,2,4,6,5,0,0,1,0,20,19,1
