SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629652,0022500484,2026-01-02,OKC @ GSW,W,26,4,5,0.8,3,4,0.75,0,0,0.0,0,3,3,0,1,0,0,2,11,33,1
22025,1629652,0022500470,2025-12-31,OKC vs. POR,W,25,4,10,0.4,4,10,0.4,0,0,0.0,0,2,2,1,1,1,0,2,12,11,1
22025,1629652,0022500455,2025-12-29,OKC vs. ATL,W,23,2,9,0.222,1,7,0.143,1,1,1.0,0,4,4,1,0,0,1,2,6,20,1
22025,1629652,0022500442,2025-12-28,OKC vs. PHI,W,23,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,1,1,2,2,3,7,1
22025,1629652,0022500010,2025-12-25,OKC vs. SAS,L,29,3,8,0.375,2,7,0.286,0,0,0.0,2,2,4,3,0,2,1,4,8,-6,1
22025,1629652,0022500417,2025-12-23,OKC @ SAS,L,26,5,8,0.625,5,8,0.625,0,0,0.0,0,2,2,0,0,0,1,4,15,-5,1
22025,1629652,0022500406,2025-12-22,OKC vs. MEM,W,30,5,9,0.556,3,6,0.5,0,0,0.0,1,3,4,0,3,3,0,3,13,13,1
22025,1629652,0022500385,2025-12-19,OKC @ MIN,L,29,3,12,0.25,3,10,0.3,2,2,1.0,0,4,4,2,0,1,1,5,11,-7,1
22025,1629652,0022500369,2025-12-18,OKC vs. LAC,W,18,0,6,0.0,0,5,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-8,1
22025,1629652,0022501230,2025-12-13,OKC vs. SAS,L,22,1,7,0.143,1,6,0.167,0,0,0.0,0,3,3,2,0,1,0,3,3,-10,1
22025,1629652,0022501203,2025-12-10,OKC vs. PHX,W,22,4,8,0.5,3,6,0.5,1,1,1.0,1,3,4,1,0,0,0,3,12,38,1
22025,1629652,0022500305,2025-11-30,OKC @ POR,W,28,4,7,0.571,2,5,0.4,0,0,0.0,0,6,6,2,1,1,0,3,10,-1,1
22025,1629652,0022500075,2025-11-28,OKC vs. PHX,W,30,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,0,3,1,1,4,7,12,1
22025,1629652,0022500064,2025-11-26,OKC vs. MIN,W,32,2,9,0.222,1,7,0.143,0,0,0.0,1,0,1,1,1,1,1,4,5,0,1
22025,1629652,0022500280,2025-11-23,OKC vs. POR,W,21,2,6,0.333,1,5,0.2,0,0,0.0,2,2,4,0,1,0,0,4,5,7,1
22025,1629652,0022500055,2025-11-21,OKC @ UTA,W,21,3,4,0.75,3,4,0.75,0,0,0.0,0,1,1,0,0,0,0,2,9,1,1
22025,1629652,0022500261,2025-11-19,OKC vs. SAC,W,33,5,10,0.5,4,8,0.5,0,0,0.0,1,3,4,1,1,1,2,4,14,11,1
22025,1629652,0022500247,2025-11-17,OKC @ NOP,W,28,5,9,0.556,4,6,0.667,3,3,1.0,0,1,1,1,1,1,0,4,17,27,1
22025,1629652,0022500229,2025-11-15,OKC @ CHA,W,22,1,4,0.25,1,2,0.5,0,0,0.0,1,3,4,1,0,1,1,2,3,23,1
22025,1629652,0022500170,2025-11-04,OKC @ LAC,W,15,2,4,0.5,1,3,0.333,1,2,0.5,0,3,3,0,0,0,0,4,6,-3,1
22025,1629652,0022500140,2025-10-30,OKC vs. WAS,W,26,3,7,0.429,1,5,0.2,0,0,0.0,5,1,6,1,2,0,0,0,7,16,1
22025,1629652,0022500126,2025-10-28,OKC vs. SAC,W,35,4,9,0.444,1,6,0.167,4,4,1.0,1,4,5,1,1,0,1,3,13,18,1
22025,1629652,0022500119,2025-10-27,OKC @ DAL,W,32,2,9,0.222,2,6,0.333,0,0,0.0,0,5,5,1,0,0,0,3,6,3,1
22025,1629652,0022500101,2025-10-25,OKC @ ATL,W,27,2,7,0.286,1,4,0.25,0,0,0.0,1,1,2,1,2,0,0,1,5,12,1
22025,1629652,0022500005,2025-10-23,OKC @ IND,W,43,2,6,0.333,1,4,0.25,2,2,1.0,4,4,8,2,1,0,3,4,7,1,1
22025,1629652,0022500001,2025-10-21,OKC vs. HOU,W,45,2,12,0.167,0,8,0.0,2,2,1.0,2,4,6,5,1,0,1,4,6,2,1
