SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629029,0022500485,2026-01-02,LAL vs. MEM,W,38,8,18,0.444,1,7,0.143,17,20,0.85,0,6,6,8,2,0,6,3,34,3,1
22025,1629029,0022500460,2025-12-30,LAL vs. DET,L,36,9,22,0.409,3,11,0.273,9,13,0.692,2,3,5,11,0,0,8,3,30,-15,1
22025,1629029,0022500446,2025-12-28,LAL vs. SAC,W,33,11,23,0.478,5,14,0.357,7,8,0.875,0,5,5,7,3,1,5,3,34,22,1
22025,1629029,0022500012,2025-12-25,LAL vs. HOU,L,34,9,17,0.529,3,8,0.375,4,7,0.571,0,5,5,7,1,2,6,2,25,-25,1
22025,1629029,0022500395,2025-12-20,LAL @ LAC,L,20,4,13,0.308,1,6,0.167,3,5,0.6,0,5,5,2,0,0,4,1,12,-13,1
22025,1629029,0022500379,2025-12-18,LAL @ UTA,W,40,14,28,0.5,4,12,0.333,13,16,0.813,2,9,11,14,5,0,1,2,45,-5,1
22025,1629029,0022501228,2025-12-14,LAL @ PHX,W,38,7,25,0.28,2,14,0.143,13,14,0.929,2,1,3,6,1,0,6,3,29,-5,1
22025,1629029,0022501204,2025-12-10,LAL vs. SAS,L,41,11,24,0.458,3,8,0.375,10,14,0.714,0,5,5,8,1,0,3,5,35,-2,1
22025,1629029,0022500362,2025-12-07,LAL @ PHI,W,39,9,24,0.375,2,9,0.222,11,14,0.786,1,14,15,11,0,2,5,1,31,12,1
22025,1629029,0022500317,2025-12-01,LAL vs. PHX,L,32,15,26,0.577,3,8,0.375,5,5,1.0,0,11,11,5,0,0,9,2,38,-25,1
22025,1629029,0022500308,2025-11-30,LAL vs. NOP,W,35,9,22,0.409,4,12,0.333,12,14,0.857,2,10,12,7,1,1,2,0,34,8,1
22025,1629029,0022500078,2025-11-28,LAL vs. DAL,W,40,10,18,0.556,4,9,0.444,11,11,1.0,0,5,5,11,0,1,4,4,35,15,1
22025,1629029,0022500059,2025-11-25,LAL vs. LAC,W,38,14,28,0.5,7,12,0.583,8,11,0.727,2,7,9,13,1,1,3,4,43,9,1
22025,1629029,0022500282,2025-11-23,LAL @ UTA,W,40,10,24,0.417,3,12,0.25,10,12,0.833,0,11,11,8,3,0,6,2,33,5,1
22025,1629029,0022500253,2025-11-18,LAL vs. UTA,W,34,11,22,0.5,2,10,0.2,13,16,0.813,0,5,5,10,4,0,8,4,37,10,1
22025,1629029,0022500231,2025-11-15,LAL @ MIL,W,38,9,19,0.474,5,11,0.455,18,20,0.9,1,8,9,6,1,2,3,1,41,25,1
22025,1629029,0022500045,2025-11-14,LAL @ NOP,W,40,6,16,0.375,3,8,0.375,9,13,0.692,1,6,7,12,2,1,3,1,24,30,1
22025,1629029,0022500222,2025-11-12,LAL @ OKC,L,33,7,20,0.35,1,7,0.143,4,7,0.571,1,6,7,7,2,0,4,3,19,-31,1
22025,1629029,0022500198,2025-11-10,LAL @ CHA,W,38,14,28,0.5,5,15,0.333,5,5,1.0,1,5,6,7,1,0,2,4,38,16,1
22025,1629029,0022500185,2025-11-08,LAL @ ATL,L,27,7,17,0.412,4,10,0.4,4,6,0.667,0,5,5,11,1,0,5,2,22,-21,1
22025,1629029,0022500179,2025-11-05,LAL vs. SAS,W,42,9,27,0.333,4,11,0.364,13,17,0.765,3,6,9,13,5,2,4,5,35,4,1
22025,1629029,0022500155,2025-11-02,LAL vs. MIA,W,38,9,22,0.409,1,11,0.091,10,12,0.833,0,11,11,10,3,0,5,1,29,14,1
22025,1629029,0022500024,2025-10-31,LAL @ MEM,W,39,14,27,0.519,6,15,0.4,10,13,0.769,1,11,12,6,0,0,5,3,44,-2,1
22025,1629029,0022500019,2025-10-24,LAL vs. MIN,W,35,14,23,0.609,5,12,0.417,16,19,0.842,1,10,11,8,0,0,3,4,49,18,1
22025,1629029,0022500002,2025-10-21,LAL vs. GSW,L,41,17,27,0.63,2,10,0.2,7,10,0.7,0,12,12,9,2,1,3,1,43,-8,1
