SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630568,0022500493,2026-01-03,BOS @ LAC,W,20,3,5,0.6,1,2,0.5,4,4,1.0,3,3,6,3,1,1,0,4,11,17,1
22025,1630568,0022500474,2026-01-01,BOS @ SAC,W,25,5,6,0.833,1,1,1.0,0,0,0.0,1,2,3,2,2,0,0,1,11,16,1
22025,1630568,0022500459,2025-12-30,BOS @ UTA,W,19,6,8,0.75,2,2,1.0,1,1,1.0,4,2,6,0,1,1,0,3,15,13,1
22025,1630568,0022500444,2025-12-28,BOS @ POR,L,11,1,4,0.25,1,3,0.333,2,2,1.0,2,1,3,0,0,0,2,5,5,-9,1
22025,1630568,0022500426,2025-12-26,BOS @ IND,W,27,5,5,1.0,1,1,1.0,4,6,0.667,2,2,4,2,0,0,0,4,15,26,1
22025,1630568,0022500403,2025-12-22,BOS vs. IND,W,24,2,2,1.0,0,0,0.0,2,2,1.0,5,4,9,3,0,1,0,0,6,13,1
22025,1630568,0022500388,2025-12-20,BOS @ TOR,W,26,4,9,0.444,0,2,0.0,4,6,0.667,9,1,10,2,0,1,1,4,12,22,1
22025,1630568,0022500338,2025-12-05,BOS vs. LAL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,-6,1
22025,1630568,0022500334,2025-12-04,BOS @ WAS,W,8,1,1,1.0,0,0,0.0,3,3,1.0,1,1,2,1,1,1,1,1,5,9,1
22025,1630568,0022500293,2025-11-29,BOS @ MIN,L,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,-13,1
22025,1630568,0022500060,2025-11-26,BOS vs. DET,W,11,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2,1
22025,1630568,0022500049,2025-11-21,BOS vs. BKN,L,17,2,5,0.4,2,2,1.0,1,2,0.5,3,1,4,1,0,0,1,2,7,-5,1
22025,1630568,0022500250,2025-11-18,BOS @ BKN,W,20,1,1,1.0,0,0,0.0,3,4,0.75,2,3,5,0,1,0,1,4,5,14,1
22025,1630568,0022500233,2025-11-16,BOS vs. LAC,W,14,5,6,0.833,2,2,1.0,1,1,1.0,3,1,4,0,0,0,0,6,13,-14,1
22025,1630568,0022500216,2025-11-12,BOS vs. MEM,W,17,6,8,0.75,2,3,0.667,0,0,0.0,5,2,7,1,0,0,0,3,14,2,1
22025,1630568,0022500209,2025-11-11,BOS @ PHI,L,19,3,7,0.429,0,1,0.0,3,4,0.75,4,4,8,0,0,0,0,1,9,-3,1
22025,1630568,0022500193,2025-11-09,BOS @ ORL,W,17,7,8,0.875,0,1,0.0,2,4,0.5,4,4,8,3,1,0,1,4,16,9,1
22025,1630568,0022500028,2025-11-07,BOS @ ORL,L,13,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,3,0,3,2,-16,1
22025,1630568,0022500174,2025-11-05,BOS vs. WAS,W,7,0,2,0.0,0,0,0.0,2,2,1.0,2,0,2,1,1,0,0,2,2,-3,1
22025,1630568,0022500158,2025-11-03,BOS vs. UTA,L,11,0,2,0.0,0,2,0.0,2,2,1.0,1,1,2,1,1,0,0,3,2,-12,1
22025,1630568,0022500146,2025-11-01,BOS vs. HOU,L,15,0,3,0.0,0,1,0.0,0,0,0.0,2,2,4,0,0,1,0,4,0,-12,1
22025,1630568,0022500021,2025-10-31,BOS @ PHI,W,15,4,5,0.8,1,1,1.0,0,0,0.0,2,3,5,1,0,0,0,2,9,5,1
22025,1630568,0022500128,2025-10-29,BOS vs. CLE,W,16,3,6,0.5,0,2,0.0,4,4,1.0,5,0,5,2,1,1,0,3,10,-1,1
22025,1630568,0022500117,2025-10-27,BOS @ NOP,W,19,5,7,0.714,3,4,0.75,3,4,0.75,3,3,6,1,0,0,1,4,16,14,1
22025,1630568,0022500106,2025-10-26,BOS @ DET,L,13,1,2,0.5,0,1,0.0,0,1,0.0,1,1,2,1,0,0,1,4,2,-12,1
22025,1630568,0022500083,2025-10-22,BOS vs. PHI,L,6,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,2,1,0,-3,1
