SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1641824,0022500489,2026-01-03,CHI vs. CHA,L,34,6,16,0.375,2,8,0.25,3,6,0.5,3,5,8,3,0,0,3,1,17,-11,1
22025,1641824,0022500480,2026-01-02,CHI vs. ORL,W,30,6,14,0.429,2,8,0.25,7,8,0.875,1,8,9,7,1,2,2,1,21,14,1
22025,1641824,0022500466,2025-12-31,CHI vs. NOP,W,27,8,17,0.471,2,9,0.222,1,4,0.25,1,5,6,2,1,0,0,4,19,11,1
22025,1641824,0022500452,2025-12-29,CHI vs. MIN,L,24,5,14,0.357,3,8,0.375,0,0,0.0,2,3,5,2,0,1,2,2,13,-26,1
22025,1641824,0022500437,2025-12-27,CHI vs. MIL,L,22,2,5,0.4,1,3,0.333,3,4,0.75,1,2,3,2,1,0,3,2,8,-13,1
22025,1641824,0022500427,2025-12-26,CHI vs. PHI,W,20,3,10,0.3,2,6,0.333,2,2,1.0,2,6,8,0,0,3,3,5,10,-6,1
22025,1641824,0022500411,2025-12-23,CHI @ ATL,W,18,6,8,0.75,2,3,0.667,1,1,1.0,0,2,2,0,0,2,0,3,15,-2,1
22025,1641824,0022500396,2025-12-21,CHI @ ATL,W,29,10,11,0.909,7,8,0.875,1,2,0.5,0,3,3,0,1,2,0,2,28,5,1
22025,1641824,0022500384,2025-12-19,CHI @ CLE,W,33,9,15,0.6,2,8,0.25,4,6,0.667,1,4,5,1,2,2,0,2,24,7,1
22025,1641824,0022500367,2025-12-17,CHI vs. CLE,W,22,3,7,0.429,0,2,0.0,3,4,0.75,0,1,1,1,0,1,1,2,9,15,1
22025,1641824,0022501223,2025-12-14,CHI vs. NOP,L,24,3,5,0.6,1,3,0.333,2,2,1.0,1,5,6,3,1,0,0,2,9,-7,1
22025,1641824,0022501209,2025-12-12,CHI @ CHA,W,24,5,8,0.625,0,2,0.0,0,0,0.0,0,0,0,1,0,2,0,3,10,0,1
22025,1641824,0022500361,2025-12-07,CHI vs. GSW,L,25,7,12,0.583,2,5,0.4,0,0,0.0,2,1,3,1,3,1,2,4,16,-30,1
22025,1641824,0022500345,2025-12-05,CHI vs. IND,L,35,5,8,0.625,0,3,0.0,9,9,1.0,2,10,12,2,1,1,6,2,19,-8,1
22025,1641824,0022500329,2025-12-03,CHI vs. BKN,L,33,6,14,0.429,1,5,0.2,1,2,0.5,1,4,5,3,1,0,3,2,14,-7,1
22025,1641824,0022500314,2025-12-01,CHI @ ORL,L,36,7,16,0.438,2,7,0.286,5,6,0.833,2,4,6,4,2,3,0,3,21,5,1
22025,1641824,0022500295,2025-11-29,CHI @ IND,L,34,3,9,0.333,2,5,0.4,0,2,0.0,4,7,11,2,1,3,3,0,8,-12,1
22025,1641824,0022500071,2025-11-28,CHI @ CHA,L,30,3,8,0.375,0,5,0.0,2,4,0.5,0,2,2,3,1,0,2,3,8,14,1
22025,1641824,0022500289,2025-11-24,CHI @ NOP,L,21,4,8,0.5,2,5,0.4,0,0,0.0,0,4,4,0,0,2,2,3,10,-23,1
