SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630540,0022500487,2026-01-03,NYK vs. PHI,L,31,6,9,0.667,5,7,0.714,3,3,1.0,0,5,5,2,2,0,2,4,20,5,1
22025,1630540,0022500479,2026-01-02,NYK vs. ATL,L,31,4,14,0.286,3,10,0.3,0,0,0.0,1,0,1,2,1,0,1,1,11,0,1
22025,1630540,0022500467,2025-12-31,NYK @ SAS,L,26,7,12,0.583,4,9,0.444,3,3,1.0,0,3,3,2,0,0,0,0,21,-1,1
22025,1630540,0022500454,2025-12-29,NYK @ NOP,W,18,4,8,0.5,2,5,0.4,4,4,1.0,2,1,3,2,1,0,0,2,14,8,1
22025,1630540,0022500357,2025-12-07,NYK vs. ORL,W,21,1,7,0.143,0,5,0.0,2,2,1.0,1,0,1,2,0,1,1,1,4,5,1
22025,1630540,0022500343,2025-12-05,NYK vs. UTA,W,22,7,11,0.636,7,10,0.7,1,1,1.0,0,3,3,2,0,1,0,3,22,35,1
22025,1630540,0022500328,2025-12-03,NYK vs. CHA,W,34,4,9,0.444,3,7,0.429,4,5,0.8,1,1,2,1,0,0,0,3,15,18,1
22025,1630540,0022500320,2025-12-02,NYK @ BOS,L,36,3,6,0.5,3,5,0.6,0,0,0.0,0,3,3,6,0,0,1,2,9,14,1
22025,1630540,0022500303,2025-11-30,NYK vs. TOR,W,35,5,11,0.455,4,8,0.5,0,0,0.0,2,3,5,2,2,0,2,1,14,18,1
22025,1630540,0022500074,2025-11-28,NYK vs. MIL,W,33,5,8,0.625,5,7,0.714,4,4,1.0,1,1,2,1,0,0,0,3,19,14,1
22025,1630540,0022500061,2025-11-26,NYK @ CHA,W,39,6,8,0.75,5,5,1.0,2,2,1.0,0,3,3,3,2,0,2,3,19,27,1
22025,1630540,0022500285,2025-11-24,NYK @ BKN,W,30,4,10,0.4,1,5,0.2,0,0,0.0,0,2,2,3,0,0,0,0,9,-7,1
22025,1630540,0022500262,2025-11-19,NYK @ DAL,W,22,4,12,0.333,3,10,0.3,0,0,0.0,0,0,0,2,0,2,0,2,11,-8,1
22025,1630540,0022500244,2025-11-17,NYK @ MIA,L,39,10,23,0.435,5,12,0.417,0,1,0.0,0,4,4,0,0,0,1,2,25,3,1
22025,1630540,0022500039,2025-11-14,NYK vs. MIA,W,30,4,10,0.4,1,6,0.167,0,1,0.0,1,3,4,4,0,0,0,2,9,1,1
22025,1630540,0022500215,2025-11-12,NYK vs. ORL,L,21,3,8,0.375,2,5,0.4,1,2,0.5,0,1,1,1,2,0,3,1,9,-9,1
22025,1630540,0022500208,2025-11-11,NYK vs. MEM,W,16,3,6,0.5,3,6,0.5,0,0,0.0,0,1,1,2,0,0,0,0,9,2,1
22025,1630540,0022500192,2025-11-09,NYK vs. BKN,W,16,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,3,1,0,2,0,0,8,1
22025,1630540,0022500175,2025-11-05,NYK vs. MIN,W,21,6,10,0.6,2,5,0.4,0,0,0.0,2,1,3,4,1,0,0,1,14,26,1
22025,1630540,0022500159,2025-11-03,NYK vs. WAS,W,14,1,3,0.333,1,2,0.5,0,0,0.0,1,2,3,3,1,0,0,2,3,1,1
22025,1630540,0022500153,2025-11-02,NYK vs. CHI,W,23,3,8,0.375,2,4,0.5,0,0,0.0,1,3,4,3,1,0,0,1,8,10,1
22025,1630540,0022500023,2025-10-31,NYK @ CHI,L,29,3,9,0.333,2,5,0.4,0,0,0.0,1,1,2,2,1,0,1,2,8,-22,1
22025,1630540,0022500018,2025-10-24,NYK vs. BOS,W,32,3,11,0.273,2,9,0.222,2,2,1.0,2,2,4,4,1,1,0,2,10,3,1
22025,1630540,0022500003,2025-10-22,NYK vs. CLE,W,26,4,7,0.571,4,6,0.667,3,4,0.75,1,1,2,1,1,0,2,4,15,17,1
