SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631107,0022500486,2026-01-03,MIA vs. MIN,L,28,4,7,0.571,1,3,0.333,5,5,1.0,1,2,3,4,1,0,3,2,14,-19,1
22025,1631107,0022500472,2026-01-01,MIA @ DET,W,24,1,10,0.1,1,7,0.143,2,2,1.0,0,5,5,5,0,1,2,0,5,-5,1
22025,1631107,0022500450,2025-12-29,MIA vs. DEN,W,26,7,12,0.583,5,8,0.625,3,3,1.0,0,4,4,5,0,0,0,3,22,24,1
22025,1631107,0022500436,2025-12-27,MIA vs. IND,W,25,7,14,0.5,3,8,0.375,2,2,1.0,0,7,7,7,2,0,2,0,19,35,1
22025,1631107,0022500423,2025-12-26,MIA @ ATL,W,21,3,14,0.214,1,6,0.167,3,3,1.0,0,7,7,4,1,0,2,1,10,12,1
22025,1631107,0022501227,2025-12-15,MIA vs. TOR,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22025,1631107,0022500354,2025-12-06,MIA vs. SAC,L,31,4,10,0.4,2,7,0.286,2,3,0.667,0,2,2,6,1,0,5,2,12,0,1
22025,1631107,0022500332,2025-12-03,MIA @ DAL,L,6,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,-8,1
22025,1631107,0022500313,2025-12-01,MIA vs. LAC,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22025,1631107,0022500296,2025-11-29,MIA vs. DET,L,10,1,3,0.333,0,0,0.0,0,1,0.0,1,1,2,1,0,0,5,1,2,-15,1
22025,1631107,0022500244,2025-11-17,MIA vs. NYK,W,15,2,7,0.286,1,4,0.25,0,0,0.0,0,1,1,2,0,0,0,3,5,-3,1
22025,1631107,0022500039,2025-11-14,MIA @ NYK,L,13,1,4,0.25,0,2,0.0,1,2,0.5,1,3,4,4,0,0,1,5,3,1,1
22025,1631107,0022500217,2025-11-12,MIA vs. CLE,L,22,1,6,0.167,0,3,0.0,0,1,0.0,0,4,4,3,2,2,4,1,2,-16,1
22025,1631107,0022500201,2025-11-10,MIA vs. CLE,W,26,3,10,0.3,1,5,0.2,1,2,0.5,1,7,8,4,0,1,1,5,8,8,1
22025,1631107,0022500187,2025-11-08,MIA vs. POR,W,31,10,16,0.625,3,7,0.429,6,8,0.75,4,5,9,6,2,1,6,5,29,20,1
22025,1631107,0022500033,2025-11-07,MIA vs. CHA,W,19,4,6,0.667,0,0,0.0,2,2,1.0,0,4,4,3,3,1,1,2,10,15,1
22025,1631107,0022500178,2025-11-05,MIA @ DEN,L,20,1,6,0.167,1,4,0.25,2,2,1.0,0,3,3,3,0,0,3,2,5,-8,1
22025,1631107,0022500164,2025-11-03,MIA @ LAC,W,18,2,5,0.4,0,1,0.0,3,4,0.75,1,3,4,4,0,0,1,2,7,-18,1
22025,1631107,0022500155,2025-11-02,MIA @ LAL,L,28,3,8,0.375,1,5,0.2,2,4,0.5,1,2,3,2,0,0,1,3,9,0,1
22025,1631107,0022500141,2025-10-30,MIA @ SAS,L,10,0,5,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,0,-13,1
22025,1631107,0022500124,2025-10-28,MIA vs. CHA,W,22,4,7,0.571,2,4,0.5,0,0,0.0,1,5,6,2,0,0,0,2,10,9,1
22025,1631107,0022500108,2025-10-26,MIA vs. NYK,W,25,2,7,0.286,1,6,0.167,1,1,1.0,0,5,5,5,0,0,2,1,6,10,1
22025,1631107,0022500094,2025-10-24,MIA @ MEM,W,27,6,9,0.667,3,6,0.5,5,5,1.0,1,5,6,4,1,1,1,2,20,33,1
22025,1631107,0022500081,2025-10-22,MIA @ ORL,L,23,2,6,0.333,2,3,0.667,3,4,0.75,0,3,3,0,1,0,3,2,9,8,1
