SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628384,0022500487,2026-01-03,NYK vs. PHI,L,37,6,11,0.545,3,5,0.6,4,4,1.0,4,2,6,6,1,1,4,3,19,-8,1
22025,1628384,0022500479,2026-01-02,NYK vs. ATL,L,35,5,13,0.385,1,6,0.167,8,10,0.8,2,8,10,1,2,0,3,4,19,-14,1
22025,1628384,0022500467,2025-12-31,NYK @ SAS,L,34,3,10,0.3,0,5,0.0,3,4,0.75,0,5,5,2,2,1,2,4,9,-25,1
22025,1628384,0022500454,2025-12-29,NYK @ NOP,W,37,8,22,0.364,1,8,0.125,6,6,1.0,2,9,11,1,3,1,2,3,23,16,1
22025,1628384,0022500435,2025-12-27,NYK @ ATL,W,38,3,10,0.3,2,5,0.4,7,7,1.0,3,7,10,5,3,1,1,4,15,0,1
22025,1628384,0022500009,2025-12-25,NYK vs. CLE,W,33,3,7,0.429,1,4,0.25,1,1,1.0,0,2,2,2,0,1,1,1,8,-3,1
22025,1628384,0022500398,2025-12-21,NYK vs. MIA,W,34,6,12,0.5,2,6,0.333,4,5,0.8,0,2,2,3,1,2,4,4,18,3,1
22025,1628384,0022500382,2025-12-19,NYK vs. PHI,L,32,1,9,0.111,0,4,0.0,0,0,0.0,2,1,3,1,0,1,2,2,2,-11,1
22025,1628384,0022500372,2025-12-18,NYK @ IND,W,34,5,13,0.385,2,7,0.286,4,7,0.571,1,5,6,1,2,0,3,3,16,11,1
22025,1628384,0022501229,2025-12-13,NYK @ ORL,W,40,8,13,0.615,3,4,0.75,5,6,0.833,1,5,6,4,3,1,4,2,24,14,1
22025,1628384,0022501202,2025-12-09,NYK @ TOR,W,36,4,11,0.364,1,6,0.167,4,4,1.0,1,5,6,1,2,2,3,3,13,6,1
22025,1628384,0022500357,2025-12-07,NYK vs. ORL,W,28,8,14,0.571,5,7,0.714,0,0,0.0,1,6,7,0,3,0,0,4,21,20,1
22025,1628384,0022500343,2025-12-05,NYK vs. UTA,W,23,4,8,0.5,0,2,0.0,3,4,0.75,0,0,0,1,0,0,2,1,11,7,1
22025,1628384,0022500039,2025-11-14,NYK vs. MIA,W,5,1,4,0.25,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,1,2,1,1
22025,1628384,0022500215,2025-11-12,NYK vs. ORL,L,34,2,4,0.5,2,4,0.5,2,2,1.0,0,4,4,1,1,2,3,3,8,1,1
22025,1628384,0022500208,2025-11-11,NYK vs. MEM,W,36,7,17,0.412,1,10,0.1,1,2,0.5,0,4,4,3,2,0,4,5,16,24,1
22025,1628384,0022500192,2025-11-09,NYK vs. BKN,W,27,6,11,0.545,4,6,0.667,3,4,0.75,4,4,8,3,1,0,1,1,19,32,1
22025,1628384,0022500175,2025-11-05,NYK vs. MIN,W,32,10,17,0.588,3,5,0.6,2,2,1.0,5,3,8,1,2,1,1,1,25,14,1
22025,1628384,0022500159,2025-11-03,NYK vs. WAS,W,32,7,13,0.538,2,5,0.4,0,0,0.0,1,5,6,2,5,0,2,1,16,9,1
22025,1628384,0022500153,2025-11-02,NYK vs. CHI,W,35,8,17,0.471,3,7,0.429,2,2,1.0,0,2,2,4,2,1,1,1,21,22,1
22025,1628384,0022500023,2025-10-31,NYK @ CHI,L,36,10,13,0.769,5,7,0.714,1,2,0.5,1,3,4,3,1,1,1,4,26,6,1
22025,1628384,0022500125,2025-10-28,NYK @ MIL,L,34,3,11,0.273,1,6,0.167,2,3,0.667,2,4,6,5,1,1,2,4,9,-6,1
22025,1628384,0022500108,2025-10-26,NYK @ MIA,L,37,4,13,0.308,4,12,0.333,2,2,1.0,1,5,6,1,3,1,2,4,14,4,1
22025,1628384,0022500018,2025-10-24,NYK vs. BOS,W,29,3,10,0.3,2,7,0.286,2,2,1.0,1,1,2,1,2,0,1,3,10,10,1
22025,1628384,0022500003,2025-10-22,NYK vs. CLE,W,38,9,17,0.529,4,9,0.444,2,4,0.5,2,12,14,2,3,1,4,0,24,10,1
