SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642366,0022500492,2026-01-03,GSW vs. UTA,W,23,6,9,0.667,3,6,0.5,0,0,0.0,1,4,5,2,0,0,2,1,15,14,1
22025,1642366,0022500484,2026-01-02,GSW vs. OKC,L,23,4,10,0.4,1,6,0.167,2,2,1.0,2,1,3,2,1,0,1,5,11,-21,1
22025,1642366,0022500462,2025-12-31,GSW @ CHA,W,14,3,7,0.429,3,7,0.429,0,0,0.0,0,1,1,0,1,0,1,1,9,6,1
22025,1642366,0022500449,2025-12-29,GSW @ BKN,W,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,3,3,-8,1
22025,1642366,0022500441,2025-12-28,GSW @ TOR,L,18,2,3,0.667,2,2,1.0,2,2,1.0,0,2,2,2,0,1,2,4,8,-4,1
22025,1642366,0022500011,2025-12-25,GSW vs. DAL,W,14,3,9,0.333,0,4,0.0,0,0,0.0,1,2,3,0,1,0,0,1,6,-2,1
22025,1642366,0022500407,2025-12-22,GSW vs. ORL,W,25,4,10,0.4,0,3,0.0,0,0,0.0,4,8,12,4,0,1,0,4,8,10,1
22025,1642366,0022500392,2025-12-20,GSW vs. PHX,W,26,3,8,0.375,1,6,0.167,0,0,0.0,1,3,4,2,0,1,1,0,7,10,1
22025,1642366,0022500378,2025-12-18,GSW @ PHX,L,27,3,14,0.214,2,10,0.2,1,2,0.5,4,7,11,1,1,0,1,5,9,-1,1
22025,1642366,0022501221,2025-12-14,GSW @ POR,L,19,4,9,0.444,3,6,0.5,0,0,0.0,1,0,1,4,1,0,0,4,11,3,1
22025,1642366,0022501215,2025-12-12,GSW vs. MIN,L,33,5,15,0.333,4,11,0.364,2,2,1.0,1,5,6,3,0,0,1,3,16,-5,1
22025,1642366,0022500361,2025-12-07,GSW @ CHI,W,26,7,14,0.5,5,10,0.5,0,0,0.0,1,3,4,1,1,1,0,3,19,25,1
22025,1642366,0022500352,2025-12-06,GSW @ CLE,W,32,5,14,0.357,2,6,0.333,0,0,0.0,1,8,9,3,0,3,2,4,12,-10,1
22025,1642366,0022500333,2025-12-04,GSW @ PHI,L,25,4,8,0.5,2,4,0.5,0,0,0.0,1,2,3,4,0,0,0,3,10,4,1
22025,1642366,0022500323,2025-12-02,GSW vs. OKC,L,18,1,1,1.0,1,1,1.0,0,0,0.0,2,1,3,0,0,0,1,3,3,6,1
22025,1642366,0022500298,2025-11-29,GSW vs. NOP,W,17,3,6,0.5,1,4,0.25,1,1,1.0,0,2,2,2,0,1,1,4,8,-2,1
22025,1642366,0022500066,2025-11-26,GSW vs. HOU,L,22,5,11,0.455,1,6,0.167,1,2,0.5,2,3,5,1,3,1,0,3,12,-7,1
22025,1642366,0022500291,2025-11-24,GSW vs. UTA,W,28,3,8,0.375,1,5,0.2,2,2,1.0,1,3,4,5,1,1,1,2,9,27,1
22025,1642366,0022500056,2025-11-21,GSW vs. POR,L,17,2,6,0.333,1,5,0.2,2,2,1.0,0,4,4,1,3,0,1,4,7,7,1
22025,1642366,0022500257,2025-11-19,GSW @ MIA,L,26,8,13,0.615,3,7,0.429,0,0,0.0,0,6,6,2,1,0,5,1,19,5,1
22025,1642366,0022500249,2025-11-18,GSW @ ORL,L,12,1,4,0.25,0,3,0.0,0,0,0.0,2,1,3,1,0,0,0,0,2,0,1
22025,1642366,0022500237,2025-11-16,GSW @ NOP,W,10,1,4,0.25,1,4,0.25,1,2,0.5,1,6,7,0,0,0,0,1,4,-2,1
22025,1642366,0022500047,2025-11-14,GSW @ SAS,W,7,1,3,0.333,1,2,0.5,0,0,0.0,1,1,2,0,0,1,1,0,3,-3,1
22025,1642366,0022500220,2025-11-12,GSW @ SAS,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,2,1
22025,1642366,0022500210,2025-11-11,GSW @ OKC,L,17,2,6,0.333,2,6,0.333,0,0,0.0,0,3,3,2,0,1,1,1,6,1,1
22025,1642366,0022500196,2025-11-09,GSW vs. IND,W,24,4,10,0.4,2,7,0.286,4,5,0.8,2,6,8,2,1,0,0,0,14,17,1
22025,1642366,0022500037,2025-11-07,GSW @ DEN,L,20,6,6,1.0,2,2,1.0,0,0,0.0,2,1,3,1,0,0,0,2,14,-6,1
22025,1642366,0022500181,2025-11-05,GSW @ SAC,L,16,0,5,0.0,0,3,0.0,0,0,0.0,0,4,4,1,2,2,0,2,0,4,1
22025,1642366,0022500169,2025-11-04,GSW vs. PHX,W,27,5,7,0.714,4,6,0.667,0,0,0.0,1,6,7,3,1,2,1,2,14,16,1
22025,1642366,0022500144,2025-11-01,GSW @ IND,L,13,4,8,0.5,1,5,0.2,0,0,0.0,1,2,3,0,0,0,1,3,9,4,1
22025,1642366,0022500139,2025-10-30,GSW @ MIL,L,10,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,2,2,0,3,1
22025,1642366,0022500127,2025-10-28,GSW vs. LAC,W,25,4,9,0.444,4,7,0.571,0,0,0.0,1,7,8,0,1,1,2,1,12,34,1
22025,1642366,0022500121,2025-10-27,GSW vs. MEM,W,13,1,4,0.25,0,3,0.0,0,0,0.0,0,4,4,2,0,2,0,2,2,-4,1
22025,1642366,0022500097,2025-10-24,GSW @ POR,L,16,2,4,0.5,1,2,0.5,0,0,0.0,3,1,4,1,0,0,1,0,5,-3,1
22025,1642366,0022500006,2025-10-23,GSW vs. DEN,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22025,1642366,0022500002,2025-10-21,GSW @ LAL,W,9,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,5,1
