SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1642263,0022500491,2026-01-03,HOU @ DAL,L,22,3,10,0.3,2,6,0.333,0,0,0.0,0,0,0,5,0,0,1,4,8,-24,1
22025,1642263,0022500471,2026-01-01,HOU @ BKN,W,31,5,11,0.455,2,6,0.333,2,3,0.667,1,1,2,1,1,3,1,2,14,0,1
22025,1642263,0022500453,2025-12-29,HOU vs. IND,W,24,6,12,0.5,1,5,0.2,0,0,0.0,0,1,1,3,2,0,2,3,13,12,1
22025,1642263,0022500438,2025-12-27,HOU vs. CLE,W,32,5,12,0.417,4,10,0.4,4,4,1.0,0,3,3,8,5,1,1,1,18,25,1
22025,1642263,0022500012,2025-12-25,HOU @ LAL,W,19,5,10,0.5,1,4,0.25,2,3,0.667,0,2,2,1,1,0,0,1,13,-8,1
22025,1642263,0022500422,2025-12-23,HOU @ LAC,L,26,3,9,0.333,1,5,0.2,1,1,1.0,0,1,1,3,0,1,0,1,8,-21,1
22025,1642263,0022500401,2025-12-21,HOU @ SAC,L,34,4,13,0.308,4,9,0.444,3,3,1.0,1,1,2,4,0,0,3,5,15,17,1
22025,1642263,0022500386,2025-12-20,HOU @ DEN,W,30,9,15,0.6,6,9,0.667,4,4,1.0,0,2,2,6,3,2,1,4,28,10,1
22025,1642263,0022500375,2025-12-18,HOU @ NOP,L,27,4,12,0.333,3,10,0.3,0,0,0.0,0,4,4,7,1,0,0,1,11,3,1
22025,1642263,0022501225,2025-12-15,HOU @ DEN,L,32,5,17,0.294,3,9,0.333,1,2,0.5,0,3,3,1,2,1,0,2,14,5,1
22025,1642263,0022501205,2025-12-11,HOU vs. LAC,W,26,4,9,0.444,2,5,0.4,0,0,0.0,1,3,4,2,0,1,1,3,10,6,1
22025,1642263,0022500356,2025-12-06,HOU @ DAL,L,20,5,8,0.625,2,3,0.667,0,0,0.0,1,1,2,3,0,0,3,5,12,5,1
22025,1642263,0022500346,2025-12-05,HOU vs. PHX,W,21,4,11,0.364,2,7,0.286,0,0,0.0,0,5,5,6,2,0,2,1,10,2,1
22025,1642263,0022500330,2025-12-03,HOU vs. SAC,W,28,2,7,0.286,1,2,0.5,0,0,0.0,0,6,6,1,1,2,1,1,5,22,1
22025,1642263,0022500316,2025-12-01,HOU @ UTA,L,23,3,8,0.375,3,7,0.429,0,0,0.0,0,2,2,2,1,0,0,3,9,2,1
22025,1642263,0022500301,2025-11-30,HOU @ UTA,W,31,4,8,0.5,1,3,0.333,0,0,0.0,0,6,6,4,4,2,2,0,9,33,1
22025,1642263,0022500066,2025-11-26,HOU @ GSW,W,37,12,25,0.48,4,12,0.333,3,4,0.75,2,7,9,5,1,2,2,1,31,7,1
22025,1642263,0022500290,2025-11-24,HOU @ PHX,W,27,2,9,0.222,1,5,0.2,2,2,1.0,0,1,1,5,3,0,2,1,7,6,1
22025,1642263,0022500054,2025-11-21,HOU vs. DEN,L,37,9,13,0.692,5,8,0.625,4,6,0.667,0,0,0,4,2,0,1,2,27,13,1
22025,1642263,0022500255,2025-11-19,HOU @ CLE,W,23,5,11,0.455,2,5,0.4,0,0,0.0,1,1,2,2,1,1,0,4,12,7,1
22025,1642263,0022500236,2025-11-16,HOU vs. ORL,W,29,6,11,0.545,2,4,0.5,2,2,1.0,0,7,7,2,1,0,0,4,16,19,1
22025,1642263,0022500042,2025-11-14,HOU vs. POR,W,26,5,12,0.417,3,9,0.333,0,0,0.0,0,3,3,3,4,0,0,3,13,17,1
22025,1642263,0022500218,2025-11-12,HOU vs. WAS,W,25,8,11,0.727,5,8,0.625,0,1,0.0,0,3,3,3,2,1,3,3,21,13,1
22025,1642263,0022500191,2025-11-09,HOU @ MIL,W,29,6,10,0.6,4,6,0.667,0,0,0.0,0,0,0,2,4,1,2,2,16,3,1
22025,1642263,0022500032,2025-11-07,HOU @ SAS,L,26,6,10,0.6,4,7,0.571,0,0,0.0,0,0,0,6,1,0,1,3,16,8,1
22025,1642263,0022500176,2025-11-05,HOU @ MEM,W,17,5,7,0.714,2,4,0.5,0,1,0.0,0,1,1,1,2,0,0,1,12,-3,1
22025,1642263,0022500160,2025-11-03,HOU vs. DAL,W,17,2,7,0.286,1,4,0.25,0,0,0.0,0,5,5,3,0,0,2,1,5,5,1
22025,1642263,0022500146,2025-11-01,HOU @ BOS,W,17,4,6,0.667,4,5,0.8,0,0,0.0,0,0,0,3,0,0,0,2,12,19,1
22025,1642263,0022500131,2025-10-29,HOU @ TOR,W,18,2,7,0.286,0,4,0.0,3,3,1.0,1,4,5,1,0,1,0,1,7,0,1
22025,1642263,0022500116,2025-10-27,HOU vs. BKN,W,24,6,11,0.545,3,7,0.429,0,0,0.0,1,3,4,8,1,0,2,1,15,9,1
22025,1642263,0022500093,2025-10-24,HOU vs. DET,L,20,3,11,0.273,3,4,0.75,0,0,0.0,0,2,2,1,3,0,3,2,9,-13,1
22025,1642263,0022500001,2025-10-21,HOU @ OKC,L,28,3,11,0.273,2,7,0.286,1,2,0.5,1,1,2,4,1,1,2,1,9,0,1
