SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630583,0022500485,2026-01-02,MEM @ LAL,L,30,5,12,0.417,3,9,0.333,2,2,1.0,1,6,7,3,1,0,0,0,15,6,1
22025,1630583,0022500458,2025-12-30,MEM vs. PHI,L,36,6,11,0.545,3,6,0.5,0,0,0.0,0,6,6,2,0,4,4,3,15,-10,1
22025,1630583,0022500443,2025-12-28,MEM @ WAS,L,35,5,14,0.357,1,4,0.25,3,4,0.75,2,8,10,3,5,0,3,2,14,-12,1
22025,1630583,0022500428,2025-12-26,MEM vs. MIL,W,30,4,10,0.4,1,5,0.2,3,3,1.0,1,6,7,3,0,1,1,0,12,3,1
22025,1630583,0022500419,2025-12-23,MEM @ UTA,W,34,13,21,0.619,7,13,0.538,4,7,0.571,1,4,5,7,1,0,3,3,37,5,1
22025,1630583,0022500406,2025-12-22,MEM @ OKC,L,25,4,13,0.308,1,5,0.2,0,0,0.0,1,6,7,1,0,0,2,1,9,-13,1
22025,1630583,0022500391,2025-12-20,MEM vs. WAS,L,36,15,23,0.652,5,9,0.556,2,3,0.667,6,4,10,2,1,1,2,2,37,-1,1
22025,1630583,0022500368,2025-12-17,MEM @ MIN,W,34,4,8,0.5,0,2,0.0,0,0,0.0,3,8,11,3,0,0,3,4,8,-5,1
22025,1630583,0022501226,2025-12-15,MEM @ LAC,W,31,1,5,0.2,0,4,0.0,1,2,0.5,1,1,2,2,1,0,1,1,3,6,1
22025,1630583,0022501213,2025-12-12,MEM vs. UTA,L,36,8,15,0.533,4,8,0.5,2,4,0.5,1,6,7,2,1,1,0,3,22,-2,1
22025,1630583,0022500360,2025-12-07,MEM vs. POR,W,28,7,11,0.636,3,6,0.5,5,7,0.714,1,6,7,1,2,0,0,1,22,34,1
22025,1630583,0022500347,2025-12-05,MEM vs. LAC,W,25,3,9,0.333,0,3,0.0,1,2,0.5,0,6,6,4,1,0,3,2,7,7,1
22025,1630583,0022500322,2025-12-02,MEM @ SAS,L,24,1,5,0.2,0,1,0.0,2,2,1.0,1,2,3,5,0,1,0,3,4,-18,1
22025,1630583,0022500307,2025-11-30,MEM @ SAC,W,22,2,5,0.4,0,1,0.0,3,3,1.0,1,5,6,4,1,1,2,1,7,-20,1
22025,1630583,0022500079,2025-11-28,MEM @ LAC,W,22,4,7,0.571,2,2,1.0,3,4,0.75,1,6,7,5,0,0,0,1,13,5,1
22025,1630583,0022500065,2025-11-26,MEM @ NOP,W,24,5,9,0.556,2,3,0.667,2,2,1.0,0,5,5,4,0,1,0,0,14,-21,1
22025,1630583,0022500287,2025-11-24,MEM vs. DEN,L,33,5,16,0.313,0,5,0.0,2,2,1.0,3,3,6,6,2,2,1,1,12,2,1
22025,1630583,0022500273,2025-11-22,MEM @ DAL,W,35,9,17,0.529,2,5,0.4,0,0,0.0,2,6,8,4,1,1,0,1,20,10,1
22025,1630583,0022500265,2025-11-20,MEM vs. SAC,W,28,11,18,0.611,5,11,0.455,2,3,0.667,0,5,5,3,0,2,1,0,29,28,1
22025,1630583,0022500252,2025-11-18,MEM @ SAS,L,26,4,10,0.4,0,2,0.0,2,2,1.0,2,4,6,2,1,1,1,0,10,-2,1
22025,1630583,0022500228,2025-11-15,MEM @ CLE,L,25,5,9,0.556,2,4,0.5,0,2,0.0,1,10,11,2,1,0,0,3,12,-13,1
22025,1630583,0022500216,2025-11-12,MEM @ BOS,L,24,4,11,0.364,2,7,0.286,4,6,0.667,2,4,6,4,2,1,1,0,14,4,1
22025,1630583,0022500208,2025-11-11,MEM @ NYK,L,30,8,10,0.8,1,3,0.333,2,4,0.5,0,7,7,3,0,0,0,2,19,-11,1
22025,1630583,0022500194,2025-11-09,MEM vs. OKC,L,30,5,10,0.5,1,4,0.25,1,1,1.0,1,8,9,4,1,2,4,3,12,-12,1
22025,1630583,0022500034,2025-11-07,MEM vs. DAL,W,28,5,12,0.417,3,7,0.429,3,4,0.75,0,2,2,2,0,0,2,2,16,-7,1
22025,1630583,0022500176,2025-11-05,MEM vs. HOU,L,26,5,12,0.417,1,5,0.2,5,6,0.833,1,3,4,1,2,1,0,0,16,-7,1
22025,1630583,0022500161,2025-11-03,MEM vs. DET,L,23,5,9,0.556,1,3,0.333,0,0,0.0,2,3,5,1,0,0,3,1,11,-14,1
22025,1630583,0022500152,2025-11-02,MEM @ TOR,L,28,5,14,0.357,2,7,0.286,3,4,0.75,1,3,4,2,0,0,0,1,15,-6,1
22025,1630583,0022500024,2025-10-31,MEM vs. LAL,L,26,3,12,0.25,1,5,0.2,0,0,0.0,4,6,10,4,1,0,2,2,7,-9,1
22025,1630583,0022500137,2025-10-29,MEM @ PHX,W,31,6,12,0.5,2,5,0.4,0,0,0.0,2,8,10,5,3,0,1,1,14,8,1
22025,1630583,0022500121,2025-10-27,MEM @ GSW,L,22,6,13,0.462,2,6,0.333,0,2,0.0,1,5,6,4,3,0,2,1,14,2,1
22025,1630583,0022500103,2025-10-25,MEM vs. IND,W,21,4,9,0.444,1,3,0.333,0,0,0.0,3,5,8,1,0,2,0,1,9,13,1
22025,1630583,0022500094,2025-10-24,MEM vs. MIA,L,20,6,9,0.667,1,2,0.5,0,1,0.0,3,5,8,0,1,0,1,0,13,-12,1
22025,1630583,0022500085,2025-10-22,MEM vs. NOP,W,24,2,7,0.286,0,3,0.0,1,3,0.333,1,5,6,2,1,2,2,5,5,9,1
