SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1631101,0022500490,2026-01-03,POR @ SAS,W,28,3,16,0.188,0,4,0.0,0,0,0.0,0,3,3,3,1,0,4,1,6,6,1
22025,1631101,0022500482,2026-01-02,POR @ NOP,W,31,9,18,0.5,1,6,0.167,4,4,1.0,2,3,5,1,0,0,3,1,23,0,1
22025,1631101,0022500470,2025-12-31,POR @ OKC,L,28,5,17,0.294,0,2,0.0,4,4,1.0,0,4,4,1,3,0,3,2,14,-22,1
22025,1631101,0022500457,2025-12-29,POR vs. DAL,W,33,9,23,0.391,2,5,0.4,4,4,1.0,2,3,5,5,1,0,3,1,24,2,1
22025,1631101,0022500444,2025-12-28,POR vs. BOS,W,32,10,20,0.5,5,8,0.625,1,2,0.5,1,4,5,1,1,0,3,2,26,6,1
22025,1631101,0022500431,2025-12-26,POR vs. LAC,L,32,7,19,0.368,2,6,0.333,0,0,0.0,1,3,4,2,1,0,1,0,16,1,1
22025,1631101,0022500420,2025-12-23,POR vs. ORL,L,27,8,18,0.444,2,7,0.286,4,6,0.667,1,2,3,2,2,0,3,2,22,-8,1
22025,1631101,0022500408,2025-12-22,POR vs. DET,L,35,11,21,0.524,1,6,0.167,2,3,0.667,2,1,3,2,5,0,8,2,25,-10,1
22025,1631101,0022500394,2025-12-20,POR @ SAC,W,34,10,19,0.526,2,4,0.5,1,2,0.5,2,2,4,3,2,0,5,3,23,17,1
22025,1631101,0022500380,2025-12-18,POR vs. SAC,W,35,11,22,0.5,4,6,0.667,0,2,0.0,1,3,4,4,1,0,4,2,26,-7,1
22025,1631101,0022501221,2025-12-14,POR vs. GSW,W,33,12,18,0.667,5,7,0.714,6,6,1.0,2,1,3,4,4,0,3,2,35,15,1
22025,1631101,0022501207,2025-12-11,POR @ NOP,L,27,8,14,0.571,4,6,0.667,1,4,0.25,0,3,3,3,0,1,2,4,21,-17,1
22025,1631101,0022500360,2025-12-07,POR @ MEM,L,27,5,11,0.455,3,3,1.0,4,4,1.0,1,1,2,2,1,0,6,1,17,-31,1
22025,1631101,0022500342,2025-12-05,POR @ DET,L,35,10,25,0.4,1,7,0.143,7,7,1.0,2,3,5,3,1,0,2,3,28,-11,1
22025,1631101,0022500324,2025-12-03,POR @ CLE,W,32,7,18,0.389,2,5,0.4,4,6,0.667,2,7,9,5,2,0,2,2,20,13,1
22025,1631101,0022500319,2025-12-02,POR @ TOR,L,30,9,18,0.5,0,3,0.0,5,6,0.833,0,3,3,3,2,0,2,1,23,2,1
22025,1631101,0022500305,2025-11-30,POR vs. OKC,L,22,3,7,0.429,1,3,0.333,0,2,0.0,0,1,1,1,1,0,3,6,7,-18,1
22025,1631101,0022500067,2025-11-26,POR vs. SAS,L,22,4,8,0.5,0,3,0.0,3,4,0.75,0,5,5,2,0,1,3,2,11,-13,1
22025,1631101,0022500254,2025-11-18,POR vs. PHX,L,30,12,24,0.5,0,6,0.0,5,7,0.714,0,2,2,3,1,0,2,0,29,-20,1
22025,1631101,0022500238,2025-11-16,POR @ DAL,L,39,12,32,0.375,3,9,0.333,9,11,0.818,2,2,4,6,1,0,3,5,36,-3,1
22025,1631101,0022500042,2025-11-14,POR @ HOU,L,31,7,16,0.438,1,5,0.2,4,8,0.5,1,7,8,3,1,1,3,3,19,-22,1
22025,1631101,0022500219,2025-11-12,POR @ NOP,W,30,13,18,0.722,2,7,0.286,7,7,1.0,0,5,5,3,2,0,1,2,35,20,1
22025,1631101,0022500200,2025-11-10,POR @ ORL,L,29,12,18,0.667,3,5,0.6,4,7,0.571,0,3,3,1,0,0,1,2,31,4,1
22025,1631101,0022500187,2025-11-08,POR @ MIA,L,28,9,19,0.474,1,8,0.125,2,3,0.667,5,4,9,1,1,0,6,3,21,15,1
22025,1631101,0022500180,2025-11-05,POR vs. OKC,W,23,6,15,0.4,2,5,0.4,4,4,1.0,2,4,6,1,3,1,2,0,18,-5,1
22025,1631101,0022500163,2025-11-03,POR vs. LAL,L,28,8,17,0.471,1,7,0.143,6,8,0.75,1,6,7,2,3,0,2,2,23,-1,1
22025,1631101,0022500026,2025-10-31,POR vs. DEN,W,24,7,14,0.5,3,7,0.429,2,3,0.667,2,2,4,1,0,1,1,1,19,9,1
22025,1631101,0022500135,2025-10-29,POR @ UTA,W,24,6,14,0.429,4,8,0.5,2,2,1.0,0,4,4,0,0,0,1,4,18,2,1
22025,1631101,0022500122,2025-10-27,POR @ LAL,W,29,6,16,0.375,0,6,0.0,4,4,1.0,2,5,7,2,4,0,5,2,16,21,1
22025,1631101,0022500112,2025-10-26,POR @ LAC,L,32,7,24,0.292,1,9,0.111,4,4,1.0,4,1,5,1,2,0,6,1,19,-5,1
22025,1631101,0022500097,2025-10-24,POR vs. GSW,W,25,5,15,0.333,1,6,0.167,6,6,1.0,0,4,4,1,1,0,2,4,17,0,1
22025,1631101,0022500089,2025-10-22,POR vs. MIN,L,29,5,20,0.25,3,9,0.333,2,2,1.0,0,2,2,4,1,0,4,1,15,0,1
