SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1628983,0022500484,2026-01-02,OKC @ GSW,W,28,10,20,0.5,3,5,0.6,7,7,1.0,0,1,1,7,0,0,3,1,30,26,1
22025,1628983,0022500470,2025-12-31,OKC vs. POR,W,29,11,15,0.733,1,2,0.5,7,7,1.0,0,2,2,6,4,0,0,3,30,22,1
22025,1628983,0022500455,2025-12-29,OKC vs. ATL,W,36,15,24,0.625,2,5,0.4,7,7,1.0,1,5,6,6,2,0,3,1,39,16,1
22025,1628983,0022500442,2025-12-28,OKC vs. PHI,W,29,10,13,0.769,0,2,0.0,7,9,0.778,0,2,2,5,2,0,1,0,27,19,1
22025,1628983,0022500010,2025-12-25,OKC vs. SAS,L,36,7,19,0.368,1,6,0.167,7,8,0.875,1,5,6,4,1,0,0,2,22,-15,1
22025,1628983,0022500417,2025-12-23,OKC @ SAS,L,35,14,22,0.636,1,4,0.25,4,5,0.8,1,2,3,8,0,0,2,2,33,-17,1
22025,1628983,0022500406,2025-12-22,OKC vs. MEM,W,36,11,20,0.55,3,4,0.75,6,6,1.0,0,10,10,8,4,1,5,3,31,13,1
22025,1628983,0022500385,2025-12-19,OKC @ MIN,L,37,12,26,0.462,3,7,0.429,8,8,1.0,0,5,5,7,2,2,3,3,35,5,1
22025,1628983,0022500369,2025-12-18,OKC vs. LAC,W,29,13,24,0.542,2,6,0.333,4,6,0.667,2,5,7,6,2,2,1,3,32,10,1
22025,1628983,0022501230,2025-12-13,OKC vs. SAS,L,37,12,23,0.522,1,7,0.143,4,4,1.0,0,4,4,5,0,1,5,4,29,2,1
22025,1628983,0022501203,2025-12-10,OKC vs. PHX,W,27,11,15,0.733,3,4,0.75,3,3,1.0,0,2,2,8,2,1,4,0,28,43,1
22025,1628983,0022500349,2025-12-05,OKC vs. DAL,W,29,10,12,0.833,2,2,1.0,11,12,0.917,0,5,5,6,0,1,2,4,33,24,1
22025,1628983,0022500323,2025-12-02,OKC @ GSW,W,36,13,21,0.619,5,6,0.833,7,10,0.7,0,3,3,4,1,0,0,2,38,10,1
22025,1628983,0022500305,2025-11-30,OKC @ POR,W,36,8,15,0.533,0,3,0.0,10,12,0.833,1,3,4,5,1,0,3,3,26,2,1
22025,1628983,0022500075,2025-11-28,OKC vs. PHX,W,36,10,20,0.5,3,5,0.6,14,17,0.824,0,3,3,8,1,0,1,2,37,8,1
22025,1628983,0022500064,2025-11-26,OKC vs. MIN,W,37,12,19,0.632,1,2,0.5,15,17,0.882,0,6,6,6,3,0,1,3,40,12,1
22025,1628983,0022500280,2025-11-23,OKC vs. POR,W,30,13,18,0.722,2,3,0.667,9,9,1.0,2,3,5,7,2,0,1,3,37,27,1
22025,1628983,0022500055,2025-11-21,OKC @ UTA,W,30,9,14,0.643,3,3,1.0,10,12,0.833,0,2,2,8,1,1,2,1,31,14,1
22025,1628983,0022500261,2025-11-19,OKC vs. SAC,W,36,12,24,0.5,1,3,0.333,8,10,0.8,2,6,8,3,2,0,3,0,33,9,1
22025,1628983,0022500247,2025-11-17,OKC @ NOP,W,29,5,9,0.556,3,5,0.6,10,10,1.0,1,1,2,8,3,1,3,3,23,32,1
22025,1628983,0022500229,2025-11-15,OKC @ CHA,W,29,13,19,0.684,3,4,0.75,4,5,0.8,0,4,4,7,2,0,1,1,33,21,1
22025,1628983,0022500222,2025-11-12,OKC vs. LAL,W,29,10,18,0.556,2,7,0.286,8,9,0.889,0,5,5,9,2,0,1,1,30,25,1
22025,1628983,0022500210,2025-11-11,OKC vs. GSW,W,28,9,19,0.474,3,6,0.5,7,8,0.875,1,4,5,11,3,1,2,2,28,25,1
22025,1628983,0022500194,2025-11-09,OKC @ MEM,W,35,11,22,0.5,3,9,0.333,10,11,0.909,1,6,7,6,2,0,1,0,35,28,1
22025,1628983,0022500038,2025-11-07,OKC @ SAC,W,29,12,20,0.6,2,6,0.333,4,4,1.0,0,1,1,3,2,1,1,2,30,10,1
22025,1628983,0022500180,2025-11-05,OKC @ POR,L,38,10,26,0.385,3,5,0.6,12,13,0.923,2,7,9,4,0,0,0,5,35,1,1
22025,1628983,0022500170,2025-11-04,OKC @ LAC,W,29,9,14,0.643,4,5,0.8,8,9,0.889,0,4,4,12,0,3,2,2,30,2,1
22025,1628983,0022500148,2025-11-02,OKC vs. NOP,W,30,8,14,0.571,1,5,0.2,13,13,1.0,0,2,2,7,1,0,3,1,30,24,1
22025,1628983,0022500140,2025-10-30,OKC vs. WAS,W,29,11,20,0.55,3,6,0.5,6,6,1.0,0,3,3,7,0,1,0,1,31,8,1
22025,1628983,0022500126,2025-10-28,OKC vs. SAC,W,36,14,26,0.538,1,5,0.2,2,2,1.0,0,9,9,4,1,3,1,2,31,-1,1
22025,1628983,0022500119,2025-10-27,OKC @ DAL,W,35,10,22,0.455,1,3,0.333,2,2,1.0,0,4,4,8,1,0,4,0,23,7,1
22025,1628983,0022500101,2025-10-25,OKC @ ATL,W,29,12,17,0.706,2,6,0.333,4,4,1.0,1,4,5,5,1,1,2,2,30,16,1
22025,1628983,0022500005,2025-10-23,OKC @ IND,W,45,15,31,0.484,2,7,0.286,23,26,0.885,0,8,8,5,2,1,2,4,55,9,1
22025,1628983,0022500001,2025-10-21,OKC vs. HOU,W,47,12,26,0.462,1,9,0.111,10,14,0.714,0,5,5,5,2,2,3,2,35,3,1
