SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1641739,0022500490,2026-01-03,POR @ SAS,W,36,7,11,0.636,5,9,0.556,1,2,0.5,2,6,8,1,1,0,4,2,20,0,1
22025,1641739,0022500482,2026-01-02,POR @ NOP,W,34,4,11,0.364,4,11,0.364,2,3,0.667,1,5,6,4,0,1,1,3,14,10,1
22025,1641739,0022500470,2025-12-31,POR @ OKC,L,34,2,7,0.286,2,6,0.333,0,2,0.0,2,5,7,4,0,0,5,3,6,-24,1
22025,1641739,0022500457,2025-12-29,POR vs. DAL,W,25,3,7,0.429,3,5,0.6,0,0,0.0,1,3,4,2,0,0,0,5,9,8,1
22025,1641739,0022500444,2025-12-28,POR vs. BOS,W,35,7,14,0.5,4,10,0.4,2,3,0.667,2,2,4,3,1,0,1,5,20,1,1
22025,1641739,0022500431,2025-12-26,POR vs. LAC,L,39,6,16,0.375,5,11,0.455,3,6,0.5,2,1,3,0,0,0,2,3,20,-18,1
22025,1641739,0022500420,2025-12-23,POR vs. ORL,L,40,4,12,0.333,0,6,0.0,2,3,0.667,3,3,6,4,2,0,2,0,10,-14,1
22025,1641739,0022500408,2025-12-22,POR vs. DET,L,29,3,9,0.333,2,6,0.333,0,0,0.0,1,1,2,0,0,0,3,6,8,-5,1
22025,1641739,0022500394,2025-12-20,POR @ SAC,W,37,5,14,0.357,4,10,0.4,1,2,0.5,1,5,6,2,4,0,4,2,15,9,1
22025,1641739,0022500380,2025-12-18,POR vs. SAC,W,35,6,12,0.5,3,8,0.375,2,2,1.0,2,6,8,5,0,0,2,6,17,13,1
22025,1641739,0022501221,2025-12-14,POR vs. GSW,W,25,3,8,0.375,1,5,0.2,0,0,0.0,0,3,3,3,2,0,1,5,7,6,1
22025,1641739,0022501207,2025-12-11,POR @ NOP,L,28,5,10,0.5,3,8,0.375,2,2,1.0,0,4,4,5,1,0,1,5,15,-11,1
22025,1641739,0022500360,2025-12-07,POR @ MEM,L,33,5,13,0.385,3,10,0.3,0,0,0.0,2,4,6,1,3,0,3,2,13,-24,1
22025,1641739,0022500342,2025-12-05,POR @ DET,L,24,0,4,0.0,0,3,0.0,1,2,0.5,0,2,2,4,1,0,0,6,1,-3,1
22025,1641739,0022500324,2025-12-03,POR @ CLE,W,35,5,7,0.714,3,5,0.6,4,5,0.8,1,5,6,4,0,2,2,4,17,6,1
22025,1641739,0022500319,2025-12-02,POR @ TOR,L,36,7,12,0.583,6,10,0.6,1,4,0.25,3,3,6,2,1,1,3,4,21,14,1
22025,1641739,0022500305,2025-11-30,POR vs. OKC,L,38,5,12,0.417,5,10,0.5,4,4,1.0,3,5,8,4,0,0,3,1,19,1,1
22025,1641739,0022500067,2025-11-26,POR vs. SAS,L,30,4,14,0.286,2,11,0.182,0,0,0.0,1,4,5,1,0,1,1,4,10,-2,1
22025,1641739,0022500288,2025-11-24,POR @ MIL,W,32,5,11,0.455,3,7,0.429,0,1,0.0,2,5,7,3,2,1,2,1,13,5,1
22025,1641739,0022500280,2025-11-23,POR @ OKC,L,27,2,6,0.333,0,3,0.0,0,0,0.0,4,2,6,3,2,1,1,3,4,-11,1
22025,1641739,0022500056,2025-11-21,POR @ GSW,W,34,7,11,0.636,4,6,0.667,2,2,1.0,5,2,7,1,0,1,2,5,20,6,1
22025,1641739,0022500263,2025-11-19,POR vs. CHI,L,37,6,15,0.4,2,8,0.25,0,0,0.0,3,2,5,2,2,1,3,3,14,4,1
22025,1641739,0022500254,2025-11-18,POR vs. PHX,L,32,2,10,0.2,2,9,0.222,0,0,0.0,1,1,2,3,1,0,4,3,6,-17,1
22025,1641739,0022500238,2025-11-16,POR @ DAL,L,41,5,13,0.385,1,7,0.143,0,0,0.0,4,6,10,3,1,0,2,4,11,-4,1
22025,1641739,0022500042,2025-11-14,POR @ HOU,L,33,6,12,0.5,3,7,0.429,1,2,0.5,1,2,3,0,0,0,4,1,16,-27,1
22025,1641739,0022500219,2025-11-12,POR @ NOP,W,38,4,8,0.5,3,6,0.5,2,2,1.0,1,2,3,5,2,1,4,2,13,8,1
22025,1641739,0022500200,2025-11-10,POR @ ORL,L,34,3,9,0.333,1,6,0.167,1,1,1.0,1,4,5,3,1,1,1,3,8,3,1
22025,1641739,0022500187,2025-11-08,POR @ MIA,L,39,5,17,0.294,3,13,0.231,0,0,0.0,2,5,7,1,0,0,3,3,13,-12,1
22025,1641739,0022500180,2025-11-05,POR vs. OKC,W,37,6,9,0.667,3,5,0.6,1,2,0.5,2,3,5,2,0,1,3,6,16,-12,1
22025,1641739,0022500163,2025-11-03,POR vs. LAL,L,34,5,13,0.385,3,11,0.273,1,2,0.5,2,5,7,2,2,0,3,3,14,-1,1
22025,1641739,0022500026,2025-10-31,POR vs. DEN,W,30,5,12,0.417,2,5,0.4,2,4,0.5,0,2,2,3,2,2,1,5,14,-2,1
22025,1641739,0022500135,2025-10-29,POR @ UTA,W,31,6,14,0.429,3,8,0.375,2,2,1.0,3,1,4,5,2,0,2,4,17,-3,1
22025,1641739,0022500122,2025-10-27,POR @ LAL,W,30,2,7,0.286,0,3,0.0,0,0,0.0,3,1,4,3,0,1,2,2,4,4,1
22025,1641739,0022500112,2025-10-26,POR @ LAC,L,33,2,8,0.25,0,3,0.0,1,2,0.5,0,2,2,4,1,0,0,3,5,-8,1
22025,1641739,0022500097,2025-10-24,POR vs. GSW,W,33,7,13,0.538,3,7,0.429,2,2,1.0,2,5,7,2,3,0,1,4,19,23,1
22025,1641739,0022500089,2025-10-22,POR vs. MIN,L,35,3,9,0.333,2,5,0.4,2,2,1.0,4,5,9,5,0,0,0,1,10,-1,1
