SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1629627,0022500482,2026-01-02,NOP vs. POR,L,31,15,26,0.577,0,0,0.0,5,8,0.625,3,5,8,2,2,2,0,1,35,-17,1
22025,1629627,0022500466,2025-12-31,NOP @ CHI,L,29,12,19,0.632,0,0,0.0,7,9,0.778,4,3,7,3,0,0,1,4,31,-6,1
22025,1629627,0022500454,2025-12-29,NOP vs. NYK,L,29,11,16,0.688,0,0,0.0,10,12,0.833,3,2,5,2,2,2,2,2,32,-8,1
22025,1629627,0022500434,2025-12-27,NOP vs. PHX,L,29,8,11,0.727,0,0,0.0,6,8,0.75,1,3,4,0,2,1,4,3,22,-7,1
22025,1629627,0022500429,2025-12-26,NOP vs. PHX,L,28,5,10,0.5,0,0,0.0,10,14,0.714,4,4,8,6,0,1,2,2,20,0,1
22025,1629627,0022500412,2025-12-23,NOP @ CLE,L,21,9,15,0.6,0,0,0.0,8,9,0.889,3,2,5,1,1,0,3,2,26,-17,1
22025,1629627,0022500404,2025-12-22,NOP vs. DAL,W,25,10,14,0.714,0,0,0.0,4,4,1.0,4,5,9,3,0,0,1,2,24,2,1
22025,1629627,0022500389,2025-12-20,NOP vs. IND,W,23,9,14,0.643,0,0,0.0,11,13,0.846,3,4,7,1,1,0,2,2,29,6,1
22025,1629627,0022500375,2025-12-18,NOP vs. HOU,W,21,3,9,0.333,0,0,0.0,3,4,0.75,2,1,3,5,0,1,2,3,9,-17,1
22025,1629627,0022501223,2025-12-14,NOP @ CHI,W,27,7,14,0.5,0,0,0.0,4,5,0.8,2,4,6,3,0,0,1,0,18,6,1
22025,1629627,0022500298,2025-11-29,NOP @ GSW,L,31,8,16,0.5,0,2,0.0,9,10,0.9,1,6,7,4,0,0,3,2,25,-3,1
22025,1629627,0022500065,2025-11-26,NOP vs. MEM,L,32,7,15,0.467,0,1,0.0,3,3,1.0,2,3,5,4,0,2,5,3,17,-9,1
22025,1629627,0022500289,2025-11-24,NOP vs. CHI,W,30,8,14,0.571,0,0,0.0,13,16,0.813,0,1,1,2,2,1,2,2,29,2,1
22025,1629627,0022500052,2025-11-21,NOP @ DAL,L,30,7,9,0.778,0,0,0.0,8,11,0.727,1,2,3,2,3,0,1,0,22,-2,1
22025,1629627,0022500260,2025-11-19,NOP vs. DEN,L,29,6,13,0.462,0,0,0.0,2,4,0.5,3,3,6,5,1,1,3,4,14,14,1
22025,1629627,0022500148,2025-11-02,NOP @ OKC,L,28,7,14,0.5,0,0,0.0,6,12,0.5,3,6,9,6,1,0,4,3,20,-17,1
22025,1629627,0022500027,2025-10-31,NOP @ LAC,L,33,9,17,0.529,0,0,0.0,11,13,0.846,3,3,6,3,0,0,3,3,29,-5,1
22025,1629627,0022500134,2025-10-29,NOP @ DEN,L,26,4,8,0.5,0,0,0.0,3,4,0.75,0,0,0,2,1,1,3,2,11,-12,1
22025,1629627,0022500095,2025-10-24,NOP vs. SAS,L,37,8,18,0.444,0,0,0.0,11,16,0.688,5,5,10,7,3,0,4,2,27,6,1
22025,1629627,0022500085,2025-10-22,NOP @ MEM,L,33,10,21,0.476,0,0,0.0,7,12,0.583,5,4,9,5,5,0,3,2,27,0,1
